Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:25.230000,MEDIUM,316.0,298.0,278.0,283.0,SOFT,11.0,0 days 00:01:26.902250,-1 days +23:59:59.091000,7.0,8.0,5.0,21.55,37.575,1.925,123.75,48.125,1019.425,20.7,40.8,1.6,222,56.4,1019.4,0 days 00:01:24.675000,SOFT,318.0,297.0,281.0,286.0,MEDIUM,18,0 days 00:01:29.767466666,-1 days +23:59:59.260000,3,19.533333333333335,12.0,21.873333333333335,39.57333333333333,1.6266666666666667,167.26666666666668,56.36,1017.7066666666668,22.0,42.4,2.0,169,56.6,1017.6,0 days 00:01:24.328000,SOFT,316.0,298.0,281.0,286.0,SOFT,7,0 days 00:01:24.990500,-1 days +23:59:59.785000,5,4.0,2.0,22.799999999999997,45.2,1.0,238.0,61.5,1018.1,23.4,45.2,1.0,190,59.7,1017.8,0 days 00:01:22.757000,0 days 00:01:22.636000,,13.0,321.0,23.0,38.4,1.3,156,70.4,1016.6,322.0,23.0,36.4,1.5,165.0,70.3,1016.7,,,,,,,,,14.0,Toro Rosso,0,0
BOT,0 days 00:01:23.866000,SOFT,310.0,289.0,276.0,277.0,MEDIUM,10.0,0 days 00:01:25.307333333,-1 days +23:59:58.335000,7.0,5.333333333333333,3.0,21.033333333333335,35.53333333333333,0.8333333333333334,47.0,53.63333333333333,1019.4666666666668,20.7,39.2,1.0,108,56.4,1019.4,0 days 00:01:22.648000,SOFT,310.0,294.0,277.0,279.0,SOFT,10,0 days 00:01:28.981857142,0 days 00:00:00.322000,3,13.285714285714286,10.0,21.785714285714285,39.357142857142854,1.7571428571428571,173.85714285714286,56.44285714285714,1017.7571428571428,22.0,42.4,2.0,169,56.6,1017.6,0 days 00:01:23.422000,SOFT,310.0,286.0,278.0,281.0,SOFT,9,0 days 00:01:23.833000,-1 days +23:59:59.831000,6,5.0,2.0,23.03333333333333,44.93333333333334,0.7666666666666666,147.66666666666666,60.9,1018.0666666666666,23.3,45.8,0.8,339,59.5,1017.9,0 days 00:01:22.367000,0 days 00:01:21.193000,0 days 00:01:20.598000,2.0,312.0,23.1,38.9,2.7,152,69.8,1016.6,316.0,23.0,36.4,1.5,165.0,70.3,1016.7,320.0,23.2,35.6,2.1,0.0,70.1,1016.6,0 days 01:25:27.325000,1.0,Mercedes,0,0
GAS,0 days 00:01:24.932000,SOFT,310.0,297.0,276.0,281.0,SOFT,9.0,0 days 00:01:26.569250,-1 days +23:59:56.751000,5.0,6.0,3.0,21.425,37.7,1.4249999999999998,145.25,48.8,1019.45,20.7,40.8,1.6,222,56.4,1019.4,0 days 00:01:23.442000,SOFT,313.0,302.0,280.0,282.0,SOFT,10,0 days 00:01:29.268125,-1 days +23:59:59.308000,2,10.5,7.0,21.75,39.900000000000006,1.8875,113.75,56.3125,1017.6625,21.9,42.4,1.7,200,55.4,1017.6,0 days 00:01:23.367000,MEDIUM,313.0,302.0,279.0,283.0,MEDIUM,5,0 days 00:01:26.488500,0 days 00:00:00.659000,3,3.0,2.0,22.799999999999997,44.650000000000006,0.9,173.0,61.15,1018.35,23.5,45.4,1.0,189,59.7,1017.8,0 days 00:01:23.020000,,,17.0,316.0,23.0,38.9,1.0,178,70.0,1016.7,,,,,,,,,,,,,,,,11.0,Red Bull Racing,0,0
GIO,0 days 00:01:25.166000,MEDIUM,308.0,295.0,276.0,279.0,MEDIUM,8.0,0 days 00:01:28.054000,-1 days +23:59:56.563000,3.0,5.2,3.0,21.52,38.02,1.92,146.4,48.32000000000001,1019.42,20.7,39.2,1.0,108,56.4,1019.4,0 days 00:01:24.293000,SOFT,314.0,300.0,281.0,283.0,HARD,14,0 days 00:01:29.152727272,0 days 00:00:00.399000,3,14.818181818181818,9.0,21.86363636363637,38.70909090909092,1.7454545454545454,175.36363636363637,56.88181818181818,1017.7272727272727,22.1,42.5,2.0,170,55.4,1017.5,0 days 00:01:23.831000,SOFT,317.0,299.0,283.0,288.0,SOFT,7,0 days 00:01:25.506000,-1 days +23:59:59.694000,4,5.0,3.0,22.833333333333332,45.133333333333326,0.7666666666666666,214.0,61.26666666666667,1018.0666666666666,23.5,45.4,1.0,189,59.7,1017.8,0 days 00:01:22.431000,0 days 00:01:22.714000,,14.0,320.0,23.0,38.4,1.3,156,70.4,1016.6,322.0,23.0,36.4,1.5,165.0,70.3,1016.7,,,,,,,,,15.0,Alfa Romeo Racing,0,0
GRO,0 days 00:01:25.224000,SOFT,303.0,294.0,270.0,274.0,SOFT,5.0,0 days 00:01:29.242666666,0 days 00:00:00.083000,2.0,11.0,10.0,21.46666666666667,42.23333333333333,1.8666666666666665,171.66666666666666,51.666666666666664,1019.1,20.8,40.8,1.3,190,56.2,1019.4,0 days 00:01:23.814000,SOFT,307.0,296.0,277.0,278.0,SOFT,15,0 days 00:01:29.844500,0 days 00:00:00.640000,3,13.333333333333334,7.0,21.825000000000003,39.93333333333334,1.6416666666666668,156.5,56.35,1017.7083333333334,22.2,42.8,1.8,218,54.6,1017.5,0 days 00:01:23.112000,SOFT,310.0,299.0,280.0,284.0,SOFT,8,0 days 00:01:24.882000,-1 days +23:59:59.715000,5,4.666666666666667,2.0,22.799999999999997,44.96666666666666,0.7333333333333334,216.66666666666663,61.5,1018.1,23.4,45.9,0.8,195,58.3,1017.8,0 days 00:01:22.959000,0 days 00:01:21.870000,0 days 00:01:21.826000,6.0,313.0,23.2,39.1,1.2,190,69.4,1016.6,315.0,22.9,36.4,2.0,158.0,69.8,1016.6,316.0,23.0,34.5,1.7,170.0,68.6,1016.8,,18.0,Haas F1 Team,0,0
HAM,0 days 00:01:23.599000,SOFT,274.0,297.0,275.0,280.0,MEDIUM,10.0,0 days 00:01:25.099666666,-1 days +23:59:59.033000,7.0,6.666666666666667,3.0,21.4,37.4,1.8666666666666665,95.66666666666669,49.96666666666667,1019.4,20.7,40.0,1.6,0,56.9,1019.4,0 days 00:01:22.600000,SOFT,237.0,296.0,278.0,279.0,SOFT,12,0 days 00:01:28.704875,-1 days +23:59:59.811000,4,13.75,9.0,21.862499999999997,39.075,1.6375000000000002,154.75,56.5625,1017.7875,22.0,41.5,2.0,149,55.2,1017.6,0 days 00:01:22.292000,SOFT,311.0,296.0,278.0,,SOFT,7,0 days 00:01:23.529500,-1 days +23:59:59.661000,5,4.0,2.0,23.1,45.15,1.0,137.0,60.4,1018.0,23.3,45.6,0.8,190,58.6,1017.9,0 days 00:01:22.043000,0 days 00:01:21.014000,0 days 00:01:20.486000,1.0,316.0,23.2,39.1,1.7,192,69.3,1016.7,316.0,22.9,36.4,2.0,158.0,69.8,1016.6,317.0,23.0,35.0,2.1,169.0,68.5,1016.8,0 days 00:00:20.886000,2.0,Mercedes,0,0
HUL,0 days 00:01:25.015000,SOFT,310.0,297.0,273.0,277.0,,,,,,,,,,,,,,21.2,42.7,1.3,162,51.7,1019.2,0 days 00:01:23.574000,SOFT,316.0,293.0,281.0,284.0,SOFT,22,0 days 00:01:29.293947368,-1 days +23:59:59.628000,3,14.36842105263158,5.0,21.878947368421052,39.805263157894736,1.8210526315789477,149.8421052631579,56.226315789473695,1017.7105263157896,21.9,42.7,1.2,177,56.1,1017.5,0 days 00:01:23.737000,SOFT,311.0,294.0,278.0,284.0,SOFT,6,0 days 00:01:24.912000,-1 days +23:59:59.916000,4,4.5,3.0,22.95,44.65,0.9,242.5,61.0,1018.15,23.3,45.8,0.8,339,59.5,1017.9,0 days 00:01:22.540000,0 days 00:01:22.562000,,11.0,318.0,23.0,38.4,1.3,156,70.4,1016.6,319.0,23.2,37.8,1.8,126.0,68.5,1016.6,,,,,,,,,7.0,Renault,0,0
KUB,0 days 00:01:27.914000,MEDIUM,308.0,293.0,270.0,275.0,SOFT,9.0,0 days 00:01:29.285750,-1 days +23:59:58.072000,5.0,5.0,2.0,21.3,36.85,1.4249999999999998,141.0,49.375,1019.45,21.4,42.0,1.5,194,51.8,1019.1,0 days 00:01:26.655000,SOFT,309.0,294.0,273.0,276.0,HARD,14,0 days 00:01:32.705583333,-1 days +23:59:56.999000,2,15.5,10.0,21.85,38.775000000000006,1.7083333333333337,181.83333333333337,56.86666666666667,1017.75,21.9,42.4,1.4,160,57.1,1017.5,0 days 00:01:26.589000,SOFT,308.0,292.0,273.0,279.0,SOFT,7,0 days 00:01:27.982333333,0 days 00:00:01.038000,4,4.0,2.0,22.866666666666664,44.96666666666666,0.9666666666666668,228.0,61.03333333333334,1018.1,23.4,44.9,1.1,280,59.4,1017.8,0 days 00:01:26.067000,,,20.0,314.0,23.1,38.7,2.0,163,69.9,1016.7,,,,,,,,,,,,,,,,17.0,Williams,0,0
KVY,0 days 00:01:24.832000,MEDIUM,314.0,291.0,279.0,282.0,MEDIUM,10.0,0 days 00:01:26.217000,0 days 00:00:02.561000,6.0,5.5,2.0,20.775,39.974999999999994,1.5,176.75,56.224999999999994,1019.425,20.9,41.8,1.6,185,56.7,1019.3,0 days 00:01:23.933000,SOFT,317.0,292.0,280.0,283.0,SOFT,14,0 days 00:01:29.644583333,0 days 00:00:02.210000,2,13.5,8.0,21.825000000000003,39.74999999999999,1.7333333333333334,159.33333333333334,56.30833333333334,1017.7166666666666,21.9,42.7,1.2,177,56.1,1017.5,0 days 00:01:23.442000,SOFT,316.0,299.0,281.0,285.0,SOFT,7,0 days 00:01:24.933500,0 days 00:00:00.147000,5,4.0,2.0,22.799999999999997,45.2,1.0,238.0,61.5,1018.1,23.5,45.4,1.0,189,59.7,1017.8,0 days 00:01:22.511000,0 days 00:01:22.774000,,15.0,321.0,23.0,38.4,1.3,156,70.4,1016.6,320.0,23.0,36.4,1.5,165.0,70.3,1016.7,,,,,,,,,10.0,Toro Rosso,0,0
LEC,0 days 00:01:23.673000,SOFT,310.0,306.0,277.0,281.0,SOFT,6.0,0 days 00:01:27.000250,-1 days +23:59:57.442000,2.0,4.5,3.0,21.4,37.15,1.15,155.5,48.3,1019.45,20.7,40.8,1.6,222,56.4,1019.4,0 days 00:01:23.754000,SOFT,311.0,300.0,279.0,281.0,HARD,14,0 days 00:01:29.179250,-1 days +23:59:59.939000,2,16.5,11.0,21.86666666666667,38.91666666666667,1.625,174.83333333333334,56.68333333333334,1017.7583333333332,21.8,42.4,1.1,200,55.9,1017.6,0 days 00:01:22.749000,SOFT,314.0,303.0,281.0,287.0,SOFT,5,0 days 00:01:24.206000,-1 days +23:59:59.284000,3,3.0,2.0,22.9,44.95,0.8,113.0,60.95,1018.1,23.3,45.6,0.8,190,58.6,1017.9,0 days 00:01:22.017000,0 days 00:01:21.739000,0 days 00:01:21.442000,5.0,317.0,23.0,38.4,1.3,156,70.4,1016.6,315.0,23.1,37.8,1.3,18.0,69.5,1016.7,317.0,23.2,35.6,2.1,0.0,70.1,1016.6,0 days 00:00:58.203000,5.0,Ferrari,0,0
