Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:05.701000,SOFT,305.0,283.0,303.0,247.0,HARD,13.0,0 days 00:01:07.559571428,-1 days +23:59:57.534000,6.0,8.285714285714286,4.0,18.442857142857143,21.857142857142858,1.4,130.57142857142858,71.54285714285713,939.5857142857144,18.6,23.4,0.8,69.0,71.7,939.7,0 days 00:01:05.453000,SOFT,305.0,280.0,308.0,246.0,MEDIUM,17,0 days 00:01:09.500571428,-1 days +23:59:59.407000,3,17.5,11.0,22.678571428571427,35.35,2.1142857142857143,82.07142857142857,49.97142857142857,939.2357142857144,21.4,31.4,2.1,81,54.5,939.4,0 days 00:01:04.725000,SOFT,312.0,285.0,313.0,251.0,MEDIUM,7.0,0 days 00:01:06.175500,-1 days +23:59:59.197000,5.0,3.0,2.0,21.8,45.05,1.0,298.5,40.85,942.1,22.4,47.6,0.7,255,40.1,941.9,0 days 00:01:04.661000,0 days 00:01:03.746000,0 days 00:01:03.868000,5.0,316.0,24.4,48.9,0.9,88,35.4,940.7,318.0,24.8,49.0,1.6,232.0,34.0,940.5,315.0,25.0,48.9,1.2,57.0,33.4,940.5,,13.0,Red Bull Racing,3,0
BOT,0 days 00:01:05.172000,SOFT,314.0,281.0,311.0,245.0,SOFT,13.0,0 days 00:01:08.627111111,0 days 00:00:01.121000,4.0,15.444444444444445,11.0,18.88888888888889,23.377777777777776,1.2000000000000002,79.77777777777777,70.58888888888889,939.8444444444444,18.8,22.1,0.0,94.0,70.2,939.5,0 days 00:01:04.501000,SOFT,313.0,284.0,314.0,248.0,MEDIUM,10,0 days 00:01:05.673000,-1 days +23:59:59.788000,7,6.333333333333333,3.0,20.433333333333337,29.3,1.8,95.33333333333331,56.833333333333336,939.6333333333332,20.7,30.4,0.0,145,56.6,939.5,0 days 00:01:04.277000,SOFT,316.0,286.0,315.0,249.0,MEDIUM,7.0,0 days 00:01:05.467000,0 days 00:00:00.038000,5.0,3.5,2.0,21.8,45.2,1.0,186.0,41.0,942.1,24.0,47.8,2.9,89,37.9,942.0,0 days 00:01:04.111000,0 days 00:01:03.015000,0 days 00:01:02.939000,1.0,315.0,24.5,50.2,1.6,66,34.4,940.8,318.0,24.8,49.0,1.6,232.0,34.0,940.5,319.0,25.0,48.9,1.2,57.0,33.4,940.5,0 days 01:30:55.739000,1.0,Mercedes,3,0
GAS,0 days 00:01:06.404000,MEDIUM,311.0,281.0,308.0,238.0,MEDIUM,11.0,0 days 00:01:07.331400,-1 days +23:59:59.153000,6.0,7.0,3.0,18.5,21.860000000000003,1.6,95.8,71.38,939.6,18.6,23.0,1.0,86.0,70.7,939.9,0 days 00:01:06.016000,HARD,314.0,284.0,313.0,237.0,HARD,20,0 days 00:01:10.055235294,0 days 00:00:00.322000,3,34.0,26.0,22.58235294117647,35.241176470588236,2.1176470588235294,81.6470588235294,50.55882352941177,939.229411764706,20.7,29.5,2.7,92,56.5,939.6,0 days 00:01:04.949000,SOFT,308.0,282.0,311.0,243.0,SOFT,5.0,0 days 00:01:06.035500,-1 days +23:59:59.639000,3.0,8.0,7.0,23.799999999999997,47.099999999999994,2.1500000000000004,90.5,38.2,941.95,23.3,48.5,1.2,74,38.6,941.9,0 days 00:01:04.603000,0 days 00:01:04.305000,,12.0,315.0,24.5,50.2,1.6,66,34.4,940.8,316.0,24.8,49.0,1.6,232.0,34.0,940.5,,,,,,,,0 days 00:00:16.682000,7.0,AlphaTauri,3,0
GIO,0 days 00:01:06.360000,MEDIUM,315.0,283.0,315.0,245.0,HARD,9.0,0 days 00:01:08.441600,-1 days +23:59:59.724000,4.0,5.8,3.0,18.660000000000004,21.860000000000003,1.7000000000000004,92.2,70.88,939.6,18.9,23.3,1.2,85.0,70.6,939.8,0 days 00:01:05.608000,SOFT,314.0,283.0,316.0,243.0,MEDIUM,18,0 days 00:01:09.567307692,0 days 00:00:00.459000,5,17.384615384615383,11.0,22.638461538461534,35.42307692307692,2.030769230769231,82.6923076923077,50.161538461538456,939.2307692307694,21.3,31.3,2.1,81,54.6,939.5,0 days 00:01:05.654000,SOFT,313.0,284.0,315.0,245.0,,,,,,,,,,,,,,23.3,48.5,1.2,74,38.6,941.9,0 days 00:01:05.175000,,,18.0,320.0,24.6,49.5,2.3,83,34.7,940.7,,,,,,,,,,,,,,,0 days 00:00:21.146000,9.0,Alfa Romeo Racing,3,0
GRO,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:05.908000,SOFT,305.0,279.0,310.0,240.0,SOFT,19,0 days 00:01:10.195312500,-1 days +23:59:59.908000,3,16.625,9.0,22.325,34.375,1.83125,80.125,52.4,939.23125,21.5,31.6,1.2,95,53.3,939.5,0 days 00:01:05.363000,SOFT,314.0,285.0,320.0,243.0,MEDIUM,5.0,0 days 00:01:07.203000,-1 days +23:59:58.834000,3.0,4.0,3.0,21.95,45.45,0.9,176.0,40.75,942.1,23.4,48.9,1.8,72,38.4,942.0,0 days 00:01:05.094000,0 days 00:01:04.691000,,15.0,315.0,24.5,50.2,1.6,66,34.4,940.8,318.0,24.8,49.0,1.6,232.0,34.0,940.5,,,,,,,,,16.0,Haas F1 Team,3,0
HAM,0 days 00:01:04.816000,SOFT,313.0,283.0,311.0,245.0,SOFT,15.0,0 days 00:01:08.649461538,-1 days +23:59:59.906000,2.0,15.0,9.0,18.861538461538466,23.307692307692307,1.0384615384615383,93.6923076923077,70.57692307692307,939.8461538461536,18.4,22.3,0.7,295.0,70.1,939.7,0 days 00:01:04.304000,SOFT,314.0,285.0,323.0,247.0,SOFT,12,0 days 00:01:09.005500,-1 days +23:59:59.413000,3,15.0,10.0,22.125,33.75,1.5875,87.75,53.35,939.225,21.4,31.4,2.1,81,54.5,939.4,0 days 00:01:04.130000,SOFT,315.0,285.0,316.0,250.0,MEDIUM,6.0,0 days 00:01:05.406000,-1 days +23:59:59.468000,4.0,3.0,2.0,21.6,45.05,0.8,275.5,41.2,942.1,24.0,47.8,2.9,89,37.9,942.0,0 days 00:01:04.198000,0 days 00:01:03.096000,0 days 00:01:02.951000,2.0,318.0,24.6,49.9,1.4,94,34.0,940.7,322.0,24.8,49.0,1.6,232.0,34.0,940.5,322.0,25.1,48.8,1.1,355.0,33.3,940.4,0 days 00:00:05.689000,4.0,Mercedes,3,0
KVY,0 days 00:01:06.943000,MEDIUM,308.0,281.0,305.0,243.0,MEDIUM,7.0,0 days 00:01:07.431666666,-1 days +23:59:59.452000,4.0,8.0,6.0,18.76666666666667,21.933333333333337,1.633333333333333,89.66666666666667,70.8,939.5666666666666,18.8,23.1,2.0,94.0,71.1,939.9,0 days 00:01:05.443000,SOFT,314.0,285.0,313.0,244.0,SOFT,14,0 days 00:01:09.987363636,0 days 00:00:00.596000,3,20.0,15.0,22.645454545454548,35.28181818181818,2.1727272727272724,83.0,49.86363636363637,939.2363636363636,21.3,31.3,2.1,81,54.6,939.5,0 days 00:01:05.290000,SOFT,309.0,282.0,314.0,243.0,SOFT,7.0,0 days 00:01:06.294000,0 days 00:00:00.511000,4.0,5.0,3.0,21.933333333333337,45.23333333333333,0.9666666666666668,307.3333333333333,40.8,942.0666666666666,23.3,48.5,1.2,74,38.6,941.9,0 days 00:01:05.031000,0 days 00:01:04.431000,,13.0,311.0,24.4,48.9,0.9,88,35.4,940.7,317.0,23.7,48.6,1.2,110.0,35.1,940.6,,,,,,,,,12.0,AlphaTauri,3,0
LAT,0 days 00:01:06.906000,SOFT,308.0,277.0,306.0,241.0,MEDIUM,15.0,0 days 00:01:08.466375,0 days 00:00:01.652000,7.0,8.125,2.0,18.8625,23.2375,1.275,113.75,70.57499999999999,939.8625,18.8,22.0,2.3,89.0,70.5,939.6,0 days 00:01:07.124000,SOFT,308.0,280.0,308.0,236.0,HARD,25,0 days 00:01:10.751681818,0 days 00:00:00.226000,3,18.5,8.0,22.490909090909096,34.918181818181814,1.9409090909090907,81.86363636363636,51.04545454545453,939.231818181818,21.3,31.4,2.2,83,54.0,939.5,0 days 00:01:07.049000,SOFT,308.0,280.0,312.0,241.0,,,,,,,,,,,,,,21.8,45.2,0.9,94,40.8,942.1,0 days 00:01:05.757000,,,20.0,312.0,24.6,49.9,1.4,94,34.0,940.7,,,,,,,,,,,,,,,0 days 00:00:31.650000,11.0,Williams,3,0
LEC,0 days 00:01:05.924000,MEDIUM,304.0,281.0,310.0,245.0,MEDIUM,8.0,0 days 00:01:07.222750,-1 days +23:59:58.218000,4.0,5.75,3.0,18.174999999999997,21.9,0.975,130.5,72.5,939.525,18.2,22.4,1.2,8.0,71.1,939.7,0 days 00:01:05.298000,SOFT,313.0,283.0,314.0,246.0,SOFT,17,0 days 00:01:09.802800,0 days 00:00:00.091000,2,17.0,10.0,21.959999999999997,33.64666666666667,1.4866666666666668,109.53333333333332,53.38,939.2533333333336,21.2,31.0,1.3,48,55.6,939.7,0 days 00:01:04.703000,SOFT,311.0,280.0,309.0,249.0,SOFT,7.0,0 days 00:01:08.577666666,0 days 00:00:00.326000,4.0,12.0,11.0,23.0,48.96666666666667,3.0,88.66666666666667,39.2,941.9,23.3,47.9,0.8,205,39.7,942.0,0 days 00:01:04.500000,0 days 00:01:04.041000,0 days 00:01:03.923000,7.0,310.0,24.5,50.2,1.6,66,34.4,940.8,312.0,24.8,49.0,1.6,232.0,34.0,940.5,309.0,25.1,48.8,1.1,355.0,33.3,940.4,0 days 00:00:02.700000,2.0,Ferrari,3,0
MAG,0 days 00:01:05.907000,SOFT,307.0,278.0,306.0,240.0,HARD,9.0,0 days 00:01:08.420600,-1 days +23:59:56.817000,4.0,5.4,3.0,18.18,21.9,0.8200000000000001,104.4,72.54,939.54,18.6,23.4,0.8,89.0,71.6,939.7,0 days 00:01:05.678000,SOFT,306.0,277.0,309.0,242.0,MEDIUM,14,0 days 00:01:10.056777777,0 days 00:00:00.159000,5,18.0,13.0,22.633333333333333,35.28888888888889,2.4777777777777774,81.55555555555556,49.96666666666667,939.2333333333332,21.4,31.4,2.1,81,54.5,939.4,0 days 00:01:05.648000,SOFT,311.0,281.0,316.0,243.0,MEDIUM,5.0,0 days 00:01:06.227000,0 days 00:00:00,4.0,7.0,7.0,22.9,47.5,1.3,356.0,40.6,941.9,23.4,48.9,1.8,72,38.4,942.0,0 days 00:01:05.164000,,,16.0,314.0,24.5,50.2,1.6,66,34.4,940.8,,,,,,,,,,,,,,,,17.0,Haas F1 Team,3,0
