Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:06.285000,SOFT,313.0,280.0,317.0,237.0,SOFT,9,0 days 00:01:06.647500,-1 days +23:59:59.677000,7,10.0,8.0,28.5,48.8,2.65,65.0,27.950000000000003,941.45,28.5,48.8,1.3,49,29.5,941.5,0 days 00:01:06.064000,SOFT,313.0,282.0,309.0,239.0,HARD,19.0,0 days 00:01:09.330187500,-1 days +23:59:59.427000,3.0,9.5,2.0,31.1375,48.16875,1.93125,103.6875,20.05,940.68125,30.5,50.4,2.9,99,21.4,940.6,0 days 00:01:05.481000,SOFT,315.0,285.0,317.0,246.0,SOFT,10.0,0 days 00:01:09.784777777,0 days 00:00:00.050000,1.0,12.0,8.0,26.933333333333337,49.25555555555556,2.344444444444444,67.33333333333333,32.61111111111111,943.4,26.4,50.0,1.2,68,34.3,943.3,0 days 00:01:04.708000,0 days 00:01:04.665000,,13.0,322.0,29.9,50.9,0.7,97.0,25.7,941.9,314.0,30.5,50.3,1.6,70.0,25.5,941.8,,,,,,,,,15.0,Toro Rosso,0,0
BOT,0 days 00:01:04.999000,SOFT,311.0,285.0,315.0,247.0,SOFT,10,0 days 00:01:07.182500,-1 days +23:59:58.053000,6,5.25,2.0,27.925,47.075,2.275,72.5,31.475,941.65,27.9,48.4,0.9,164,29.7,941.6,0 days 00:01:05.417000,MEDIUM,311.0,286.0,311.0,247.0,,,,,,,,,,,,,,30.8,50.5,3.6,64,21.3,940.5,0 days 00:01:04.221000,SOFT,309.0,289.0,314.0,249.0,SOFT,9.0,0 days 00:01:05.065000,-1 days +23:59:59.129000,6.0,5.0,2.0,25.566666666666663,49.23333333333333,1.0666666666666669,138.0,34.7,943.5333333333332,26.5,49.3,2.4,71,33.2,943.3,0 days 00:01:04.084000,0 days 00:01:03.863000,0 days 00:01:03.537000,4.0,314.0,29.9,50.9,0.7,97.0,25.7,941.9,313.0,29.8,50.3,2.4,80.0,26.8,941.9,319.0,30.3,50.0,0.8,71.0,25.9,941.7,0 days 00:00:18.960000,3.0,Mercedes,0,0
GAS,0 days 00:01:05.378000,SOFT,309.0,283.0,312.0,245.0,MEDIUM,9,0 days 00:01:07.157250,-1 days +23:59:58.361000,5,5.0,2.0,26.625,45.375,1.2,77.25,34.625,941.825,28.7,48.8,1.3,83,29.1,941.4,0 days 00:01:05.487000,SOFT,312.0,284.0,308.0,242.0,SOFT,15.0,0 days 00:01:10.586900,-1 days +23:59:59.903000,5.0,16.3,11.0,31.02,47.970000000000006,2.51,73.0,20.21,940.67,30.4,49.3,2.2,76,20.9,940.6,0 days 00:01:05.152000,SOFT,311.0,285.0,312.0,243.0,SOFT,8.0,0 days 00:01:05.288666666,-1 days +23:59:59.794000,5.0,4.0,2.0,26.766666666666666,50.26666666666667,2.3000000000000003,56.666666666666664,34.666666666666664,943.2,26.0,49.3,2.8,52,33.3,943.3,0 days 00:01:04.412000,0 days 00:01:03.988000,0 days 00:01:04.199000,9.0,315.0,29.0,51.9,2.3,76.0,28.1,942.0,314.0,29.5,49.9,1.5,75.0,27.4,941.9,311.0,28.9,50.1,1.0,265.0,27.4,941.7,,7.0,Red Bull Racing,0,0
GIO,0 days 00:01:06.708000,SOFT,306.0,280.0,311.0,236.0,SOFT,11,0 days 00:01:08.109800,-1 days +23:59:57.343000,6,7.0,3.0,27.8,46.88,1.7399999999999998,66.4,31.860000000000003,941.68,27.9,48.4,0.9,164,29.7,941.6,0 days 00:01:06.119000,SOFT,315.0,286.0,316.0,237.0,SOFT,11.0,0 days 00:01:11.252625,0 days 00:00:02.491000,3.0,15.375,11.0,31.1875,48.3875,2.2875,90.25,20.012500000000003,940.6625,30.5,49.3,3.2,75,20.5,940.6,0 days 00:01:05.336000,SOFT,313.0,290.0,317.0,240.0,MEDIUM,10.0,0 days 00:01:06.276250,-1 days +23:59:59.660000,6.0,6.75,3.0,26.725,49.45,1.7000000000000002,64.0,33.175,943.45,26.7,51.2,2.7,21,34.3,943.2,0 days 00:01:04.450000,0 days 00:01:04.194000,0 days 00:01:04.179000,8.0,321.0,30.1,51.3,1.4,74.0,25.6,941.9,321.0,29.5,49.9,1.5,75.0,27.4,941.9,318.0,30.3,50.0,0.8,71.0,25.9,941.7,,10.0,Alfa Romeo Racing,0,0
GRO,0 days 00:01:06.135000,SOFT,297.0,280.0,303.0,240.0,SOFT,9,0 days 00:01:07.595000,-1 days +23:59:59.355000,6,5.0,3.0,27.7,46.26666666666667,1.5333333333333332,92.0,31.966666666666665,941.7333333333332,28.7,48.8,2.0,75,28.2,941.4,0 days 00:01:05.701000,SOFT,311.0,283.0,307.0,239.0,SOFT,20.0,0 days 00:01:10.837722222,0 days 00:00:00.816000,2.0,16.5,8.0,30.988888888888887,48.96666666666667,2.033333333333333,88.33333333333333,20.31666666666667,940.65,30.6,50.2,2.6,64,20.5,940.5,0 days 00:01:05.620000,SOFT,308.0,285.0,308.0,239.0,MEDIUM,11.0,0 days 00:01:07.276200,0 days 00:00:00.961000,6.0,8.2,4.0,26.82,49.419999999999995,2.1,69.8,33.06,943.4400000000002,26.8,49.9,3.3,76,34.2,943.3,0 days 00:01:04.552000,0 days 00:01:04.490000,,11.0,310.0,29.9,50.9,0.7,97.0,25.7,941.9,310.0,29.6,49.9,1.1,44.0,27.3,941.9,,,,,,,,,16.0,Haas F1 Team,0,0
HAM,0 days 00:01:04.838000,SOFT,314.0,287.0,317.0,247.0,SOFT,12,0 days 00:01:06.743400,-1 days +23:59:58.397000,7,6.2,2.0,27.72,46.7,1.8400000000000003,57.8,31.639999999999997,941.68,28.2,48.9,2.5,66,28.5,941.5,0 days 00:01:05.529000,HARD,310.0,284.0,308.0,246.0,SOFT,14.0,0 days 00:01:09.361583333,0 days 00:00:00.496000,2.0,9.5,4.0,30.675,49.19166666666667,2.3749999999999996,67.33333333333333,20.575,940.6500000000002,31.0,50.8,3.4,67,20.5,940.4,0 days 00:01:04.130000,SOFT,311.0,285.0,314.0,246.0,SOFT,8.0,0 days 00:01:04.869000,-1 days +23:59:59.636000,6.0,4.5,3.0,26.5,49.8,1.7000000000000002,68.5,33.85,943.45,26.0,49.3,2.8,52,33.3,943.3,0 days 00:01:03.818000,0 days 00:01:03.803000,0 days 00:01:03.262000,2.0,314.0,29.9,50.9,0.7,97.0,25.7,941.9,314.0,29.6,49.9,1.1,44.0,27.3,941.9,319.0,30.3,50.0,0.8,71.0,25.9,941.7,0 days 00:00:22.805000,5.0,Mercedes,0,0
HUL,0 days 00:01:06.383000,SOFT,307.0,282.0,309.0,242.0,SOFT,11,0 days 00:01:07.177750,-1 days +23:59:58.206000,7,8.0,4.0,27.75,46.675,1.5499999999999998,134.75,31.775,941.7,27.7,48.2,0.7,263,30.0,941.5,0 days 00:01:06.249000,SOFT,307.0,282.0,307.0,241.0,HARD,10.0,0 days 00:01:11.090200,-1 days +23:59:59.523000,5.0,11.8,9.0,30.9,47.779999999999994,1.64,119.0,20.24,940.66,31.7,48.9,1.0,22,19.6,940.6,0 days 00:01:05.514000,SOFT,309.0,285.0,312.0,247.0,MEDIUM,6.0,0 days 00:01:06.633500,-1 days +23:59:59.305000,4.0,4.5,3.0,25.200000000000003,48.7,1.3,163.5,35.55,943.55,27.1,50.8,1.5,51,33.7,943.2,0 days 00:01:04.733000,0 days 00:01:04.516000,,12.0,319.0,30.1,51.3,1.4,74.0,25.6,941.9,316.0,30.5,50.3,1.6,70.0,25.5,941.8,,,,,,,,,13.0,Renault,0,0
KUB,0 days 00:01:07.665000,SOFT,309.0,282.0,312.0,238.0,SOFT,12,0 days 00:01:08.596600,-1 days +23:59:58.250000,7,7.0,3.0,27.74,46.8,1.82,126.2,31.840000000000003,941.7,28.2,48.9,2.9,46,27.5,941.6,0 days 00:01:08.508000,MEDIUM,310.0,281.0,312.0,238.0,MEDIUM,22.0,0 days 00:01:12.075368421,0 days 00:00:00.231000,3.0,21.0,12.0,31.194736842105264,48.373684210526314,1.7999999999999998,83.73684210526316,20.10526315789474,940.6736842105264,31.3,51.0,2.9,81,20.4,940.5,0 days 00:01:07.484000,SOFT,312.0,281.0,317.0,236.0,SOFT,7.0,0 days 00:01:08.711333333,-1 days +23:59:59.995000,4.0,4.0,2.0,26.7,50.29999999999999,2.066666666666667,67.33333333333333,33.5,943.2666666666668,25.8,49.5,1.0,97,34.8,943.5,0 days 00:01:06.206000,,,20.0,316.0,29.9,50.9,0.7,97.0,25.7,941.9,,,,,,,,,,,,,,,,20.0,Williams,0,0
KVY,0 days 00:01:06.272000,SOFT,313.0,281.0,315.0,242.0,SOFT,13,0 days 00:01:07.251166666,-1 days +23:59:59.205000,7,7.0,2.0,27.78333333333333,46.71666666666666,1.5166666666666668,90.0,31.9,941.7,28.5,48.8,1.3,49,29.5,941.5,0 days 00:01:06.148000,SOFT,311.0,284.0,311.0,240.0,MEDIUM,16.0,0 days 00:01:10.512615384,-1 days +23:59:59.174000,3.0,17.0,11.0,31.069230769230764,48.08461538461539,2.0846153846153848,91.6923076923077,20.10769230769231,940.6846153846157,30.5,48.7,4.4,61,20.5,940.7,0 days 00:01:05.391000,SOFT,310.0,281.0,311.0,243.0,MEDIUM,10.0,0 days 00:01:06.597750,-1 days +23:59:58.992000,6.0,5.75,2.0,25.5,48.675,1.175,231.5,34.849999999999994,943.55,26.3,50.3,2.5,86,33.4,943.3,0 days 00:01:05.324000,,,18.0,313.0,29.9,51.0,1.0,334.0,25.9,941.9,,,,,,,,,,,,,,,,17.0,Toro Rosso,0,0
LEC,0 days 00:01:05.141000,MEDIUM,311.0,288.0,312.0,247.0,MEDIUM,8,0 days 00:01:06.791750,-1 days +23:59:58.408000,4,4.25,2.0,26.775,45.72500000000001,1.375,65.0,34.625,941.775,27.6,48.1,1.4,82,30.0,941.6,0 days 00:01:05.086000,SOFT,321.0,291.0,318.0,249.0,SOFT,12.0,0 days 00:01:09.391300,-1 days +23:59:59.902000,2.0,15.5,11.0,31.249999999999993,48.38,2.0699999999999994,103.8,20.04,940.6500000000002,30.4,49.6,2.8,70,20.4,940.7,0 days 00:01:03.987000,SOFT,319.0,293.0,319.0,253.0,SOFT,6.0,0 days 00:01:04.550500,-1 days +23:59:59.449000,4.0,3.5,2.0,25.65,49.35,0.55,74.5,34.55,943.5,26.7,49.8,2.2,65,33.4,943.3,0 days 00:01:04.138000,0 days 00:01:03.378000,0 days 00:01:03.003000,1.0,317.0,29.4,51.9,2.5,69.0,26.9,942.0,323.0,29.5,49.9,1.5,75.0,27.4,941.9,325.0,30.3,50.0,0.8,71.0,25.9,941.7,0 days 00:00:02.724000,2.0,Ferrari,0,0
