Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALO,0 days 00:01:46.465000,ULTRASOFT,305.0,318.0,198.0,221.0,ULTRASOFT,8.0,0 days 00:01:48.486500,0 days 00:00:00.501000,6.0,11.5,10.0,22.15,41.05,1.1,242.0,41.2,1019.55,22.6,42.6,1.2,277,41.4,1019.9,0 days 00:01:43.700000,ULTRASOFT,315.0,329.0,225.0,227.0,ULTRASOFT,11.0,0 days 00:01:49.275142857,-1 days +23:59:59.205000,4.0,11.714285714285714,8.0,19.371428571428577,27.799999999999994,1.2142857142857142,252.42857142857144,64.24285714285713,1018.4714285714284,19.8,29.0,0.9,245,59.1,1018.5,0 days 00:01:44.763000,ULTRASOFT,308.0,322.0,212.0,224.0,,,,,,,,,,,,,,24.3,30.4,1.3,248,40.5,1015.4,0 days 00:01:44.010000,0 days 00:01:44.019000,,13.0,309.0,22.4,27.0,1.3,234.0,46.6,1015.1,308.0,22.7,26.2,1.7,245.0,46.2,1015.2,,,,,,,,0 days 00:00:10.931000,7.0,McLaren,2,0
BOT,0 days 00:01:44.242000,ULTRASOFT,318.0,336.0,218.0,231.0,SUPERSOFT,7.0,0 days 00:01:47.766800,-1 days +23:59:57.034000,2.0,4.0,2.0,22.62,40.760000000000005,0.3,135.8,41.720000000000006,1019.96,22.9,42.6,1.3,293,40.2,1019.9,0 days 00:01:43.570000,ULTRASOFT,312.0,330.0,211.0,226.0,ULTRASOFT,9.0,0 days 00:01:49.573000,0 days 00:00:00.703000,3.0,17.833333333333332,15.0,19.350000000000005,27.883333333333336,1.2,213.33333333333337,63.599999999999994,1018.5,19.3,29.4,0.8,256,61.0,1018.7,0 days 00:01:43.569000,ULTRASOFT,315.0,326.0,220.0,225.0,ULTRASOFT,10.0,0 days 00:01:44.738000,-1 days +23:59:59.384000,7.0,6.333333333333333,4.0,24.2,30.066666666666663,1.2666666666666666,125.0,40.7,1015.6333333333332,23.8,29.4,1.2,233,42.1,1015.2,0 days 00:01:43.355000,0 days 00:01:42.679000,0 days 00:01:41.837000,3.0,311.0,22.5,27.0,1.6,99.0,46.5,1015.2,313.0,22.8,26.7,1.6,350.0,45.7,1015.2,315.0,22.8,26.2,1.5,60.0,46.2,1015.2,,14.0,Mercedes,2,0
ERI,0 days 00:01:47.073000,ULTRASOFT,309.0,329.0,199.0,224.0,ULTRASOFT,6.0,0 days 00:01:52.193666666,-1 days +23:59:57.504000,3.0,5.0,4.0,23.0,42.7,0.9,278.3333333333333,42.13333333333333,1019.9,22.9,42.8,1.3,254,39.8,1019.8,0 days 00:01:46.042000,SOFT,308.0,324.0,203.0,224.0,,,,,,,,,,,,,,20.1,30.8,1.3,250,55.9,1018.8,0 days 00:01:45.910000,ULTRASOFT,304.0,323.0,220.0,221.0,ULTRASOFT,10.0,0 days 00:01:46.880250,-1 days +23:59:59.089000,6.0,6.75,3.0,24.35,30.174999999999997,1.25,221.5,40.425,1015.425,24.2,29.4,1.5,77,41.3,1015.2,0 days 00:01:45.541000,,,18.0,304.0,22.5,27.0,1.6,99.0,46.5,1015.2,,,,,,,,,,,,,,,0 days 00:00:18.512000,11.0,Sauber,2,0
GAS,0 days 00:01:46.492000,SUPERSOFT,307.0,324.0,206.0,222.0,SUPERSOFT,6.0,0 days 00:01:47.718000,-1 days +23:59:59.476000,4.0,3.5,2.0,22.45,42.599999999999994,0.65,119.5,41.45,1019.85,22.3,40.6,1.2,251,41.3,1019.5,0 days 00:01:44.712000,ULTRASOFT,308.0,327.0,218.0,233.0,SUPERSOFT,11.0,0 days 00:01:49.194333333,-1 days +23:59:57.113000,2.0,14.0,10.0,19.42222222222222,27.455555555555556,1.822222222222222,251.11111111111111,64.28888888888888,1018.3333333333334,19.6,29.2,0.8,277,59.1,1018.6,0 days 00:01:44.905000,ULTRASOFT,305.0,323.0,217.0,223.0,ULTRASOFT,7.0,0 days 00:01:45.313333333,0 days 00:00:00.269000,4.0,4.0,2.0,24.166666666666668,29.8,1.5666666666666669,177.33333333333334,40.766666666666666,1015.5666666666666,23.7,28.4,1.7,273,42.8,1015.1,0 days 00:01:44.496000,,,17.0,304.0,22.4,26.9,1.6,204.0,46.8,1015.3,,,,,,,,,,,,,,,0 days 00:00:24.720000,12.0,Toro Rosso,2,0
GRO,0 days 00:01:46.856000,ULTRASOFT,313.0,327.0,208.0,229.0,SUPERSOFT,8.0,0 days 00:01:48.901333333,0 days 00:00:00.268000,2.0,5.5,3.0,23.03333333333333,42.8,0.7833333333333333,281.6666666666667,41.666666666666664,1019.9333333333332,22.3,40.6,1.2,251,41.3,1019.5,0 days 00:01:44.425000,ULTRASOFT,309.0,327.0,217.0,236.0,ULTRASOFT,8.0,0 days 00:01:48.728500,0 days 00:00:02.165000,4.0,11.5,9.0,19.424999999999997,27.75,1.25,194.75,64.175,1018.425,19.9,29.2,1.7,247,59.4,1018.5,0 days 00:01:45.261000,ULTRASOFT,316.0,325.0,215.0,226.0,,,,,,,,,,,,,,24.2,29.8,2.5,253,41.0,1015.2,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,15.0,Haas F1 Team,2,0
HAM,0 days 00:01:45.200000,ULTRASOFT,313.0,327.0,201.0,232.0,SUPERSOFT,6.0,0 days 00:01:48.528333333,-1 days +23:59:58.902000,3.0,4.0,3.0,22.766666666666666,40.8,0.3999999999999999,9.333333333333334,42.43333333333334,1019.9666666666668,22.4,42.8,0.9,239,41.0,1019.8,0 days 00:01:43.603000,ULTRASOFT,313.0,330.0,226.0,235.0,SOFT,8.0,0 days 00:01:47.125250,-1 days +23:59:59.200000,4.0,9.0,7.0,19.4,27.450000000000003,1.75,257.0,64.55,1018.25,19.8,29.4,1.1,241,58.5,1018.6,0 days 00:01:43.452000,ULTRASOFT,310.0,327.0,226.0,230.0,ULTRASOFT,7.0,0 days 00:01:44.120000,0 days 00:00:00.022000,5.0,3.0,2.0,24.15,29.75,0.75,145.5,40.8,1015.7,24.3,29.5,0.7,150,41.4,1015.1,0 days 00:01:42.693000,0 days 00:01:42.676000,0 days 00:01:41.677000,2.0,312.0,22.5,27.0,1.6,99.0,46.5,1015.2,318.0,22.8,26.5,2.0,47.0,45.9,1015.1,316.0,22.8,26.2,1.5,60.0,46.2,1015.2,0 days 01:43:44.291000,1.0,Mercedes,2,0
HAR,0 days 00:01:46.747000,SUPERSOFT,306.0,324.0,199.0,223.0,SOFT,11.0,0 days 00:01:50.240833333,-1 days +23:59:58.020000,5.0,7.5,4.0,23.05,42.38333333333333,0.6666666666666666,254.0,40.916666666666664,1019.9333333333332,22.1,41.2,0.8,244,41.1,1019.6,0 days 00:01:45.051000,ULTRASOFT,306.0,325.0,217.0,225.0,ULTRASOFT,12.0,0 days 00:01:50.053200,0 days 00:00:01.967000,2.0,16.5,12.0,19.33,28.02999999999999,0.9,165.9,63.3,1018.48,19.7,29.5,0.9,281,58.6,1018.6,0 days 00:01:46.186000,ULTRASOFT,299.0,320.0,205.0,210.0,,,,,,,,,,,,,,24.3,29.6,1.4,265,41.2,1015.2,0 days 00:01:57.354000,,,19.0,299.0,22.3,26.8,1.0,186.0,47.0,1015.3,,,,,,,,,,,,,,,0 days 00:00:18.030000,10.0,Toro Rosso,2,0
HUL,0 days 00:01:46.749000,SUPERSOFT,309.0,325.0,198.0,216.0,SOFT,5.0,0 days 00:01:49.578000,-1 days +23:59:54.830000,3.0,3.5,3.0,22.9,42.599999999999994,1.0,274.5,42.6,1019.9,22.9,42.6,1.3,293,40.2,1019.9,0 days 00:01:44.091000,ULTRASOFT,316.0,332.0,208.0,224.0,SUPERSOFT,12.0,0 days 00:01:48.141000,-1 days +23:59:59.626000,2.0,15.5,11.0,19.42,27.51,1.82,250.3,64.22999999999999,1018.34,19.9,29.2,1.7,247,59.4,1018.5,0 days 00:01:45.456000,SUPERSOFT,304.0,319.0,216.0,222.0,,,,,,,,,,,,,,23.8,29.4,1.6,18,41.9,1015.2,0 days 00:01:43.746000,0 days 00:01:43.232000,0 days 00:01:43.066000,9.0,309.0,22.6,27.0,1.5,259.0,46.2,1015.1,310.0,22.7,26.2,0.8,211.0,46.1,1015.1,307.0,22.8,26.4,0.8,59.0,46.1,1015.2,,18.0,Renault,2,0
LEC,0 days 00:01:46.875000,ULTRASOFT,309.0,326.0,215.0,230.0,ULTRASOFT,6.0,0 days 00:01:50.562000,0 days 00:00:01.540000,3.0,5.333333333333333,4.0,23.066666666666663,42.833333333333336,0.8666666666666666,271.6666666666667,41.666666666666664,1019.9666666666668,22.9,42.6,1.3,293,40.2,1019.9,0 days 00:01:44.940000,ULTRASOFT,307.0,325.0,222.0,238.0,SUPERSOFT,11.0,0 days 00:01:48.146500,0 days 00:00:02.456000,3.0,12.625,9.0,19.362499999999997,27.9125,0.95,207.25,63.662499999999994,1018.475,19.3,29.4,0.5,315,60.2,1018.7,0 days 00:01:45.218000,ULTRASOFT,312.0,335.0,208.0,227.0,,,,,,,,,,,,,,24.2,29.8,2.5,253,41.0,1015.2,0 days 00:01:43.752000,0 days 00:01:44.074000,,14.0,306.0,22.6,27.1,1.6,247.0,46.0,1015.1,302.0,22.8,26.3,1.6,337.0,45.8,1015.0,,,,,,,,0 days 00:00:09.158000,6.0,Sauber,2,0
MAG,0 days 00:01:47.434000,ULTRASOFT,314.0,328.0,201.0,206.0,SUPERSOFT,5.0,0 days 00:01:50.348333333,0 days 00:00:03.852000,2.0,4.0,3.0,23.0,42.76666666666667,0.7999999999999999,276.0,42.16666666666667,1019.9333333333334,22.4,42.4,0.5,190,41.2,1019.9,0 days 00:01:43.977000,ULTRASOFT,308.0,325.0,220.0,241.0,SUPERSOFT,10.0,0 days 00:01:46.281400,-1 days +23:59:58.239000,5.0,5.0,2.0,19.8,30.879999999999995,1.2,253.4,56.96,1018.86,19.6,29.2,0.8,277,59.1,1018.6,0 days 00:01:43.958000,ULTRASOFT,323.0,324.0,216.0,216.0,ULTRASOFT,7.0,0 days 00:01:44.547000,-1 days +23:59:59.784000,5.0,6.0,5.0,24.3,30.3,1.45,275.5,40.6,1015.35,24.2,29.4,1.5,77,41.3,1015.2,0 days 00:01:43.674000,0 days 00:01:44.759000,,15.0,312.0,22.4,26.9,1.6,204.0,46.8,1015.3,309.0,22.9,26.6,1.7,290.0,45.7,1015.1,,,,,,,,0 days 00:00:40.663000,13.0,Haas F1 Team,2,0
