Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:33.583000,MEDIUM,313.0,281.0,235.0,269.0,MEDIUM,8,0 days 00:01:34.867000,-1 days +23:59:59.936000,5,5.333333333333333,3.0,19.566666666666663,34.63333333333333,2.9333333333333336,79.0,38.666666666666664,1016.1333333333332,19.4,33.8,2.9,54,38.0,1016.0,0 days 00:01:31.333000,SOFT,316.0,282.0,239.0,270.0,SOFT,11,0 days 00:01:38.489800,0 days 00:00:03.827000,1,12.5,8.0,17.35,21.41,2.4799999999999995,86.8,36.2,1017.3099999999998,17.2,21.8,2.6,73,37.0,1017.3,0 days 00:01:31.965000,SOFT,316.0,284.0,239.0,268.0,,,,,,,,,,,,,,20.1,30.4,3.3,49,38.0,1017.8,0 days 00:01:30.397000,0 days 00:01:30.221000,,13.0,321.0,18.2,21.6,2.2,48,47.0,1019.1,321.0,18.0,21.2,1.9,64.0,46.0,1019.3,,,,,,,,0 days 00:00:11.886000,15.0,Williams,0,0
ALO,0 days 00:01:33.193000,MEDIUM,310.0,278.0,238.0,267.0,MEDIUM,6,0 days 00:01:34.168000,-1 days +23:59:59.522000,4,5.0,4.0,19.700000000000003,35.0,2.75,50.5,38.0,1016.05,19.2,33.2,3.0,59,39.0,1016.1,0 days 00:01:30.660000,SOFT,316.0,282.0,240.0,267.0,SOFT,12,0 days 00:01:37.292000,0 days 00:00:00.978000,3,9.0,5.0,17.355555555555558,21.344444444444445,2.3555555555555556,81.33333333333333,35.77777777777778,1017.3555555555554,17.3,21.9,2.6,102,36.0,1017.2,0 days 00:01:30.965000,SOFT,312.0,277.0,242.0,268.0,SOFT,8.0,0 days 00:01:32.872666666,0 days 00:00:02.721000,5.0,4.666666666666667,2.0,20.333333333333332,31.933333333333337,2.5,57.333333333333336,36.666666666666664,1017.7333333333332,20.0,30.6,2.2,46,38.0,1017.8,0 days 00:01:30.179000,0 days 00:01:29.801000,0 days 00:01:29.542000,6.0,313.0,18.1,21.7,2.8,52,47.0,1019.0,319.0,18.0,21.2,1.4,66.0,46.0,1019.2,314.0,17.9,21.1,1.1,84.0,46.0,1019.3,0 days 00:01:14.887000,9.0,Aston Martin,0,0
BOT,0 days 00:01:33.354000,SOFT,308.0,279.0,239.0,268.0,MEDIUM,7,0 days 00:01:35.317666666,0 days 00:00:00.140000,4,5.0,3.0,19.6,34.766666666666666,2.766666666666667,75.0,38.333333333333336,1016.1666666666666,19.2,33.5,3.8,53,39.0,1016.0,0 days 00:01:32.001000,SOFT,308.0,276.0,240.0,269.0,SOFT,13,0 days 00:01:37.720700,0 days 00:00:01.138000,3,12.5,8.0,17.340000000000003,21.35,2.3300000000000005,73.7,35.8,1017.35,17.2,22.3,1.5,111,41.0,1017.2,0 days 00:01:32.096000,SOFT,314.0,285.0,241.0,272.0,,,,,,,,,,,,,,20.1,30.2,3.2,53,38.0,1017.7,0 days 00:01:30.756000,,,16.0,318.0,18.2,21.6,2.2,48,47.0,1019.1,,,,,,,,,,,,,,,0 days 00:01:23.230000,19.0,Kick Sauber,0,0
GAS,0 days 00:01:35.144000,MEDIUM,309.0,276.0,234.0,263.0,MEDIUM,9,0 days 00:01:40.267833333,-1 days +23:59:59.511000,3,11.5,9.0,19.133333333333336,32.766666666666666,3.3666666666666667,65.33333333333333,39.5,1016.0833333333334,19.3,33.5,3.7,47,39.0,1016.1,0 days 00:01:31.951000,SOFT,312.0,279.0,237.0,269.0,SOFT,12,0 days 00:01:38.018111111,0 days 00:00:00.661000,3,13.0,9.0,17.355555555555558,21.35555555555556,2.222222222222222,86.0,35.77777777777778,1017.3555555555554,17.3,22.0,2.6,65,38.0,1017.3,0 days 00:01:32.382000,SOFT,313.0,280.0,236.0,267.0,,,,,,,,,,,,,,20.0,30.2,2.9,85,38.0,1017.8,0 days 00:01:30.948000,,,20.0,316.0,18.1,21.6,1.5,50,47.0,1019.1,,,,,,,,,,,,,,,0 days 00:00:32.417000,18.0,Alpine,0,0
HAM,0 days 00:01:33.302000,MEDIUM,309.0,279.0,238.0,270.0,MEDIUM,9,0 days 00:01:38.243750,0 days 00:00:03.303000,1,8.5,5.0,19.125,33.0,3.4124999999999996,68.5,39.375,1016.125,19.2,33.4,4.7,57,40.0,1016.0,0 days 00:01:30.374000,SOFT,315.0,283.0,240.0,272.0,SOFT,16,0 days 00:01:37.706916666,0 days 00:00:00.038000,4,10.666666666666666,5.0,17.333333333333336,21.408333333333335,2.4749999999999996,80.75,36.25,1017.3166666666666,17.2,22.0,2.6,95,38.0,1017.3,0 days 00:01:31.452000,SOFT,310.0,284.0,239.0,272.0,SOFT,8.0,0 days 00:01:38.268714285,0 days 00:00:03.453000,1.0,8.0,5.0,20.314285714285713,32.128571428571426,2.8000000000000003,48.714285714285715,36.0,1017.7,20.1,30.7,2.8,61,38.0,1017.8,0 days 00:01:30.451000,0 days 00:01:29.718000,0 days 00:01:29.710000,9.0,312.0,18.1,21.6,1.3,42,47.0,1019.1,316.0,18.0,21.3,1.2,64.0,46.0,1019.2,315.0,17.9,20.9,2.0,72.0,46.0,1019.3,0 days 00:00:50.324000,7.0,Mercedes,0,0
HUL,0 days 00:01:37.938000,MEDIUM,281.0,272.0,232.0,248.0,MEDIUM,5,0 days 00:01:38.793000,-1 days +23:59:59.344000,2,3.0,2.0,19.5,35.53333333333333,3.1999999999999997,73.0,37.666666666666664,1016.1666666666666,19.3,33.5,2.3,62,40.0,1016.1,0 days 00:01:30.884000,SOFT,317.0,283.0,242.0,273.0,SOFT,14,0 days 00:01:37.789181818,0 days 00:00:01.673000,3,10.0,5.0,17.327272727272728,21.363636363636363,2.372727272727273,75.27272727272727,35.90909090909091,1017.3272727272728,17.2,22.1,2.1,85,39.0,1017.2,0 days 00:01:31.278000,SOFT,319.0,281.0,242.0,272.0,SOFT,6.0,0 days 00:01:33.026500,0 days 00:00:00.023000,4.0,3.5,2.0,20.25,32.150000000000006,3.2,54.0,35.5,1017.8,20.0,30.0,3.0,77,38.0,1017.8,0 days 00:01:30.566000,0 days 00:01:29.851000,0 days 00:01:30.502000,10.0,319.0,18.2,21.6,2.2,48,47.0,1019.1,317.0,18.0,21.2,1.9,64.0,46.0,1019.3,317.0,17.9,21.1,1.2,43.0,47.0,1019.2,0 days 00:00:17.632000,16.0,Haas F1 Team,0,0
LEC,0 days 00:01:33.268000,MEDIUM,310.0,279.0,237.0,271.0,MEDIUM,9,0 days 00:01:37.783333333,0 days 00:00:01.890000,3,10.5,8.0,19.116666666666667,32.71666666666666,3.4499999999999997,70.66666666666667,39.333333333333336,1016.1166666666668,19.3,33.5,3.7,47,39.0,1016.1,0 days 00:01:31.113000,SOFT,313.0,284.0,241.0,273.0,SOFT,14,0 days 00:01:37.472363636,0 days 00:00:00.092000,3,13.0,8.0,17.33636363636364,21.38181818181818,2.3181818181818183,90.1818181818182,36.09090909090909,1017.3454545454543,17.3,22.0,2.5,65,37.0,1017.3,0 days 00:01:31.094000,SOFT,313.0,283.0,240.0,271.0,SOFT,5.0,0 days 00:01:33.989500,0 days 00:00:02.593000,3.0,9.5,8.0,20.15,31.0,2.6,52.0,38.5,1017.85,20.0,29.7,2.2,49,41.0,1017.8,0 days 00:01:30.243000,0 days 00:01:29.165000,0 days 00:01:29.407000,2.0,316.0,18.1,21.8,2.0,55,47.0,1019.0,317.0,18.0,21.2,1.4,66.0,46.0,1019.2,316.0,17.9,20.9,2.0,72.0,46.0,1019.3,0 days 00:00:39.669000,4.0,Ferrari,0,0
MAG,0 days 00:01:37.477000,MEDIUM,289.0,272.0,232.0,242.0,MEDIUM,7,0 days 00:01:38.944800,0 days 00:00:01.350000,2,4.0,2.0,19.48,35.34,3.12,63.0,37.8,1016.14,19.3,33.5,2.3,62,40.0,1016.1,0 days 00:01:31.764000,SOFT,,285.0,241.0,274.0,SOFT,15,0 days 00:01:38.104250,-1 days +23:59:59.649000,3,13.5,8.0,17.31666666666667,21.39166666666667,2.4416666666666664,81.41666666666667,36.166666666666664,1017.3333333333331,17.2,22.1,2.6,102,38.0,1017.2,0 days 00:01:31.671000,SOFT,314.0,285.0,242.0,272.0,SOFT,7.0,0 days 00:01:35.918200,-1 days +23:59:59.984000,2.0,10.0,8.0,20.32,31.68,2.6799999999999997,52.2,37.4,1017.76,19.9,29.8,3.1,37,40.0,1017.9,0 days 00:01:30.646000,0 days 00:01:30.529000,,15.0,319.0,18.2,21.6,2.2,48,47.0,1019.1,319.0,18.0,21.2,1.9,64.0,46.0,1019.3,,,,,,,,0 days 00:00:08.316000,12.0,Haas F1 Team,0,0
NOR,0 days 00:01:32.901000,SOFT,298.0,278.0,239.0,268.0,SOFT,11,0 days 00:01:38.042285714,0 days 00:00:02.771000,4,10.714285714285714,7.0,19.157142857142855,32.871428571428574,3.1999999999999997,65.14285714285714,39.142857142857146,1016.114285714286,19.1,33.6,3.3,63,40.0,1016.1,0 days 00:01:32.608000,SOFT,310.0,241.0,240.0,272.0,SOFT,13,0 days 00:01:37.418833333,0 days 00:00:04.413000,1,10.5,5.0,17.308333333333337,21.49166666666667,2.433333333333333,84.41666666666667,36.333333333333336,1017.2749999999996,17.2,22.1,3.2,99,39.0,1017.1,0 days 00:01:31.118000,SOFT,309.0,269.0,242.0,273.0,,,,,,,,,,,,,,20.0,30.6,2.2,46,38.0,1017.8,0 days 00:01:30.143000,0 days 00:01:29.941000,0 days 00:01:29.614000,7.0,309.0,18.1,21.7,2.8,52,47.0,1019.0,313.0,18.0,21.4,1.6,64.0,46.0,1019.2,312.0,17.9,21.0,1.7,69.0,46.0,1019.2,0 days 00:00:48.458000,6.0,McLaren,0,0
OCO,0 days 00:01:34.807000,MEDIUM,309.0,278.0,233.0,263.0,MEDIUM,7,0 days 00:01:35.419333333,-1 days +23:59:59.668000,4,4.0,2.0,19.566666666666663,35.23333333333334,3.466666666666667,65.66666666666667,38.0,1016.1,19.2,33.4,3.9,62,39.0,1016.1,0 days 00:01:32.027000,SOFT,313.0,278.0,238.0,269.0,SOFT,13,0 days 00:01:38.160000,0 days 00:00:01.016000,3,12.5,8.0,17.340000000000003,21.36,2.35,78.8,35.8,1017.33,17.2,22.0,2.6,95,38.0,1017.3,0 days 00:01:32.124000,SOFT,312.0,283.0,240.0,270.0,,,,,,,,,,,,,,19.9,29.7,2.9,60,39.0,1017.9,0 days 00:01:30.793000,,,19.0,315.0,18.1,21.6,1.3,42,47.0,1019.1,,,,,,,,,,,,,,,0 days 00:00:31.450000,17.0,Alpine,0,0
