Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALO,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:46.153000,SUPERSOFT,299.0,223.0,316.0,206.0,SOFT,7.0,0 days 00:01:48.173000,-1 days +23:59:59.343000,4.0,4.0,2.0,17.066666666666666,27.766666666666666,1.633333333333333,115.0,51.76666666666666,965.7666666666668,17.1,26.7,1.0,55.0,48.0,965.5,0 days 00:01:46.942000,MEDIUM,302.0,220.0,316.0,204.0,MEDIUM,6.0,0 days 00:01:47.081000,0 days 00:00:00.144000,4.0,9.5,8.0,13.0,22.35,1.0,7.0,65.15,964.3,12.2,21.4,2.1,1.0,70.2,964.2,0 days 00:01:44.917000,,,17.0,306.0,15.6,28.8,2.6,192.0,51.8,964.3,,,,,,,,,,,,,,,,19.0,McLaren,1.0,0.0
BOT,0 days 00:01:44.724000,MEDIUM,313.0,223.0,332.0,206.0,MEDIUM,11.0,0 days 00:01:49.194875,0 days 00:00:00.967000,3.0,12.75,9.0,15.3625,22.65,1.5750000000000002,169.375,66.9625,965.6375,16.5,26.2,1.1,356.0,66.4,965.5,0 days 00:01:43.803000,SUPERSOFT,308.0,225.0,329.0,214.0,SOFT,15.0,0 days 00:01:49.016545454,0 days 00:00:00.722000,4.0,13.272727272727272,7.0,17.12727272727273,26.327272727272724,1.3909090909090909,163.72727272727272,47.91818181818182,965.481818181818,17.1,27.3,0.9,197.0,48.3,965.6,0 days 00:01:43.464000,SUPERSOFT,307.0,224.0,327.0,211.0,SOFT,5.0,0 days 00:01:43.896000,-1 days +23:59:59.908000,3.0,3.0,2.0,13.45,23.95,1.65,217.0,64.0,964.25,13.0,24.2,1.7,4.0,64.4,964.3,0 days 00:01:42.805000,0 days 00:01:42.191000,,10.0,307.0,14.7,27.3,1.7,358.0,53.3,964.4,309.0,14.9,25.6,1.1,349.0,53.4,964.6,,,,,,,,0 days 00:01:03.605000,4.0,Mercedes,1.0,0.0
ERI,0 days 00:01:46.557000,SUPERSOFT,304.0,223.0,317.0,208.0,SOFT,6.0,0 days 00:01:49.048750,-1 days +23:59:58.198000,2.0,4.5,3.0,14.625,20.75,1.225,238.75,78.725,965.625,16.6,25.4,3.2,339.0,64.6,965.5,0 days 00:01:45.537000,SUPERSOFT,303.0,223.0,321.0,211.0,SUPERSOFT,8.0,0 days 00:01:51.032285714,0 days 00:00:04.649000,1.0,10.0,7.0,17.042857142857144,26.32857142857143,1.4,116.42857142857144,47.75714285714286,965.4571428571428,17.0,27.4,1.2,38.0,49.4,965.7,0 days 00:01:45.536000,SUPERSOFT,304.0,223.0,323.0,208.0,SOFT,7.0,0 days 00:01:46.546666666,0 days 00:00:00.505000,4.0,5.0,3.0,12.933333333333332,22.333333333333332,1.6,319.6666666666667,64.76666666666667,964.3,12.8,22.4,2.3,69.0,64.5,964.6,0 days 00:01:43.846000,0 days 00:01:44.301000,,14.0,312.0,15.1,27.9,0.9,285.0,52.9,964.4,304.0,15.2,27.4,2.0,321.0,52.5,964.4,,,,,,,,,10.0,Sauber,1.0,0.0
GAS,0 days 00:01:46.300000,SOFT,301.0,222.0,323.0,205.0,SOFT,10.0,0 days 00:01:48.561800,-1 days +23:59:56.526000,5.0,6.2,3.0,14.52,20.92,1.1800000000000002,107.6,78.26,965.68,16.4,26.3,1.8,341.0,67.1,965.6,0 days 00:01:46.080000,SUPERSOFT,297.0,223.0,320.0,207.0,SOFT,13.0,0 days 00:01:49.819454545,-1 days +23:59:59.774000,2.0,14.0,9.0,17.045454545454547,26.418181818181814,1.7,109.9090909090909,47.39090909090908,965.4909090909092,17.2,27.5,0.5,0.0,47.9,965.6,0 days 00:01:46.182000,SUPERSOFT,298.0,221.0,318.0,208.0,,,,,,,,,,,,,,13.2,23.8,2.8,20.0,62.9,964.2,0 days 00:01:44.221000,0 days 00:01:43.844000,,11.0,306.0,15.1,27.9,0.9,285.0,52.9,964.4,304.0,15.2,27.4,2.0,321.0,52.5,964.4,,,,,,,,0 days 00:01:45.892000,9.0,Toro Rosso,1.0,0.0
GRO,0 days 00:01:46.387000,SUPERSOFT,304.0,222.0,316.0,206.0,SOFT,7.0,0 days 00:01:49.101250,-1 days +23:59:59.260000,3.0,5.0,3.0,14.575,20.75,0.95,91.0,78.725,965.65,16.1,25.6,0.5,121.0,69.2,965.6,0 days 00:01:45.817000,SUPERSOFT,301.0,223.0,317.0,208.0,MEDIUM,9.0,0 days 00:01:50.360500,-1 days +23:59:59.998000,3.0,11.833333333333334,9.0,17.0,26.416666666666668,1.7333333333333334,214.5,47.38333333333333,965.4833333333336,17.1,27.5,0.6,63.0,48.5,965.6,0 days 00:01:45.814000,SOFT,303.0,226.0,323.0,207.0,,,,,,,,,,,,,,13.0,22.6,2.6,288.0,64.3,964.3,0 days 00:01:43.597000,0 days 00:01:43.042000,0 days 00:02:02.122000,5.0,311.0,14.7,27.3,1.7,358.0,53.3,964.4,310.0,14.9,25.6,1.1,349.0,53.4,964.6,264.0,12.5,20.2,1.3,165.0,73.2,965.0,0 days 00:01:25.953000,7.0,Haas F1 Team,1.0,0.0
HAM,0 days 00:01:44.676000,SOFT,308.0,226.0,335.0,209.0,MEDIUM,8.0,0 days 00:01:49.622666666,0 days 00:00:04.598000,2.0,10.833333333333334,8.0,15.383333333333333,22.6,1.8166666666666664,186.83333333333337,67.63333333333334,965.65,14.4,20.9,1.2,65.0,77.6,965.7,0 days 00:01:43.523000,SUPERSOFT,312.0,224.0,334.0,208.0,MEDIUM,11.0,0 days 00:01:49.184428571,0 days 00:00:01.984000,4.0,12.0,8.0,17.07142857142857,26.242857142857144,1.3142857142857145,105.0,47.65714285714285,965.4571428571428,17.1,27.3,1.7,20.0,49.0,965.6,0 days 00:01:42.798000,SUPERSOFT,309.0,225.0,328.0,212.0,SOFT,5.0,0 days 00:01:43.585000,0 days 00:00:00.124000,3.0,3.0,2.0,13.15,23.15,2.0999999999999996,189.0,63.25,964.2,13.0,24.2,1.7,4.0,64.4,964.3,0 days 00:01:42.977000,0 days 00:01:41.553000,0 days 00:01:58.179000,1.0,311.0,14.7,26.4,2.3,163.0,54.5,964.5,311.0,14.9,25.6,1.1,349.0,53.4,964.6,293.0,12.5,20.0,1.0,161.0,70.7,965.0,0 days 00:00:11.061000,2.0,Mercedes,1.0,0.0
HAR,0 days 00:01:46.932000,SOFT,295.0,220.0,316.0,206.0,SOFT,8.0,0 days 00:01:48.323666666,-1 days +23:59:58.626000,5.0,6.0,4.0,14.6,20.8,0.9333333333333332,149.66666666666666,78.39999999999999,965.6666666666666,16.4,25.8,0.7,8.0,68.2,965.5,0 days 00:01:46.337000,SUPERSOFT,298.0,223.0,322.0,207.0,SUPERSOFT,13.0,0 days 00:01:51.695000,0 days 00:00:04.336000,2.0,15.0,10.0,17.172727272727272,26.318181818181817,1.3090909090909089,218.54545454545453,48.11818181818182,965.481818181818,17.1,27.5,0.6,63.0,48.5,965.6,0 days 00:01:46.259000,SUPERSOFT,298.0,224.0,321.0,209.0,,,,,,,,,,,,,,12.9,22.5,1.2,0.0,64.4,964.2,0 days 00:01:44.153000,0 days 00:01:43.865000,,12.0,302.0,15.1,28.2,3.1,314.0,53.1,964.4,308.0,15.2,27.4,2.0,321.0,52.5,964.4,,,,,,,,,14.0,Toro Rosso,1.0,0.0
HUL,0 days 00:01:45.951000,SUPERSOFT,304.0,217.0,327.0,208.0,SUPERSOFT,7.0,0 days 00:01:50.282000,-1 days +23:59:58.164000,2.0,9.0,7.0,15.339999999999998,22.440000000000005,1.78,214.6,67.66,965.64,16.1,25.6,0.5,121.0,69.2,965.6,0 days 00:01:45.753000,SUPERSOFT,305.0,220.0,326.0,207.0,SOFT,12.0,0 days 00:01:50.236000,0 days 00:00:04.496000,1.0,12.0,7.0,17.07272727272727,26.33636363636364,1.4,206.63636363636363,47.627272727272725,965.4545454545456,17.1,27.4,2.6,244.0,48.0,965.6,0 days 00:01:45.464000,SUPERSOFT,303.0,224.0,318.0,212.0,SOFT,9.0,0 days 00:01:51.279428571,0 days 00:00:00.768000,2.0,5.0,2.0,12.87142857142857,22.628571428571423,1.7714285714285711,115.71428571428572,67.75714285714285,964.2142857142856,12.9,23.8,1.7,139.0,64.6,964.4,0 days 00:01:44.145000,,,15.0,302.0,15.2,26.9,1.4,30.0,54.1,964.4,,,,,,,,,,,,,,,,20.0,Renault,1.0,0.0
LEC,0 days 00:01:46.554000,SUPERSOFT,302.0,223.0,320.0,207.0,SOFT,6.0,0 days 00:01:48.937000,-1 days +23:59:57.304000,2.0,5.5,4.0,14.625,20.75,1.4500000000000002,156.75,78.35,965.625,16.5,26.2,1.1,356.0,66.4,965.5,0 days 00:01:45.622000,SUPERSOFT,303.0,224.0,323.0,212.0,SUPERSOFT,8.0,0 days 00:01:51.740142857,0 days 00:00:04.597000,1.0,10.0,7.0,17.02857142857143,26.342857142857145,1.6,116.71428571428572,47.74285714285714,965.4714285714286,17.0,27.4,1.2,38.0,49.4,965.7,0 days 00:01:44.963000,SUPERSOFT,301.0,222.0,318.0,211.0,SOFT,8.0,0 days 00:01:45.445666666,-1 days +23:59:59.417000,5.0,5.666666666666667,3.0,12.966666666666669,22.933333333333337,1.3333333333333333,184.0,64.83333333333333,964.2999999999998,12.8,22.4,2.3,69.0,64.5,964.6,0 days 00:01:43.654000,0 days 00:01:44.062000,,13.0,309.0,15.1,27.9,0.9,285.0,52.9,964.4,306.0,14.9,25.6,1.1,349.0,53.4,964.6,,,,,,,,,18.0,Sauber,1.0,0.0
MAG,0 days 00:01:47.012000,SUPERSOFT,303.0,220.0,315.0,203.0,SOFT,7.0,0 days 00:01:48.855333333,-1 days +23:59:59.631000,4.0,4.666666666666667,3.0,14.6,20.733333333333334,1.2,124.66666666666669,78.39999999999999,965.6666666666666,15.8,23.8,1.7,98.0,65.3,965.6,0 days 00:01:46.078000,SUPERSOFT,304.0,222.0,315.0,206.0,SUPERSOFT,8.0,0 days 00:01:51.167142857,0 days 00:00:03.390000,1.0,12.0,9.0,17.12857142857143,26.24285714285714,1.2285714285714284,121.28571428571428,47.785714285714285,965.4428571428572,17.1,27.2,1.7,239.0,48.5,965.6,0 days 00:01:46.087000,SOFT,309.0,225.0,329.0,205.0,,,,,,,,,,,,,,13.1,22.5,1.4,195.0,63.0,964.3,0 days 00:01:43.834000,0 days 00:01:43.320000,0 days 00:02:04.933000,9.0,312.0,14.7,27.3,1.7,358.0,53.3,964.4,311.0,15.2,27.4,2.0,321.0,52.5,964.4,266.0,13.3,20.8,0.5,152.0,67.2,965.0,0 days 00:01:27.639000,8.0,Haas F1 Team,1.0,0.0
NOR,0 days 00:01:47.364000,MEDIUM,295.0,220.0,310.0,202.0,MEDIUM,9.0,0 days 00:01:48.850500,-1 days +23:59:58.681000,5.0,6.0,3.0,14.8,21.424999999999997,1.375,156.5,77.65,965.6,15.3,24.4,1.7,14.0,72.3,965.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCO,0 days 00:01:45.786000,SUPERSOFT,309.0,224.0,329.0,206.0,SUPERSOFT,8.0,0 days 00:01:50.155333333,-1 days +23:59:59.903000,2.0,10.5,8.0,15.316666666666668,22.683333333333337,1.8333333333333333,174.66666666666666,66.48333333333333,965.6666666666666,16.4,26.3,1.8,341.0,67.1,965.6,0 days 00:01:45.935000,SUPERSOFT,308.0,213.0,328.0,200.0,SUPERSOFT,13.0,0 days 00:01:50.726363636,0 days 00:00:01.492000,2.0,17.0,12.0,17.045454545454547,26.37272727272727,1.4636363636363634,170.63636363636363,47.36363636363637,965.4727272727272,17.1,27.5,0.4,272.0,50.7,965.6,0 days 00:01:45.485000,SOFT,312.0,225.0,329.0,208.0,,,,,,,,,,,,,,13.2,23.3,2.5,108.0,62.7,964.2,0 days 00:01:44.003000,0 days 00:01:43.302000,0 days 00:02:01.851000,3.0,312.0,15.2,26.9,1.4,30.0,54.1,964.4,314.0,14.9,25.6,1.1,349.0,53.4,964.6,291.0,12.5,20.2,1.3,165.0,73.2,965.0,0 days 00:01:19.520000,6.0,Racing Point,1.0,0.0
PER,0 days 00:01:46.169000,SUPERSOFT,310.0,224.0,332.0,204.0,SUPERSOFT,7.0,0 days 00:01:49.998800,0 days 00:00:00.236000,2.0,11.0,9.0,15.28,22.72,1.94,140.4,66.1,965.64,15.9,24.2,2.9,349.0,64.8,965.6,0 days 00:01:44.662000,SUPERSOFT,309.0,217.0,333.0,204.0,SOFT,9.0,0 days 00:01:49.852857142,0 days 00:00:00.836000,2.0,11.0,8.0,17.014285714285712,26.47142857142857,1.4142857142857144,211.57142857142856,47.228571428571435,965.4714285714286,17.6,27.6,1.3,8.0,48.0,965.6,0 days 00:01:45.341000,SOFT,309.0,225.0,333.0,202.0,,,,,,,,,,,,,,13.1,22.5,1.4,195.0,63.0,964.3,0 days 00:01:44.004000,0 days 00:01:43.014000,0 days 00:02:01.894000,4.0,311.0,15.2,26.9,1.4,30.0,54.1,964.4,315.0,15.1,25.6,1.9,264.0,52.0,964.6,277.0,12.5,20.0,1.0,161.0,70.7,965.0,0 days 00:01:11.023000,5.0,Racing Point,1.0,0.0
RAI,0 days 00:01:44.718000,SOFT,303.0,226.0,320.0,210.0,SOFT,6.0,0 days 00:01:46.078000,-1 days +23:59:59.089000,2.0,4.5,3.0,14.875,21.3,1.5749999999999995,182.5,77.0,965.625,15.1,24.0,0.8,118.0,74.3,965.7,0 days 00:01:43.355000,SUPERSOFT,309.0,226.0,328.0,211.0,SUPERSOFT,9.0,0 days 00:01:49.545285714,0 days 00:00:05.133000,2.0,10.428571428571429,7.0,17.099999999999998,26.342857142857145,1.4142857142857144,213.28571428571428,47.42857142857143,965.4571428571428,17.5,27.5,1.0,314.0,48.3,965.7,0 days 00:01:42.724000,SUPERSOFT,308.0,227.0,329.0,213.0,SUPERSOFT,7.0,0 days 00:01:44.260000,0 days 00:00:00.003000,4.0,4.0,2.0,12.8,22.5,1.5333333333333332,63.333333333333336,68.2,964.1666666666666,13.6,25.1,1.6,346.0,63.4,964.2,0 days 00:01:42.585000,0 days 00:01:41.533000,0 days 00:02:02.671000,6.0,312.0,15.5,29.1,1.3,161.0,52.5,964.4,311.0,15.0,25.6,1.7,274.0,52.8,964.5,257.0,13.6,21.1,1.4,133.0,65.5,965.1,,17.0,Ferrari,1.0,0.0
RIC,0 days 00:01:45.558000,SUPERSOFT,309.0,220.0,325.0,208.0,,,,,,,,,,,,,,15.4,23.5,2.0,275.0,63.7,965.7,0 days 00:01:44.250000,SUPERSOFT,306.0,223.0,323.0,210.0,SUPERSOFT,10.0,0 days 00:01:50.293555555,0 days 00:00:05.318000,1.0,9.0,5.0,17.17777777777778,26.322222222222223,1.0777777777777775,174.33333333333334,48.12222222222222,965.4666666666668,17.1,27.5,0.6,63.0,48.5,965.6,0 days 00:01:44.479000,SOFT,302.0,223.0,319.0,213.0,,,,,,,,,,,,,,13.0,24.2,1.8,357.0,65.2,964.3,0 days 00:01:43.604000,0 days 00:01:43.126000,0 days 00:02:02.939000,8.0,312.0,15.1,27.9,0.9,285.0,52.9,964.4,313.0,15.2,27.4,2.0,321.0,52.5,964.4,273.0,13.2,20.7,1.9,146.0,66.8,964.9,,16.0,Red Bull Racing,1.0,0.0
