Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:16.142000,INTERMEDIATE,311.0,313.0,314.0,251.0,,,,,,,,,,,,,,19.0,23.8,1.5,131.0,84.7,922.7,0 days 00:01:10.275000,SOFT,323.0,319.0,322.0,265.0,MEDIUM,11.0,0 days 00:01:10.548000,-1 days +23:59:59.843000,6.0,6.0,2.0,19.32,24.0,1.1,165.0,81.02,921.78,18.6,23.7,0.9,170.0,82.3,921.6,0 days 00:01:09.136000,SOFT,328.0,323.0,323.0,265.0,SOFT,7.0,0 days 00:01:09.963000,-1 days +23:59:59.518000,4.0,4.0,2.0,21.266666666666666,40.23333333333333,1.1,123.0,64.7,923.6,21.5,38.2,1.0,121.0,62.6,923.4,0 days 00:01:08.503000,0 days 00:01:08.117000,0 days 00:01:07.935000,6.0,324.0,20.6,35.6,1.7,152.0,69.7,922.6,327.0,20.5,34.2,0.5,22.0,66.3,922.7,327.0,20.5,30.5,1.1,111.0,63.8,922.6,0 days 00:00:14.927000,14.0,Red Bull Racing,2.0,0.0
BOT,0 days 00:01:16.693000,INTERMEDIATE,298.0,297.0,299.0,250.0,,,,,,,,,,,,,,19.2,24.8,1.3,163.0,84.5,922.8,0 days 00:01:09.373000,SOFT,318.0,315.0,319.0,264.0,SOFT,10.0,0 days 00:01:14.033200,-1 days +23:59:57.776000,5.0,13.6,11.0,18.62,23.96,1.64,146.6,81.88,921.66,18.5,23.4,0.7,182.0,83.7,921.6,0 days 00:01:09.201000,SOFT,321.0,322.0,315.0,263.0,SOFT,9.0,0 days 00:01:09.692666666,-1 days +23:59:59.763000,6.0,5.0,2.0,21.166666666666668,38.6,0.8333333333333334,174.0,64.7,923.6666666666666,21.3,38.3,0.6,171.0,63.8,923.4,0 days 00:01:08.545000,0 days 00:01:08.232000,0 days 00:01:07.874000,5.0,322.0,20.4,35.4,1.2,157.0,68.8,922.7,321.0,20.5,34.2,2.2,0.0,65.7,922.7,322.0,20.5,30.5,1.0,139.0,64.2,922.6,,20.0,Mercedes,2.0,0.0
GAS,0 days 00:01:18.100000,INTERMEDIATE,295.0,295.0,298.0,249.0,WET,6.0,0 days 00:01:23.001000,-1 days +23:59:59.533000,3.0,5.333333333333333,4.0,18.233333333333334,24.333333333333332,1.1333333333333333,102.66666666666669,87.0,922.8666666666668,19.0,25.8,0.6,207.0,85.7,922.9,0 days 00:01:10.352000,SOFT,323.0,319.0,322.0,267.0,MEDIUM,11.0,0 days 00:01:10.767250,-1 days +23:59:59.586000,7.0,6.5,2.0,19.3,23.85,0.8500000000000001,113.75,81.775,921.7,18.5,23.1,1.8,161.0,84.1,921.7,0 days 00:01:09.625000,SOFT,329.0,324.0,322.0,265.0,SOFT,7.0,0 days 00:01:10.221666666,-1 days +23:59:59.726000,4.0,4.0,2.0,21.46666666666667,41.166666666666664,0.5333333333333333,161.66666666666666,63.63333333333333,923.6333333333332,21.4,38.4,0.7,166.0,63.9,923.4,0 days 00:01:08.909000,0 days 00:01:08.770000,0 days 00:01:08.837000,7.0,327.0,20.3,35.4,1.0,92.0,68.7,922.7,330.0,20.5,34.2,0.5,22.0,66.3,922.7,328.0,21.3,30.9,1.8,159.0,61.3,922.6,0 days 00:00:06.077000,2.0,Toro Rosso,2.0,0.0
GIO,0 days 00:01:19.600000,INTERMEDIATE,285.0,297.0,300.0,231.0,,,,,,,,,,,,,,18.8,25.2,1.0,134.0,84.5,922.8,0 days 00:01:10.419000,SOFT,321.0,321.0,325.0,267.0,SOFT,8.0,0 days 00:01:10.540000,-1 days +23:59:59.836000,5.0,9.0,7.0,18.633333333333336,23.733333333333334,1.5666666666666669,149.33333333333334,81.69999999999999,921.6666666666666,18.5,23.1,1.5,130.0,83.9,921.6,0 days 00:01:09.462000,SOFT,331.0,326.0,324.0,268.0,SOFT,11.0,0 days 00:01:11.269200,-1 days +23:59:59.456000,6.0,6.0,2.0,21.26,39.9,0.82,202.8,64.38,923.68,21.4,38.4,0.7,166.0,63.9,923.4,0 days 00:01:09.175000,0 days 00:01:08.919000,,13.0,329.0,20.4,34.6,2.1,143.0,68.6,922.6,327.0,20.5,34.2,2.2,0.0,65.7,922.7,,,,,,,,0 days 00:00:10.201000,5.0,Alfa Romeo Racing,2.0,0.0
GRO,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:10.504000,SOFT,317.0,318.0,320.0,263.0,SOFT,14.0,0 days 00:01:14.872600,0 days 00:00:01.749000,4.0,15.5,10.0,18.619999999999997,24.020000000000003,1.49,148.7,81.83,921.6,18.4,23.1,2.1,100.0,83.6,921.6,0 days 00:01:09.798000,SOFT,326.0,322.0,318.0,265.0,SOFT,11.0,0 days 00:01:11.879285714,0 days 00:00:01.478000,4.0,6.571428571428571,2.0,21.157142857142855,39.38571428571428,0.6428571428571429,189.8571428571429,64.9,923.6285714285716,21.3,38.3,0.6,171.0,63.8,923.4,0 days 00:01:09.197000,0 days 00:01:08.705000,0 days 00:01:08.854000,8.0,327.0,20.4,35.1,1.2,138.0,70.2,922.7,326.0,20.5,34.2,0.5,22.0,66.3,922.7,326.0,21.3,30.9,1.8,159.0,61.3,922.6,0 days 00:00:14.247000,13.0,Haas F1 Team,2.0,0.0
HAM,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:09.440000,SOFT,318.0,313.0,316.0,259.0,MEDIUM,13.0,0 days 00:01:09.966000,0 days 00:00:00.023000,9.0,8.25,4.0,19.3,23.8,1.0,143.75,81.80000000000001,921.75,18.6,23.7,0.9,170.0,82.3,921.6,0 days 00:01:08.320000,SOFT,324.0,317.0,319.0,263.0,SOFT,7.0,0 days 00:01:09.954666666,-1 days +23:59:59.892000,4.0,4.0,2.0,21.066666666666663,39.53333333333333,1.2,128.66666666666666,65.3,923.6333333333332,21.5,40.2,1.1,175.0,62.5,923.5,0 days 00:01:08.614000,0 days 00:01:08.088000,0 days 00:01:07.699000,3.0,321.0,20.5,35.1,1.4,97.0,69.5,922.7,318.0,20.5,34.2,2.2,0.0,65.7,922.7,325.0,21.3,30.9,1.8,159.0,61.3,922.6,0 days 00:00:11.139000,7.0,Mercedes,2.0,0.0
HUL,0 days 00:01:17.899000,INTERMEDIATE,293.0,295.0,298.0,237.0,,,,,,,,,,,,,,19.0,25.2,0.4,146.0,86.6,922.8,0 days 00:01:10.325000,SOFT,324.0,321.0,323.0,264.0,MEDIUM,10.0,0 days 00:01:14.193125,0 days 00:00:00.726000,2.0,14.5,11.0,18.6625,24.0,1.25,139.125,82.0,921.6125,18.5,23.4,0.7,182.0,83.7,921.6,0 days 00:01:09.650000,SOFT,328.0,323.0,323.0,265.0,SOFT,6.0,0 days 00:01:10.361500,-1 days +23:59:59.871000,4.0,8.5,7.0,21.4,43.9,1.0,145.0,64.3,923.55,21.5,38.2,1.0,121.0,62.6,923.4,0 days 00:01:09.050000,0 days 00:01:08.921000,,14.0,326.0,20.4,35.2,1.6,164.0,68.2,922.6,325.0,20.6,32.7,1.5,116.0,64.5,922.7,,,,,,,,0 days 00:00:18.059000,15.0,Renault,2.0,0.0
KUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:11.205000,SOFT,321.0,317.0,317.0,261.0,SOFT,10.0,0 days 00:01:14.099333333,-1 days +23:59:59.815000,4.0,6.0,2.0,20.23333333333333,34.88333333333333,0.8666666666666667,128.66666666666666,68.2,923.7333333333332,21.5,38.2,1.0,121.0,62.6,923.4,0 days 00:01:10.614000,,,19.0,324.0,20.4,34.6,2.1,143.0,68.6,922.6,,,,,,,,,,,,,,,,16.0,Williams,2.0,0.0
KVY,0 days 00:01:18.274000,INTERMEDIATE,294.0,295.0,296.0,252.0,,,,,,,,,,,,,,19.3,25.8,0.7,262.0,86.3,922.7,0 days 00:01:10.424000,SOFT,325.0,326.0,322.0,267.0,SOFT,12.0,0 days 00:01:14.344111111,-1 days +23:59:59.434000,3.0,15.0,11.0,18.666666666666664,24.06666666666667,1.2888888888888888,148.77777777777777,81.93333333333334,921.588888888889,18.5,23.5,1.4,107.0,82.5,921.6,0 days 00:01:09.415000,SOFT,328.0,325.0,323.0,265.0,SOFT,10.0,0 days 00:01:10.558333333,-1 days +23:59:59.710000,7.0,5.0,2.0,21.433333333333337,41.43333333333333,0.9666666666666668,215.33333333333337,64.1,923.6666666666666,21.4,38.4,0.7,166.0,63.9,923.4,0 days 00:01:09.320000,,,16.0,322.0,20.4,35.3,1.0,153.0,70.5,922.7,,,,,,,,,,,,,,,0 days 00:00:11.931000,10.0,Toro Rosso,2.0,0.0
LAT,0 days 00:01:20.010000,INTERMEDIATE,295.0,311.0,312.0,249.0,INTERMEDIATE,6.0,0 days 00:01:22.177333333,-1 days +23:59:58.464000,3.0,3.3333333333333335,2.0,18.9,25.333333333333332,1.2,163.0,84.96666666666665,922.7666666666668,19.0,23.5,1.4,149.0,84.4,922.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
