Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALO,0 days 00:01:13.900000,ULTRASOFT,320.0,290.0,256.0,278.0,ULTRASOFT,6.0,0 days 00:01:14.123500,-1 days +23:59:59.907000,4.0,6.0,5.0,20.0,34.9,2.95,181.0,30.5,1020.65,20.0,36.1,1.4,358.0,29.9,1020.7,0 days 00:01:13.866000,ULTRASOFT,313.0,281.0,256.0,277.0,ULTRASOFT,7.0,0 days 00:01:18.114200,-1 days +23:59:59.572000,2.0,13.0,11.0,23.339999999999996,40.7,2.8400000000000003,216.6,29.360000000000003,1018.82,22.0,41.5,1.7,180.0,31.9,1018.9,0 days 00:01:13.225000,HYPERSOFT,318.0,281.0,257.0,280.0,HYPERSOFT,8.0,0 days 00:01:19.093600,0 days 00:00:03.310000,3.0,10.0,8.0,21.5,35.959999999999994,2.68,139.6,32.86,1018.7,21.4,37.6,3.5,26.0,29.0,1018.4,0 days 00:01:12.979000,0 days 00:01:12.856000,,14.0,319.0,23.2,42.8,2.3,30.0,20.7,1017.3,316.0,23.0,43.2,2.4,45.0,20.7,1017.1,,,,,,,,,18.0,McLaren,1.0,0.0
BOT,0 days 00:01:13.617000,ULTRASOFT,321.0,292.0,259.0,281.0,ULTRASOFT,9.0,0 days 00:01:16.800833333,-1 days +23:59:59.706000,3.0,14.833333333333334,12.0,20.316666666666663,35.699999999999996,2.2333333333333334,291.0,30.1,1020.65,20.1,34.8,3.2,8.0,30.6,1020.6,0 days 00:01:13.061000,ULTRASOFT,314.0,291.0,258.0,280.0,SUPERSOFT,9.0,0 days 00:01:15.949000,-1 days +23:59:59.844000,3.0,13.166666666666666,10.0,23.483333333333334,39.4,1.9666666666666668,184.33333333333337,28.53333333333333,1018.6,22.0,41.5,1.7,180.0,31.9,1018.9,0 days 00:01:12.255000,HYPERSOFT,317.0,291.0,259.0,280.0,ULTRASOFT,10.0,0 days 00:01:12.823000,-1 days +23:59:59.500000,6.0,5.75,2.0,21.225,35.400000000000006,2.75,269.25,35.075,1018.825,21.4,37.0,2.2,341.0,29.8,1018.5,0 days 00:01:11.950000,0 days 00:01:11.514000,0 days 00:01:10.857000,2.0,320.0,23.7,42.9,2.0,19.0,20.3,1017.1,323.0,23.4,43.9,0.8,10.0,21.2,1017.1,324.0,23.0,43.9,3.3,19.0,19.0,1016.9,0 days 00:00:07.376000,2.0,Mercedes,1.0,0.0
ERI,0 days 00:01:15.386000,ULTRASOFT,318.0,287.0,256.0,277.0,ULTRASOFT,7.0,0 days 00:01:16.942750,0 days 00:00:00.183000,3.0,9.0,7.0,19.55,34.2,1.8249999999999995,180.5,32.7,1020.725,20.7,34.9,3.4,10.0,29.8,1020.6,0 days 00:01:14.108000,HYPERSOFT,318.0,290.0,259.0,282.0,ULTRASOFT,16.0,0 days 00:01:18.898153846,-1 days +23:59:59.022000,3.0,19.53846153846154,13.0,22.83076923076923,41.20769230769231,1.869230769230769,274.46153846153845,30.130769230769225,1018.753846153846,21.8,42.4,2.5,124.0,31.8,1018.9,0 days 00:01:13.925000,HYPERSOFT,317.0,287.0,259.0,280.0,HYPERSOFT,7.0,0 days 00:01:14.272333333,0 days 00:00:00.251000,4.0,4.0,2.0,21.8,37.56666666666667,2.6333333333333333,127.66666666666669,29.066666666666663,1018.4,21.9,36.7,2.7,353.0,30.2,1018.5,0 days 00:01:14.593000,,,19.0,320.0,23.2,44.1,2.1,26.0,21.2,1017.3,,,,,,,,,,,,,,,,15.0,Sauber,1.0,0.0
GAS,0 days 00:01:15.004000,ULTRASOFT,323.0,290.0,254.0,281.0,ULTRASOFT,9.0,0 days 00:01:15.684666666,-1 days +23:59:59.901000,6.0,4.0,2.0,20.4,35.26666666666667,2.6999999999999997,230.33333333333337,30.233333333333334,1020.6,20.3,35.6,2.2,337.0,30.4,1020.5,0 days 00:01:14.486000,HYPERSOFT,315.0,286.0,254.0,278.0,SUPERSOFT,16.0,0 days 00:01:18.326615384,-1 days +23:59:57.797000,3.0,16.076923076923077,10.0,23.361538461538466,39.97692307692308,2.1923076923076925,196.53846153846155,28.707692307692312,1018.7076923076924,21.8,42.4,2.5,124.0,31.8,1018.9,0 days 00:01:13.334000,HYPERSOFT,321.0,290.0,256.0,280.0,HYPERSOFT,7.0,0 days 00:01:13.773500,-1 days +23:59:59.825000,5.0,4.5,3.0,21.799999999999997,37.5,2.8,10.5,29.85,1018.4,20.8,35.5,2.2,341.0,36.1,1018.9,0 days 00:01:13.047000,,,16.0,325.0,23.5,43.6,2.0,350.0,21.3,1017.2,,,,,,,,,,,,,,,,11.0,Toro Rosso,1.0,0.0
GRO,0 days 00:01:15.119000,ULTRASOFT,318.0,290.0,255.0,278.0,SUPERSOFT,6.0,0 days 00:01:17.514666666,-1 days +23:59:58.314000,3.0,4.0,3.0,19.333333333333336,33.1,2.433333333333333,242.66666666666663,31.933333333333337,1020.8666666666668,20.4,35.0,2.2,13.0,29.3,1020.5,0 days 00:01:13.620000,HYPERSOFT,315.0,287.0,256.0,279.0,HYPERSOFT,12.0,0 days 00:01:18.524444444,0 days 00:00:02.174000,3.0,13.11111111111111,9.0,22.9,41.366666666666674,2.2666666666666666,250.44444444444449,30.85555555555555,1018.7777777777778,22.3,41.3,1.4,123.0,31.0,1018.8,0 days 00:01:13.014000,HYPERSOFT,319.0,290.0,258.0,281.0,ULTRASOFT,12.0,0 days 00:01:14.074250,-1 days +23:59:59.619000,8.0,6.75,3.0,21.275,35.825,2.9749999999999996,348.25,34.3,1018.775,21.6,38.0,2.1,21.0,28.1,1018.3,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,12.0,Haas F1 Team,1.0,0.0
HAM,0 days 00:01:13.390000,ULTRASOFT,327.0,292.0,260.0,282.0,SUPERSOFT,8.0,0 days 00:01:14.379333333,-1 days +23:59:59.193000,5.0,7.666666666666667,5.0,19.6,34.13333333333333,1.6666666666666667,122.66666666666669,32.43333333333334,1020.7333333333332,20.3,35.5,1.7,0.0,31.0,1020.6,0 days 00:01:12.777000,SUPERSOFT,316.0,290.0,258.0,282.0,ULTRASOFT,15.0,0 days 00:01:16.625909090,0 days 00:00:00.849000,4.0,17.454545454545453,12.0,22.918181818181814,41.10000000000001,1.981818181818182,238.0909090909091,30.16363636363636,1018.7636363636364,23.4,42.0,1.9,347.0,25.5,1019.0,0 days 00:01:11.706000,HYPERSOFT,319.0,293.0,259.0,281.0,ULTRASOFT,10.0,0 days 00:01:12.822000,-1 days +23:59:58.734000,7.0,5.0,2.0,21.166666666666668,35.13333333333333,1.9666666666666663,129.33333333333334,35.333333333333336,1018.9,21.8,37.4,2.6,2.0,29.8,1018.6,0 days 00:01:11.835000,0 days 00:01:11.740000,0 days 00:01:10.996000,4.0,318.0,23.4,42.5,2.7,328.0,20.8,1017.3,323.0,23.4,43.9,0.8,10.0,21.2,1017.1,321.0,22.9,43.6,1.6,321.0,19.4,1017.0,0 days 00:00:21.559000,5.0,Mercedes,1.0,0.0
HAR,0 days 00:01:15.756000,ULTRASOFT,316.0,288.0,253.0,277.0,SUPERSOFT,9.0,0 days 00:01:18.806000,-1 days +23:59:57.860000,5.0,6.5,5.0,19.275,33.075,2.3,180.25,32.025,1020.875,20.1,35.2,1.4,10.0,29.9,1020.6,0 days 00:01:13.889000,HYPERSOFT,319.0,289.0,255.0,283.0,HYPERSOFT,17.0,0 days 00:01:18.664000,0 days 00:00:00.239000,4.0,18.846153846153847,12.0,22.915384615384617,41.07692307692308,1.992307692307692,274.6923076923077,30.176923076923075,1018.753846153846,22.1,42.1,1.7,185.0,31.2,1018.8,0 days 00:01:13.076000,HYPERSOFT,322.0,288.0,258.0,281.0,HYPERSOFT,11.0,0 days 00:01:13.812666666,-1 days +23:59:59.757000,8.0,5.0,2.0,21.0,35.63333333333333,2.6,233.0,35.53333333333334,1018.8666666666668,21.5,37.5,1.8,347.0,29.7,1018.4,0 days 00:01:12.587000,0 days 00:01:12.635000,,12.0,325.0,23.2,42.8,2.3,30.0,20.7,1017.3,324.0,23.0,43.2,2.4,45.0,20.7,1017.1,,,,,,,,,19.0,Toro Rosso,1.0,0.0
HUL,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:13.967000,HYPERSOFT,320.0,293.0,257.0,285.0,ULTRASOFT,16.0,0 days 00:01:17.399583333,-1 days +23:59:58.624000,4.0,15.0,9.0,23.325000000000003,39.89166666666667,2.025,292.1666666666667,28.97499999999999,1018.6916666666668,21.8,42.4,2.5,124.0,31.8,1018.9,0 days 00:01:12.946000,HYPERSOFT,324.0,295.0,257.0,282.0,HYPERSOFT,7.0,0 days 00:01:14.101000,0 days 00:00:01.533000,4.0,9.0,7.0,21.566666666666663,36.3,2.733333333333333,237.66666666666663,31.6,1018.6,21.5,38.1,2.9,343.0,29.0,1018.5,0 days 00:01:12.795000,0 days 00:01:11.916000,0 days 00:01:11.973000,7.0,320.0,23.5,43.6,2.5,346.0,20.4,1017.2,326.0,23.1,43.2,1.5,139.0,21.5,1017.1,318.0,23.2,43.6,1.3,346.0,19.7,1017.0,,7.0,Renault,1.0,0.0
LAT,0 days 00:01:17.145000,HYPERSOFT,320.0,288.0,253.0,279.0,ULTRASOFT,8.0,0 days 00:01:18.858000,-1 days +23:59:59.174000,6.0,11.0,10.0,20.3,35.75,2.45,169.5,30.1,1020.65,19.8,34.2,2.3,6.0,32.1,1020.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEC,0 days 00:01:15.439000,ULTRASOFT,317.0,289.0,256.0,280.0,ULTRASOFT,7.0,0 days 00:01:18.074750,-1 days +23:59:58.328000,3.0,8.5,7.0,19.425,34.400000000000006,1.925,180.0,33.050000000000004,1020.75,20.1,34.8,3.2,8.0,30.6,1020.6,0 days 00:01:13.884000,HYPERSOFT,316.0,287.0,255.0,282.0,SUPERSOFT,22.0,0 days 00:01:18.050235294,-1 days +23:59:59.872000,5.0,22.705882352941178,13.0,23.200000000000003,40.49411764705882,2.2411764705882353,256.70588235294116,29.67058823529412,1018.7176470588236,21.9,42.8,1.7,359.0,30.7,1018.9,0 days 00:01:13.452000,HYPERSOFT,322.0,292.0,258.0,281.0,HYPERSOFT,6.0,0 days 00:01:13.603000,0 days 00:00:00,5.0,5.0,5.0,21.9,37.4,2.9,7.0,29.8,1018.4,21.2,35.7,3.9,13.0,33.0,1018.6,0 days 00:01:12.945000,0 days 00:01:12.661000,,13.0,324.0,23.2,42.8,2.3,30.0,20.7,1017.3,321.0,23.5,43.0,2.4,348.0,19.2,1017.0,,,,,,,,,10.0,Sauber,1.0,0.0
