Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALO,0 days 00:01:36.044000,ULTRASOFT,300.0,261.0,277.0,270.0,ULTRASOFT,8.0,0 days 00:01:39.726333333,0 days 00:00:02.825000,2.0,14.5,12.0,19.15,20.783333333333335,1.8333333333333337,69.5,46.88333333333333,1014.8,18.8,20.4,3.9,76,40.9,1015.3,0 days 00:01:34.632000,ULTRASOFT,311.0,257.0,279.0,275.0,ULTRASOFT,12,0 days 00:01:39.833300,0 days 00:00:00.638000,2,10.5,6.0,17.419999999999998,19.96,2.2,66.4,75.80000000000001,1010.91,17.6,20.5,1.5,66,75.3,1011.6,0 days 00:01:34.851000,ULTRASOFT,318.0,262.0,268.0,266.0,ULTRASOFT,5.0,0 days 00:01:35.501500,0 days 00:00:00.275000,3.0,4.0,3.0,12.6,15.1,2.75,202.5,82.0,1013.6,12.3,14.9,1.9,123,81.5,1014.0,0 days 00:01:33.428000,0 days 00:01:33.232000,,13.0,318.0,12.7,15.5,3.4,102,75.7,1014.9,325.0,12.7,15.3,2.2,148.0,75.5,1014.8,,,,,,,,0 days 00:00:30.639000,7.0,McLaren,1,0
BOT,0 days 00:01:34.457000,SOFT,311.0,265.0,,273.0,SOFT,15.0,0 days 00:01:35.537666666,-1 days +23:59:58.065000,9.0,7.666666666666667,2.0,18.966666666666665,20.549999999999997,3.9166666666666674,68.66666666666667,38.68333333333333,1015.45,18.9,20.7,2.4,49,43.0,1015.0,0 days 00:01:33.515000,ULTRASOFT,310.0,264.0,280.0,275.0,ULTRASOFT,9,0 days 00:01:39.211666666,0 days 00:00:00.554000,3,9.0,6.0,17.483333333333334,20.283333333333335,2.2333333333333334,68.33333333333333,75.45,1011.1666666666666,17.3,20.2,1.7,57,76.1,1011.7,0 days 00:01:33.761000,ULTRASOFT,321.0,264.0,270.0,265.0,SOFT,8.0,0 days 00:01:34.794333333,-1 days +23:59:59.191000,5.0,5.0,3.0,12.633333333333333,15.233333333333333,2.933333333333333,168.33333333333334,81.73333333333333,1013.6,12.4,15.1,3.2,91,82.5,1013.7,0 days 00:01:32.921000,0 days 00:01:32.063000,0 days 00:01:31.625000,3.0,322.0,12.6,15.7,2.3,205,78.3,1014.9,329.0,12.6,15.3,2.5,102.0,75.6,1014.7,326.0,12.7,15.3,2.3,138.0,76.0,1015.0,0 days 00:00:08.894000,2.0,Mercedes,1,0
ERI,0 days 00:01:36.909000,SOFT,314.0,257.0,282.0,273.0,MEDIUM,9.0,0 days 00:01:39.338750,-1 days +23:59:57.615000,5.0,7.0,4.0,19.0,20.375,3.775,68.75,36.85,1015.55,19.0,20.7,3.2,77,43.1,1014.9,0 days 00:01:35.624000,ULTRASOFT,312.0,262.0,282.0,274.0,SOFT,11,0 days 00:01:40.668555555,0 days 00:00:03.958000,2,16.0,12.0,17.433333333333334,19.955555555555556,2.2222222222222223,64.22222222222223,75.85555555555555,1010.8777777777776,17.5,20.3,1.6,83,75.5,1011.4,0 days 00:01:35.679000,ULTRASOFT,324.0,260.0,273.0,267.0,ULTRASOFT,7.0,0 days 00:01:36.658000,0 days 00:00:00,6.0,2.0,2.0,12.8,15.5,1.6,147.0,80.2,1013.6,12.3,14.9,2.4,138,81.5,1014.1,0 days 00:01:34.914000,,,20.0,324.0,13.0,15.9,2.0,64,77.0,1014.8,,,,,,,,,,,,,,,0 days 00:01:02.604000,16.0,Sauber,1,0
GAS,0 days 00:01:36.037000,SOFT,311.0,262.0,278.0,273.0,SOFT,8.0,0 days 00:01:39.148250,-1 days +23:59:58.007000,4.0,5.25,3.0,19.0,20.35,4.8,59.75,36.625,1015.625,19.0,20.8,2.5,54,42.9,1015.0,0 days 00:01:34.849000,ULTRASOFT,311.0,262.0,277.0,272.0,ULTRASOFT,16,0 days 00:01:40.060214285,-1 days +23:59:59.597000,2,14.5,8.0,17.485714285714288,20.24285714285714,2.121428571428571,75.28571428571429,75.42142857142858,1011.1428571428572,17.4,20.3,2.0,48,75.7,1011.6,0 days 00:01:35.079000,ULTRASOFT,324.0,261.0,270.0,266.0,SOFT,7.0,0 days 00:01:37.155000,-1 days +23:59:58.786000,4.0,4.0,2.0,12.566666666666668,14.966666666666669,2.6999999999999997,110.33333333333331,81.89999999999999,1013.5666666666666,12.3,14.9,2.4,138,81.5,1014.1,0 days 00:01:34.101000,,,17.0,322.0,12.7,15.5,3.4,102,75.7,1014.9,,,,,,,,,,,,,,,0 days 00:01:06.330000,18.0,Toro Rosso,1,0
GRO,0 days 00:01:35.718000,SOFT,306.0,259.0,275.0,269.0,,,,,,,,,,,,,,18.8,20.7,3.1,68,41.7,1015.2,0 days 00:01:36.471000,SOFT,312.0,261.0,277.0,271.0,ULTRASOFT,7,0 days 00:01:39.987800,0 days 00:00:01.277000,2,8.0,6.0,17.48,20.02,2.18,65.6,75.52000000000001,1010.98,17.8,20.7,0.7,277,75.1,1012.0,0 days 00:01:35.756000,ULTRASOFT,311.0,262.0,272.0,267.0,,,,,,,,,,,,,,12.5,15.1,2.7,170,81.7,1013.5,0 days 00:01:33.238000,0 days 00:01:32.524000,0 days 00:01:32.855000,10.0,324.0,12.9,15.5,2.1,151,75.6,1014.9,328.0,12.6,15.3,2.5,102.0,75.6,1014.7,323.0,12.7,15.2,1.8,186.0,76.4,1014.9,0 days 00:01:05.296000,17.0,Haas F1 Team,1,0
HAM,0 days 00:01:33.999000,SOFT,313.0,264.0,281.0,275.0,SOFT,5.0,0 days 00:01:39.589000,0 days 00:00:00.270000,1.0,9.5,8.0,19.1,20.674999999999997,1.9,75.25,47.575,1014.8,18.8,20.8,3.1,59,42.0,1015.2,0 days 00:01:33.482000,ULTRASOFT,310.0,264.0,279.0,274.0,ULTRASOFT,10,0 days 00:01:39.654222222,0 days 00:00:03.217000,1,10.0,6.0,17.511111111111113,20.21111111111111,2.155555555555555,74.88888888888889,75.3888888888889,1011.077777777778,17.4,20.4,2.0,68,76.0,1011.6,0 days 00:01:34.057000,ULTRASOFT,321.0,263.0,271.0,265.0,SOFT,7.0,0 days 00:01:34.807000,0 days 00:00:00,6.0,5.0,5.0,12.6,15.3,1.9,169.0,81.4,1013.5,12.3,15.1,3.2,113,82.7,1013.8,0 days 00:01:33.283000,0 days 00:01:31.914000,0 days 00:01:31.675000,4.0,322.0,12.6,15.7,2.3,205,78.3,1014.9,325.0,12.7,15.3,2.2,148.0,75.5,1014.8,326.0,12.7,15.3,2.0,123.0,76.5,1015.1,0 days 00:00:16.985000,4.0,Mercedes,1,0
HAR,0 days 00:01:36.715000,SOFT,307.0,260.0,280.0,273.0,SOFT,9.0,0 days 00:01:39.291800,-1 days +23:59:57.789000,4.0,5.6,3.0,19.02,20.340000000000003,4.18,48.2,36.760000000000005,1015.56,19.0,20.8,2.0,59,43.9,1014.9,0 days 00:01:35.333000,ULTRASOFT,313.0,261.0,277.0,272.0,ULTRASOFT,15,0 days 00:01:40.708461538,0 days 00:00:01.446000,2,12.0,6.0,17.507692307692306,20.315384615384616,2.1000000000000005,75.0,75.35384615384615,1011.2153846153848,17.4,20.3,2.0,48,75.7,1011.6,0 days 00:01:34.991000,ULTRASOFT,321.0,261.0,268.0,266.0,SOFT,9.0,0 days 00:01:37.278250,-1 days +23:59:57.505000,5.0,5.0,2.0,12.6,15.025,2.625,108.75,82.05,1013.575,12.4,15.1,2.5,191,81.5,1013.9,0 days 00:01:34.013000,0 days 00:01:33.795000,,15.0,323.0,12.9,15.5,2.1,151,75.6,1014.9,322.0,12.6,15.3,2.5,102.0,75.6,1014.7,,,,,,,,,20.0,Toro Rosso,1,0
HUL,0 days 00:01:35.800000,MEDIUM,304.0,262.0,275.0,270.0,,,,,,,,,,,,,,18.8,20.7,2.9,58,41.5,1015.2,0 days 00:01:34.313000,ULTRASOFT,310.0,261.0,276.0,272.0,ULTRASOFT,12,0 days 00:01:39.961600,0 days 00:00:01.934000,2,10.5,6.0,17.5,20.309999999999995,2.26,77.2,75.35,1011.17,17.4,20.3,2.0,48,75.7,1011.6,0 days 00:01:34.841000,ULTRASOFT,324.0,269.0,,265.0,ULTRASOFT,7.0,0 days 00:01:40.104000,0 days 00:00:02.380000,2.0,8.0,6.0,12.4,15.14,2.5,84.4,82.30000000000001,1013.8,12.7,15.5,1.6,156,80.6,1013.5,0 days 00:01:33.545000,0 days 00:01:32.494000,0 days 00:01:32.532000,7.0,320.0,13.0,15.9,2.0,64,77.0,1014.8,324.0,12.6,15.3,2.5,102.0,75.6,1014.7,320.0,12.7,15.2,1.8,186.0,76.4,1014.9,0 days 00:00:21.052000,6.0,Renault,1,0
LEC,0 days 00:01:36.723000,SOFT,312.0,261.0,283.0,271.0,MEDIUM,9.0,0 days 00:01:40.002857142,-1 days +23:59:55.792000,2.0,7.0,4.0,19.014285714285712,20.371428571428577,3.957142857142857,54.57142857142857,36.857142857142854,1015.5571428571428,19.0,20.8,3.0,54,43.0,1015.0,0 days 00:01:35.916000,ULTRASOFT,313.0,264.0,282.0,275.0,MEDIUM,11,0 days 00:01:40.757875,0 days 00:00:03.599000,3,15.5,12.0,17.425,19.9375,2.1625,64.125,75.925,1010.875,17.4,20.5,2.3,83,76.1,1011.6,0 days 00:01:35.497000,ULTRASOFT,325.0,260.0,273.0,270.0,ULTRASOFT,7.0,0 days 00:01:36.287000,0 days 00:00:00,6.0,2.0,2.0,12.8,15.5,1.6,147.0,80.2,1013.6,12.3,14.9,2.4,138,81.5,1014.1,0 days 00:01:34.454000,,,19.0,325.0,12.9,15.5,2.1,151,75.6,1014.9,,,,,,,,,,,,,,,0 days 00:01:22.575000,19.0,Sauber,1,0
MAG,0 days 00:01:35.178000,ULTRASOFT,310.0,262.0,275.0,270.0,SOFT,8.0,0 days 00:01:38.266333333,-1 days +23:59:58.102000,5.0,5.0,3.0,19.033333333333335,20.366666666666667,3.5666666666666664,34.666666666666664,36.833333333333336,1015.5666666666666,18.9,20.8,2.9,51,42.6,1015.1,0 days 00:01:34.458000,ULTRASOFT,312.0,262.0,280.0,274.0,ULTRASOFT,12,0 days 00:01:41.364100,0 days 00:00:00.922000,2,11.5,7.0,17.44,19.96,2.18,65.0,75.8,1010.89,17.4,20.5,1.9,89,76.1,1011.7,0 days 00:01:34.329000,SOFT,321.0,264.0,270.0,269.0,ULTRASOFT,19.0,0 days 00:01:40.346294117,0 days 00:00:00.615000,2.0,10.0,2.0,12.63529411764706,15.158823529411764,2.5352941176470587,148.11764705882354,81.56470588235294,1013.5470588235294,12.4,15.1,2.5,191,81.5,1013.9,0 days 00:01:33.359000,0 days 00:01:32.986000,,11.0,325.0,12.9,15.5,2.1,151,75.6,1014.9,325.0,12.9,15.8,2.9,70.0,75.3,1014.9,,,,,,,,0 days 00:00:39.594000,10.0,Haas F1 Team,1,0
