Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:35.695000,MEDIUM,313.0,261.0,278.0,270.0,MEDIUM,9.0,0 days 00:01:40.241333333,-1 days +23:59:59.880000,3.0,11.5,9.0,17.766666666666666,35.266666666666666,1.65,87.0,40.916666666666664,1020.4,17.0,34.1,1.3,249.0,44.4,1020.5,0 days 00:01:34.634000,SOFT,319.0,258.0,276.0,270.0,SOFT,16,0 days 00:01:40.050785714,0 days 00:00:02.153000,2,14.5,8.0,19.28571428571429,30.571428571428577,2.1785714285714284,72.42857142857143,36.92142857142857,1018.7357142857144,19.5,32.8,1.1,133,37.0,1019.0,0 days 00:01:34.600000,SOFT,314.0,262.0,279.0,274.0,,,,,,,,,,,,,,19.5,41.0,2.8,94,48.9,1017.2,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Toro Rosso,0,1
BOT,0 days 00:01:34.653000,SOFT,311.0,258.0,273.0,266.0,SOFT,10.0,0 days 00:01:39.717714285,0 days 00:00:01.612000,3.0,11.0,8.0,17.728571428571428,35.128571428571426,1.7285714285714284,88.42857142857143,41.05714285714286,1020.385714285714,17.1,33.1,1.3,0.0,43.8,1020.5,0 days 00:01:33.330000,SOFT,311.0,265.0,274.0,272.0,HARD,14,0 days 00:01:39.021583333,0 days 00:00:00.454000,2,15.5,10.0,19.291666666666668,29.558333333333326,2.35,80.16666666666667,36.891666666666666,1018.7250000000004,19.6,32.9,1.6,101,37.1,1019.0,0 days 00:01:32.830000,SOFT,312.0,267.0,280.0,274.0,MEDIUM,5.0,0 days 00:01:33.794000,0 days 00:00:00,4.0,7.0,7.0,20.2,40.5,0.7,0.0,47.7,1017.1,20.4,41.0,2.1,98,46.9,1017.1,0 days 00:01:32.658000,0 days 00:01:31.728000,0 days 00:01:31.547000,1.0,315.0,20.9,35.2,1.8,88.0,47.9,1015.9,322.0,19.8,32.7,2.3,275.0,50.2,1015.8,317.0,20.2,31.7,0.4,96.0,49.5,1015.7,0 days 00:00:06.552000,2.0,Mercedes,0,1
GAS,0 days 00:01:35.428000,MEDIUM,310.0,253.0,271.0,266.0,MEDIUM,8.0,0 days 00:01:40.540666666,-1 days +23:59:59.272000,2.0,11.5,9.0,17.75,35.233333333333334,1.75,91.5,40.96666666666666,1020.3833333333332,17.6,31.8,1.9,51.0,42.8,1020.4,0 days 00:01:34.455000,SOFT,309.0,258.0,276.0,270.0,SOFT,10,0 days 00:01:40.204750,0 days 00:00:01.874000,2,10.5,7.0,19.1875,30.175,2.075,66.75,36.975,1018.725,19.7,32.2,2.3,89,36.3,1019.0,0 days 00:01:35.326000,MEDIUM,308.0,256.0,278.0,267.0,,,,,,,,,,,,,,19.7,41.1,1.6,7,48.4,1017.0,0 days 00:01:33.863000,0 days 00:01:32.948000,0 days 00:01:32.930000,6.0,312.0,21.0,34.3,0.5,262.0,47.5,1015.9,313.0,20.1,33.2,2.4,274.0,49.2,1015.7,315.0,20.2,31.5,1.8,266.0,49.4,1015.6,0 days 00:01:29.307000,6.0,Red Bull Racing,0,1
GIO,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:35.914000,SOFT,317.0,262.0,276.0,271.0,SOFT,12,0 days 00:01:41.485900,0 days 00:00:01.246000,2,12.5,8.0,19.27,30.26,1.8799999999999997,74.7,36.82000000000001,1018.74,19.6,32.9,1.6,101,37.1,1019.0,0 days 00:01:35.726000,SOFT,315.0,263.0,280.0,275.0,,,,,,,,,,,,,,19.3,40.2,2.0,88,49.0,1017.2,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,Alfa Romeo Racing,0,1
GRO,0 days 00:01:35.507000,SOFT,314.0,257.0,271.0,263.0,MEDIUM,9.0,0 days 00:01:36.919000,-1 days +23:59:59.030000,5.0,6.0,3.0,16.95,33.8,1.4500000000000002,98.5,44.099999999999994,1020.5,17.1,32.5,0.8,167.0,43.6,1020.4,0 days 00:01:35.704000,SOFT,317.0,258.0,276.0,270.0,SOFT,12,0 days 00:01:40.995900,0 days 00:00:00.150000,2,9.5,5.0,19.29,30.380000000000003,1.9299999999999995,77.5,36.84,1018.74,19.5,32.8,1.1,133,37.0,1019.0,0 days 00:01:35.771000,MEDIUM,314.0,264.0,277.0,272.0,,,,,,,,,,,,,,19.3,40.2,2.0,88,49.0,1017.2,0 days 00:01:33.752000,0 days 00:01:33.156000,,10.0,318.0,21.0,34.2,0.4,244.0,47.7,1015.9,322.0,20.3,32.6,1.5,259.0,48.9,1015.6,,,,,,,,,11.0,Haas F1 Team,0,1
HAM,0 days 00:01:34.118000,SOFT,311.0,262.0,272.0,266.0,SOFT,9.0,0 days 00:01:40.112571428,0 days 00:00:01.875000,2.0,10.0,7.0,17.757142857142856,35.05714285714286,1.6428571428571428,87.14285714285714,40.94285714285714,1020.3857142857142,17.2,33.3,0.8,178.0,44.0,1020.5,0 days 00:01:34.037000,SOFT,313.0,263.0,275.0,268.0,MEDIUM,13,0 days 00:01:39.856000,0 days 00:00:01.445000,2,14.0,9.0,19.33636363636364,30.62727272727273,1.9818181818181817,75.18181818181819,36.90909090909091,1018.7272727272727,19.5,32.8,1.1,133,37.0,1019.0,0 days 00:01:33.689000,SOFT,312.0,268.0,280.0,274.0,,,,,,,,,,,,,,20.4,41.0,2.1,98,46.9,1017.1,0 days 00:01:33.115000,0 days 00:01:31.637000,0 days 00:01:31.570000,2.0,314.0,20.9,35.2,1.8,88.0,47.9,1015.9,319.0,20.3,32.6,1.5,259.0,48.9,1015.6,319.0,20.2,31.5,1.8,266.0,49.4,1015.6,0 days 01:32:06.350000,1.0,Mercedes,0,1
HUL,0 days 00:01:35.591000,MEDIUM,310.0,261.0,270.0,266.0,SOFT,7.0,0 days 00:01:36.751333333,-1 days +23:59:58.604000,4.0,5.0,3.0,16.933333333333334,33.86666666666667,1.2,153.0,43.8,1020.5333333333332,17.6,31.8,1.9,51.0,42.8,1020.4,0 days 00:01:34.096000,SOFT,311.0,267.0,278.0,272.0,SOFT,11,0 days 00:01:40.258444444,0 days 00:00:00.182000,2,9.0,5.0,19.27777777777778,30.299999999999997,1.7666666666666666,72.55555555555556,36.8,1018.7222222222222,19.9,32.2,0.6,85,36.0,1018.9,0 days 00:01:33.974000,SOFT,317.0,268.0,282.0,276.0,MEDIUM,6.0,0 days 00:01:35.291500,-1 days +23:59:59.917000,4.0,4.0,3.0,19.4,40.05,1.9,224.0,48.6,1017.2,20.1,40.5,1.9,122,48.1,1017.1,0 days 00:01:33.644000,0 days 00:01:33.968000,0 days 00:01:32.962000,8.0,318.0,20.8,34.9,2.0,105.0,48.0,1015.9,,,,,,,,321.0,20.2,31.5,1.8,266.0,49.4,1015.6,,20.0,Renault,0,1
KUB,0 days 00:01:36.847000,MEDIUM,310.0,260.0,269.0,263.0,MEDIUM,9.0,0 days 00:01:39.100000,-1 days +23:59:56.412000,5.0,5.0,2.0,16.700000000000003,33.4,1.4,101.25,44.575,1020.525,17.1,34.1,0.8,256.0,43.4,1020.5,0 days 00:01:36.121000,SOFT,312.0,260.0,270.0,267.0,HARD,19,0 days 00:01:42.376800,0 days 00:00:01.868000,4,17.933333333333334,10.0,19.286666666666665,29.726666666666663,2.246666666666667,74.0,36.83333333333334,1018.7133333333336,19.0,32.7,1.3,119,37.7,1019.0,0 days 00:01:36.176000,SOFT,306.0,262.0,274.0,272.0,SOFT,5.0,0 days 00:01:37.536500,0 days 00:00:00.633000,3.0,3.0,2.0,19.15,39.45,1.8,65.0,48.6,1017.7,20.4,41.7,0.5,302,46.9,1017.1,0 days 00:01:35.281000,,,18.0,312.0,21.0,34.2,0.4,244.0,47.7,1015.9,,,,,,,,,,,,,,,,17.0,Williams,0,1
KVY,0 days 00:01:35.447000,MEDIUM,314.0,262.0,276.0,270.0,MEDIUM,10.0,0 days 00:01:39.690000,0 days 00:00:01.777000,2.0,10.5,7.0,17.5625,34.1,1.5,103.625,41.912499999999994,1020.35,17.0,34.1,1.3,249.0,44.4,1020.5,0 days 00:01:34.694000,SOFT,319.0,257.0,280.0,275.0,HARD,14,0 days 00:01:39.318090909,0 days 00:00:01.096000,3,8.0,3.0,19.372727272727275,29.472727272727273,2.490909090909091,77.54545454545455,36.763636363636365,1018.718181818182,19.6,30.7,2.2,71,36.6,1018.7,0 days 00:01:34.783000,SOFT,315.0,260.0,280.0,274.0,,,,,,,,,,,,,,19.5,41.0,2.8,94,48.9,1017.2,0 days 00:01:33.783000,0 days 00:01:33.236000,,11.0,317.0,21.0,34.2,0.4,244.0,47.7,1015.9,322.0,19.8,32.7,2.3,275.0,50.2,1015.8,,,,,,,,,19.0,Toro Rosso,0,1
LEC,0 days 00:01:34.167000,MEDIUM,313.0,269.0,274.0,269.0,MEDIUM,7.0,0 days 00:01:36.293666666,-1 days +23:59:59.638000,4.0,4.666666666666667,3.0,17.033333333333335,33.833333333333336,0.8666666666666666,191.66666666666663,43.73333333333333,1020.5333333333332,17.2,33.3,0.8,178.0,44.0,1020.5,0 days 00:01:34.158000,SOFT,312.0,249.0,276.0,274.0,MEDIUM,7,0 days 00:01:34.914000,0 days 00:00:00.830000,4,4.0,2.0,19.366666666666664,33.93333333333333,1.1333333333333335,106.66666666666669,36.233333333333334,1019.1333333333332,19.6,32.9,1.6,101,37.1,1019.0,0 days 00:01:33.248000,SOFT,318.0,270.0,284.0,277.0,SOFT,5.0,0 days 00:01:34.432500,0 days 00:00:00.657000,3.0,3.0,2.0,19.5,39.4,1.75,77.0,48.55,1017.3,20.4,41.0,2.1,98,46.9,1017.1,0 days 00:01:32.712000,0 days 00:01:32.324000,0 days 00:01:31.865000,4.0,321.0,21.0,34.2,0.4,244.0,47.7,1015.9,326.0,20.1,33.2,2.4,274.0,49.2,1015.7,324.0,20.2,31.7,0.4,96.0,49.5,1015.7,0 days 00:00:31.276000,5.0,Ferrari,0,1
