Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:35.414000,SOFT,325.0,296.0,115.0,272.0,HARD,8.0,0 days 00:01:37.494500,-1 days +23:59:59.397000,6.0,3.0,2.0,29.5,56.3,2.75,71.5,48.5,968.7,29.1,58.3,2.0,129.0,52.0,968.5,0 days 00:01:34.653000,SOFT,324.0,296.0,116.0,273.0,MEDIUM,12.0,0 days 00:01:39.732666666,-1 days +23:59:59.970000,3.0,14.0,10.0,30.27777777777778,51.25555555555556,1.711111111111111,122.44444444444444,37.666666666666664,968.1111111111112,30.6,53.2,1.2,108.0,29.0,968.0,0 days 00:01:33.558000,SOFT,327.0,297.0,116.0,279.0,SOFT,9.0,0 days 00:01:34.825000,0 days 00:00:00.605000,6.0,5.0,2.0,29.1,53.0,2.0,99.66666666666669,61.0,968.4,29.1,52.2,2.2,66.0,60.0,968.2,0 days 00:01:33.423000,0 days 00:01:33.307000,,15.0,332.0,30.6,55.3,2.7,117.0,46.0,967.9,333.0,30.1,53.8,2.7,160.0,45.0,967.7,,,,,,,,0 days 00:01:08.565000,13.0,Williams,1.0,1.0
ALO,0 days 00:01:35.875000,SOFT,317.0,291.0,106.0,270.0,SOFT,8.0,0 days 00:01:36.874666666,-1 days +23:59:59.875000,5.0,6.0,4.0,29.53333333333333,56.6,2.3333333333333335,121.0,48.333333333333336,968.7000000000002,28.9,57.6,2.5,29.0,52.0,968.5,0 days 00:01:34.259000,SOFT,323.0,290.0,117.0,273.0,MEDIUM,13.0,0 days 00:01:39.619100,0 days 00:00:01.527000,3.0,13.5,9.0,30.309999999999995,51.489999999999995,1.8200000000000005,118.0,36.6,968.14,30.5,53.4,1.6,153.0,27.0,968.2,0 days 00:01:33.505000,SOFT,325.0,298.0,113.0,275.0,MEDIUM,7.0,0 days 00:01:34.648666666,0 days 00:00:00.687000,4.0,4.0,2.0,29.0,52.56666666666666,2.2333333333333334,116.33333333333331,62.0,968.4666666666668,29.6,53.7,0.8,172.0,57.0,968.2,0 days 00:01:32.819000,0 days 00:01:32.631000,0 days 00:01:32.552000,7.0,331.0,30.6,55.3,2.7,117.0,46.0,967.9,331.0,30.1,53.8,2.7,160.0,45.0,967.7,330.0,29.8,53.6,2.0,156.0,46.0,967.7,0 days 00:00:42.879000,6.0,Alpine,1.0,1.0
BOT,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:34.264000,SOFT,322.0,289.0,113.0,274.0,MEDIUM,10.0,0 days 00:01:36.100000,-1 days +23:59:58.341000,6.0,5.5,2.0,30.6,54.45,2.025,132.25,31.25,968.2,30.6,53.0,2.9,182.0,28.0,968.0,0 days 00:01:33.872000,SOFT,325.0,297.0,112.0,276.0,SOFT,8.0,0 days 00:01:34.077666666,0 days 00:00:00.168000,5.0,4.333333333333333,2.0,29.03333333333333,52.6,2.2333333333333334,126.0,61.666666666666664,968.5,29.2,54.5,2.0,81.0,59.0,968.2,0 days 00:01:33.034000,0 days 00:01:33.052000,,13.0,327.0,30.7,56.1,1.8,129.0,45.0,967.9,329.0,30.1,53.8,2.7,160.0,45.0,967.7,,,,,,,,0 days 00:01:16.666000,14.0,Alfa Romeo,1.0,1.0
DEV,0 days 00:01:35.426000,SOFT,322.0,291.0,112.0,274.0,MEDIUM,8.0,0 days 00:01:38.504200,-1 days +23:59:56.739000,3.0,4.2,2.0,29.5,55.64,1.7399999999999998,120.8,45.8,968.66,29.2,57.5,0.6,63.0,51.0,968.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,0 days 00:01:34.979000,SOFT,326.0,295.0,110.0,274.0,MEDIUM,8.0,0 days 00:01:36.505000,-1 days +23:59:59.071000,5.0,6.333333333333333,4.0,29.4,56.4,1.9,80.66666666666667,48.666666666666664,968.7000000000002,29.3,58.3,1.3,113.0,51.0,968.5,0 days 00:01:33.906000,SOFT,328.0,296.0,111.0,276.0,MEDIUM,9.0,0 days 00:01:35.534750,-1 days +23:59:59.714000,5.0,5.0,2.0,30.625,54.55,1.75,136.0,31.0,968.1,30.7,52.6,2.5,113.0,29.0,968.2,0 days 00:01:33.869000,SOFT,328.0,298.0,112.0,278.0,SOFT,6.0,0 days 00:01:34.001500,0 days 00:00:00.261000,4.0,3.5,2.0,29.3,54.9,1.6,56.5,59.0,968.3,29.2,54.2,1.8,163.0,60.0,968.4,0 days 00:01:33.439000,,,16.0,329.0,30.7,55.6,2.9,148.0,45.0,968.0,,,,,,,,,,,,,,,0 days 00:01:05.448000,12.0,AlphaTauri,1.0,1.0
HAM,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:33.517000,SOFT,326.0,296.0,115.0,277.0,MEDIUM,7.0,0 days 00:01:38.892500,0 days 00:00:00.367000,3.0,12.5,11.0,30.125,50.875,2.025,128.0,39.75,968.1,30.6,53.3,1.7,81.0,29.0,968.0,0 days 00:01:33.255000,SOFT,321.0,292.0,116.0,276.0,SOFT,7.0,0 days 00:01:39.131250,0 days 00:00:01.085000,3.0,12.5,11.0,29.7,53.8,1.875,124.25,56.5,968.2,29.1,52.8,2.2,123.0,61.0,968.2,0 days 00:01:33.041000,0 days 00:01:32.274000,0 days 00:01:31.765000,4.0,329.0,30.7,55.7,1.6,163.0,45.0,968.0,328.0,30.2,54.3,2.2,30.0,45.0,967.7,328.0,29.8,53.6,1.5,73.0,46.0,967.7,0 days 00:00:10.587000,2.0,Mercedes,1.0,1.0
KUB,0 days 00:01:36.332000,SOFT,313.0,287.0,111.0,268.0,MEDIUM,8.0,0 days 00:01:38.729500,-1 days +23:59:57.583000,4.0,6.25,4.0,29.375,57.45,1.425,51.5,49.0,968.55,29.1,59.3,0.8,95.0,49.0,968.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAT,0 days 00:01:37.043000,MEDIUM,325.0,290.0,112.0,274.0,SOFT,8.0,0 days 00:01:37.864666666,-1 days +23:59:58.272000,5.0,4.333333333333333,2.0,29.433333333333337,56.166666666666664,1.8,154.33333333333334,46.666666666666664,968.7000000000002,29.1,57.6,2.5,79.0,50.0,968.7,0 days 00:01:35.412000,SOFT,325.0,295.0,116.0,273.0,HARD,13.0,0 days 00:01:40.302200,-1 days +23:59:59.795000,3.0,13.5,9.0,30.27999999999999,51.31999999999999,1.7100000000000002,120.5,37.4,968.14,30.5,53.4,1.7,130.0,30.0,968.2,0 days 00:01:33.841000,SOFT,327.0,299.0,118.0,280.0,SOFT,6.0,0 days 00:01:34.970000,0 days 00:00:00.414000,4.0,3.5,2.0,29.0,53.150000000000006,1.6,93.5,60.0,968.4,29.0,52.0,2.2,102.0,60.0,968.4,0 days 00:01:33.794000,,,20.0,333.0,30.6,54.8,1.2,140.0,45.0,967.9,,,,,,,,,,,,,,,,17.0,Williams,1.0,1.0
LEC,0 days 00:01:33.930000,SOFT,321.0,295.0,117.0,275.0,SOFT,6.0,0 days 00:01:39.529333333,0 days 00:00:00.501000,3.0,9.0,8.0,29.266666666666666,58.7,1.8333333333333333,116.0,50.0,968.5,29.4,59.0,2.0,103.0,50.0,968.5,0 days 00:01:32.628000,SOFT,327.0,298.0,116.0,279.0,MEDIUM,12.0,0 days 00:01:38.641777777,0 days 00:00:01.153000,3.0,10.0,6.0,30.27777777777778,51.25555555555556,1.711111111111111,122.44444444444444,37.666666666666664,968.1111111111112,30.6,53.3,1.7,81.0,29.0,968.0,0 days 00:01:32.909000,SOFT,326.0,298.0,114.0,277.0,SOFT,9.0,0 days 00:01:33.202500,0 days 00:00:00.543000,7.0,7.5,6.0,29.55,54.5,1.0,86.5,57.5,968.2,29.1,52.2,2.2,66.0,60.0,968.2,0 days 00:01:31.727000,0 days 00:01:31.216000,0 days 00:01:30.872000,1.0,330.0,30.7,56.1,1.2,85.0,45.0,968.0,333.0,30.2,54.3,2.2,30.0,45.0,967.7,330.0,29.8,53.6,1.5,73.0,46.0,967.7,,19.0,Ferrari,1.0,1.0
MAG,0 days 00:01:36.104000,SOFT,320.0,290.0,115.0,271.0,SOFT,7.0,0 days 00:01:37.889666666,-1 days +23:59:59.390000,4.0,4.0,2.0,29.433333333333337,55.633333333333326,1.7666666666666668,146.33333333333334,46.0,968.7000000000002,29.1,57.6,2.5,79.0,50.0,968.7,0 days 00:01:33.928000,SOFT,324.0,299.0,114.0,275.0,MEDIUM,11.0,0 days 00:01:40.239250,0 days 00:00:00.707000,3.0,13.5,10.0,30.237499999999997,51.2,1.5875,116.5,38.375,968.125,30.6,53.2,1.2,108.0,29.0,968.0,0 days 00:01:34.031000,SOFT,328.0,299.0,114.0,276.0,MEDIUM,13.0,0 days 00:01:40.407100,0 days 00:00:01.808000,3.0,6.5,2.0,29.47000000000001,54.58,1.82,130.1,57.9,968.22,29.1,53.3,1.6,41.0,60.0,968.4,0 days 00:01:32.756000,0 days 00:01:32.649000,,10.0,334.0,30.4,54.8,1.6,93.0,45.0,967.7,332.0,30.2,54.3,2.2,30.0,45.0,967.7,,,,,,,,,18.0,Haas F1 Team,1.0,1.0
