Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:34.804000,SOFT,327.0,297.0,115.0,277.0,SOFT,7.0,0 days 00:01:41.051800,-1 days +23:59:58.165000,2.0,12.0,10.0,24.52,49.12,1.9200000000000004,73.4,57.06,966.3,24.5,47.3,1.5,97.0,56.9,966.2,0 days 00:01:33.023000,SOFT,324.0,299.0,120.0,274.0,MEDIUM,10.0,0 days 00:01:37.170000,-1 days +23:59:57.487000,3.0,11.142857142857142,8.0,24.942857142857143,52.728571428571435,2.028571428571429,74.14285714285714,55.971428571428575,965.4714285714284,25.5,56.0,3.4,104.0,42.4,965.5,0 days 00:01:32.178000,SOFT,327.0,301.0,114.0,278.0,SOFT,7.0,0 days 00:01:32.604000,0 days 00:00:00.340000,4.0,4.0,2.0,25.133333333333336,49.1,1.8666666666666665,85.66666666666667,48.4,965.7666666666668,25.9,52.3,1.1,101.0,45.4,965.8,0 days 00:01:31.445000,0 days 00:01:30.461000,,11.0,333.0,26.6,54.5,1.1,9.0,47.8,965.2,340.0,26.5,54.0,3.0,349.0,42.2,964.9,,,,,,,,,15.0,Toro Rosso,0.0,1.0
BOT,0 days 00:01:32.807000,SOFT,325.0,296.0,112.0,278.0,SOFT,5.0,0 days 00:01:39.823666666,0 days 00:00:03.980000,2.0,12.0,11.0,24.666666666666668,49.43333333333334,2.3666666666666667,72.33333333333333,56.666666666666664,966.2999999999998,24.9,47.7,1.2,113.0,56.3,966.1,0 days 00:01:30.937000,SOFT,326.0,303.0,118.0,280.0,MEDIUM,14.0,0 days 00:01:36.042818181,-1 days +23:59:59.506000,3.0,15.909090909090908,10.0,25.227272727272727,52.88181818181818,2.3363636363636364,97.8181818181818,54.25454545454546,965.5,25.4,56.0,3.1,116.0,42.8,965.5,0 days 00:01:30.159000,SOFT,324.0,299.0,118.0,281.0,SOFT,8.0,0 days 00:01:31.228000,-1 days +23:59:59.470000,5.0,4.666666666666667,2.0,25.2,49.5,2.3000000000000003,88.33333333333333,47.23333333333333,965.7666666666668,25.6,50.8,2.1,101.0,46.6,965.8,0 days 00:01:30.550000,0 days 00:01:29.437000,0 days 00:01:28.605000,2.0,326.0,25.6,54.4,1.1,342.0,49.8,965.1,331.0,27.0,53.9,1.8,350.0,42.0,965.0,336.0,26.3,53.1,2.6,349.0,42.3,964.8,0 days 00:00:18.056000,2.0,Mercedes,0.0,1.0
GAS,0 days 00:01:34.091000,SOFT,323.0,295.0,114.0,273.0,MEDIUM,8.0,0 days 00:01:36.076000,-1 days +23:59:57.716000,5.0,5.333333333333333,3.0,25.0,45.93333333333334,1.4,56.333333333333336,49.26666666666666,965.9333333333334,24.9,48.6,1.2,74.0,55.9,966.2,0 days 00:01:32.448000,SOFT,325.0,296.0,121.0,278.0,MEDIUM,10.0,0 days 00:01:36.870714285,0 days 00:00:00.250000,3.0,12.428571428571429,9.0,24.885714285714283,52.5,2.0571428571428574,166.0,56.07142857142858,965.4714285714284,26.1,55.9,1.4,17.0,41.5,965.4,0 days 00:01:31.599000,SOFT,323.0,299.0,117.0,279.0,SOFT,7.0,0 days 00:01:32.917000,0 days 00:00:00.777000,4.0,4.0,2.0,25.266666666666666,49.36666666666667,2.033333333333333,91.0,46.56666666666666,965.7333333333332,26.0,52.4,1.8,99.0,44.6,965.9,0 days 00:01:31.152000,0 days 00:01:30.421000,0 days 00:01:30.184000,9.0,326.0,26.4,54.5,1.1,66.0,48.5,965.0,331.0,26.5,54.0,3.0,349.0,42.2,964.9,331.0,26.3,52.0,3.4,354.0,43.4,964.8,,10.0,Red Bull Racing,0.0,1.0
GIO,0 days 00:01:36.102000,SOFT,319.0,294.0,115.0,271.0,SOFT,8.0,0 days 00:01:38.693000,-1 days +23:59:55.412000,4.0,5.25,3.0,25.0,46.175,1.85,191.75,48.65,965.875,24.5,47.3,1.5,97.0,56.9,966.2,0 days 00:01:32.973000,SOFT,326.0,302.0,119.0,278.0,MEDIUM,10.0,0 days 00:01:34.519000,-1 days +23:59:57.234000,6.0,5.75,2.0,26.125,55.925,2.4,100.0,41.75,965.75,24.9,54.8,2.6,0.0,43.6,965.6,0 days 00:01:32.171000,SOFT,330.0,304.0,116.0,283.0,SOFT,8.0,0 days 00:01:33.216000,-1 days +23:59:59.894000,5.0,4.333333333333333,2.0,25.2,49.8,2.066666666666667,88.0,47.4,965.7666666666668,25.9,52.3,1.1,101.0,45.4,965.8,0 days 00:01:31.180000,0 days 00:01:30.408000,0 days 00:01:33.420000,10.0,336.0,26.4,54.5,1.1,66.0,48.5,965.0,341.0,26.5,54.4,3.1,350.0,42.1,965.0,338.0,26.3,52.0,3.4,354.0,43.4,964.8,,16.0,Alfa Romeo Racing,0.0,1.0
GRO,0 days 00:01:37.620000,SOFT,308.0,287.0,104.0,267.0,,,,,,,,,,,,,,24.9,45.8,1.1,61.0,49.9,965.9,0 days 00:01:33.591000,SOFT,321.0,295.0,111.0,276.0,SOFT,13.0,0 days 00:01:39.947727272,-1 days +23:59:59.055000,2.0,18.0,13.0,24.99090909090909,52.75454545454545,1.9272727272727272,143.1818181818182,55.7,965.5,25.3,54.8,2.6,90.0,42.7,965.6,0 days 00:01:32.385000,SOFT,321.0,296.0,113.0,279.0,SOFT,7.0,0 days 00:01:34.221333333,-1 days +23:59:58.702000,4.0,5.0,3.0,25.2,49.666666666666664,2.433333333333333,83.0,47.13333333333333,965.7666666666668,25.5,50.7,1.2,20.0,46.3,965.9,0 days 00:01:31.626000,,,17.0,327.0,26.2,54.4,2.4,0.0,48.0,965.0,,,,,,,,,,,,,,,,20.0,Haas F1 Team,0.0,1.0
HAM,0 days 00:01:32.738000,SOFT,323.0,296.0,113.0,277.0,SOFT,6.0,0 days 00:01:39.017333333,0 days 00:00:02.257000,3.0,12.0,11.0,24.566666666666663,49.73333333333333,1.7333333333333334,96.66666666666669,57.0,966.3333333333334,24.9,47.7,1.2,113.0,56.3,966.1,0 days 00:01:31.361000,MEDIUM,322.0,300.0,115.0,277.0,MEDIUM,10.0,0 days 00:01:35.676500,0 days 00:00:00.594000,2.0,13.5,10.0,24.8375,52.5625,1.925,149.25,56.35,965.4625,26.0,55.8,1.4,100.0,41.6,965.7,0 days 00:01:30.200000,SOFT,325.0,301.0,123.0,281.0,SOFT,7.0,0 days 00:01:31.404000,-1 days +23:59:59.408000,5.0,3.5,2.0,25.3,50.150000000000006,2.4,112.5,47.0,965.8,25.4,51.4,1.4,112.0,47.0,965.8,0 days 00:01:30.609000,0 days 00:01:29.520000,0 days 00:01:28.319000,1.0,326.0,25.6,54.4,1.1,342.0,49.8,965.1,333.0,26.1,52.0,2.1,358.0,49.0,965.1,338.0,26.4,52.4,4.8,311.0,43.2,964.7,0 days 01:24:31.198000,1.0,Mercedes,0.0,1.0
HUL,0 days 00:01:34.810000,SOFT,320.0,297.0,115.0,274.0,SOFT,8.0,0 days 00:01:37.401500,0 days 00:00:01.428000,4.0,6.75,4.0,25.025,45.7,1.725,148.5,50.975,965.975,24.9,48.6,1.2,74.0,55.9,966.2,0 days 00:01:33.081000,SOFT,325.0,303.0,120.0,275.0,MEDIUM,16.0,0 days 00:01:37.242642857,-1 days +23:59:57.525000,2.0,13.5,7.0,25.042857142857144,52.642857142857146,2.121428571428571,174.21428571428572,55.442857142857136,965.5,25.2,55.7,1.7,98.0,43.0,965.5,0 days 00:01:32.023000,SOFT,323.0,300.0,117.0,278.0,SOFT,5.0,0 days 00:01:33.068500,-1 days +23:59:58.697000,3.0,3.0,2.0,25.25,49.7,2.25,100.5,46.45,965.75,25.5,50.7,1.2,20.0,46.3,965.9,0 days 00:01:30.865000,0 days 00:01:30.544000,,13.0,331.0,26.6,54.5,1.1,9.0,47.8,965.2,335.0,26.6,54.1,3.5,6.0,41.9,964.9,,,,,,,,,8.0,Renault,0.0,1.0
KUB,0 days 00:01:37.172000,SOFT,320.0,291.0,113.0,270.0,SOFT,9.0,0 days 00:01:39.651250,-1 days +23:59:57.702000,5.0,5.0,2.0,24.95,45.775,1.425,149.0,49.35,965.95,24.7,48.5,1.3,92.0,56.0,966.2,0 days 00:01:35.195000,SOFT,327.0,302.0,114.0,274.0,HARD,14.0,0 days 00:01:39.009833333,-1 days +23:59:59.229000,2.0,7.5,2.0,25.183333333333337,52.89166666666666,2.3000000000000003,86.25,54.62499999999999,965.4833333333332,25.1,54.9,2.1,116.0,43.3,965.4,0 days 00:01:33.902000,SOFT,325.0,297.0,110.0,277.0,SOFT,7.0,0 days 00:01:34.734000,0 days 00:00:00.502000,4.0,4.0,2.0,25.2,49.56666666666666,1.7,119.0,48.6,965.8333333333334,25.9,52.3,1.1,116.0,45.7,965.9,0 days 00:01:33.205000,,,20.0,333.0,26.6,54.5,1.1,9.0,47.8,965.2,,,,,,,,,,,,,,,,18.0,Williams,0.0,1.0
KVY,0 days 00:01:35.326000,SOFT,325.0,295.0,113.0,274.0,SOFT,6.0,0 days 00:01:40.753500,0 days 00:00:01.016000,2.0,11.5,10.0,24.575,49.525000000000006,2.025,94.5,56.975,966.35,24.6,46.6,2.3,80.0,56.3,966.2,0 days 00:01:33.254000,SOFT,326.0,292.0,115.0,278.0,HARD,15.0,0 days 00:01:36.497615384,0 days 00:00:00.016000,2.0,8.0,2.0,24.99230769230769,52.60769230769232,1.9153846153846157,131.76923076923077,55.73846153846153,965.4923076923076,25.4,54.9,2.3,105.0,42.8,965.6,0 days 00:01:32.540000,SOFT,327.0,300.0,118.0,278.0,SOFT,7.0,0 days 00:01:33.088000,-1 days +23:59:59.724000,4.0,4.0,2.0,25.266666666666666,49.166666666666664,2.3333333333333335,89.33333333333333,47.13333333333333,965.7999999999998,25.7,50.7,1.5,28.0,45.6,965.8,0 days 00:01:31.564000,,,16.0,329.0,26.2,54.4,2.4,0.0,48.0,965.0,,,,,,,,,,,,,,,,14.0,Toro Rosso,0.0,1.0
LAT,0 days 00:01:37.147000,SOFT,323.0,294.0,113.0,274.0,SOFT,10.0,0 days 00:01:39.029250,0 days 00:00:00.439000,6.0,6.0,3.0,24.95,45.875,1.6250000000000002,69.25,50.14999999999999,965.95,24.9,48.6,1.2,74.0,55.9,966.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEC,0 days 00:01:33.111000,SOFT,320.0,299.0,117.0,277.0,SOFT,9.0,0 days 00:01:36.534000,-1 days +23:59:59.912000,6.0,4.333333333333333,2.0,25.366666666666664,43.6,1.5333333333333332,80.66666666666667,43.833333333333336,965.6,24.9,47.3,1.8,114.0,55.8,966.2,0 days 00:01:31.586000,SOFT,329.0,298.0,119.0,281.0,SOFT,10.0,0 days 00:01:38.570500,0 days 00:00:02.332000,2.0,13.5,10.0,25.075,52.9375,2.3249999999999997,193.375,55.175,965.525,26.0,55.9,2.9,79.0,41.7,965.4,0 days 00:01:30.605000,SOFT,323.0,297.0,120.0,281.0,SOFT,5.0,0 days 00:01:31.292000,-1 days +23:59:59.652000,3.0,3.0,2.0,25.35,50.1,2.8,36.5,46.5,965.8,25.4,51.4,1.4,112.0,47.0,965.8,0 days 00:01:30.647000,0 days 00:01:29.699000,0 days 00:01:28.965000,3.0,328.0,25.6,54.4,1.1,342.0,49.8,965.1,339.0,26.5,54.0,3.0,349.0,42.2,964.9,337.0,26.3,52.0,3.4,354.0,43.4,964.8,0 days 00:00:18.985000,3.0,Ferrari,0.0,1.0
MAG,0 days 00:01:35.410000,SOFT,316.0,292.0,106.0,272.0,SOFT,7.0,0 days 00:01:37.966000,-1 days +23:59:59.212000,5.0,5.5,4.0,24.950000000000003,45.7,1.7,56.0,50.7,965.95,24.6,48.5,1.6,20.0,56.3,966.2,0 days 00:01:32.789000,SOFT,329.0,299.0,111.0,281.0,MEDIUM,9.0,0 days 00:01:37.311428571,-1 days +23:59:59.976000,2.0,12.0,9.0,24.957142857142856,52.628571428571426,1.7428571428571429,119.0,55.98571428571428,965.4714285714284,26.1,55.6,1.4,7.0,48.6,965.4,0 days 00:01:32.400000,SOFT,325.0,301.0,117.0,280.0,SOFT,7.0,0 days 00:01:33.873333333,-1 days +23:59:59.132000,4.0,5.0,3.0,25.166666666666668,49.63333333333333,2.1,79.66666666666667,47.36666666666667,965.7666666666668,25.8,50.7,2.0,115.0,44.9,965.8,0 days 00:01:31.166000,0 days 00:01:31.440000,,15.0,329.0,26.6,54.5,1.1,9.0,47.8,965.2,337.0,26.3,54.0,3.6,346.0,42.3,964.9,,,,,,,,,17.0,Haas F1 Team,0.0,1.0
NOR,0 days 00:01:34.110000,SOFT,319.0,298.0,116.0,275.0,MEDIUM,6.0,0 days 00:01:36.566000,-1 days +23:59:58.114000,4.0,5.0,4.0,25.1,46.15,1.35,122.0,48.349999999999994,965.8,24.7,48.5,1.3,92.0,56.0,966.2,0 days 00:01:31.882000,SOFT,324.0,296.0,120.0,279.0,HARD,7.0,0 days 00:01:32.870666666,0 days 00:00:00.306000,4.0,15.0,13.0,25.766666666666666,55.63333333333333,2.266666666666667,80.66666666666667,43.833333333333336,965.4333333333334,26.0,53.0,1.7,305.0,50.2,965.4,0 days 00:01:31.654000,SOFT,324.0,305.0,110.0,278.0,SOFT,5.0,0 days 00:01:32.685500,0 days 00:00:00.479000,3.0,4.0,3.0,25.4,49.5,1.9,90.5,46.15,965.7,25.9,52.3,1.1,116.0,45.7,965.9,0 days 00:01:30.989000,0 days 00:01:30.019000,0 days 00:01:29.418000,5.0,328.0,26.2,54.4,2.4,0.0,48.0,965.0,336.0,26.5,54.4,3.1,350.0,42.1,965.0,332.0,26.3,52.0,3.4,354.0,43.4,964.8,,9.0,McLaren,0.0,1.0
PER,0 days 00:01:34.809000,MEDIUM,328.0,297.0,111.0,279.0,MEDIUM,5.0,0 days 00:01:35.923500,-1 days +23:59:59.185000,3.0,7.0,6.0,24.85,45.25,1.7,31.5,52.95,966.0,24.4,48.2,1.4,0.0,57.1,966.2,0 days 00:01:33.300000,SOFT,329.0,302.0,109.0,280.0,HARD,13.0,0 days 00:01:37.902818181,-1 days +23:59:58.697000,2.0,12.0,7.0,25.00909090909091,52.654545454545456,2.045454545454545,158.0909090909091,55.61818181818182,965.5,26.0,55.9,2.9,79.0,41.7,965.4,0 days 00:01:32.491000,SOFT,327.0,302.0,115.0,281.0,SOFT,10.0,0 days 00:01:33.549333333,-1 days +23:59:58.678000,7.0,6.0,3.0,25.3,49.4,2.1333333333333333,83.66666666666667,47.7,965.7999999999998,25.5,50.1,1.7,0.0,45.7,965.8,0 days 00:01:30.964000,0 days 00:01:30.738000,,14.0,335.0,26.6,54.5,1.1,9.0,47.8,965.2,339.0,26.5,54.4,3.1,350.0,42.1,965.0,,,,,,,,,12.0,Racing Point,0.0,1.0
