Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:15.777000,SOFT,310.0,260.0,207.0,256.0,SOFT,9,0 days 00:01:18.371750,0 days 00:00:03.348000,5,13.25,10.0,34.925,47.4,1.5500000000000005,193.25,27.85,998.125,34.5,46.1,1.8,157,29.3,998.4,0 days 00:01:15.062000,SOFT,319.0,262.0,210.0,260.0,MEDIUM,11.0,0 days 00:01:17.608750,0 days 00:00:03.764000,7.0,6.75,2.0,37.475,50.724999999999994,1.15,246.25,23.425,995.85,37.5,51.3,0.5,351,24.6,995.4,0 days 00:01:13.554000,SOFT,319.0,269.0,213.0,261.0,SOFT,8.0,0 days 00:01:13.671000,0 days 00:00:00.222000,5.0,4.666666666666667,2.0,26.566666666666663,39.9,2.033333333333333,93.0,58.53333333333333,991.9,26.2,39.3,3.6,125,60.1,992.2,0 days 00:01:13.461000,,,17.0,327.0,28.2,43.2,1.9,73.0,52.0,990.3,,,,,,,,,,,,,,,0 days 00:00:10.052000,6.0,Toro Rosso,4,2
BOT,0 days 00:01:14.660000,MEDIUM,315.0,266.0,213.0,262.0,MEDIUM,11,0 days 00:01:19.276857142,0 days 00:00:00.963000,4,12.428571428571429,9.0,34.97142857142857,47.15714285714285,1.2857142857142858,141.28571428571428,28.457142857142856,998.1714285714288,34.5,46.1,1.8,157,29.3,998.4,0 days 00:01:14.111000,SOFT,320.0,269.0,214.0,265.0,HARD,8.0,0 days 00:01:14.694666666,0 days 00:00:00.029000,5.0,4.666666666666667,2.0,37.4,50.4,0.8666666666666667,326.3333333333333,23.799999999999997,995.7,37.7,50.8,1.2,0,23.8,995.5,0 days 00:01:12.890000,SOFT,313.0,271.0,214.0,265.0,SOFT,16.0,0 days 00:01:15.735750,0 days 00:00:01.795000,8.0,9.75,3.0,26.2,39.325,2.1625,167.125,60.75,992.2375,26.3,39.4,2.4,115,61.0,992.1,0 days 00:01:13.075000,0 days 00:01:12.424000,0 days 00:01:12.129000,3.0,319.0,28.0,43.8,1.0,319.0,53.2,990.3,323.0,28.6,43.4,0.9,116.0,50.8,990.0,325.0,28.7,44.5,2.0,14.0,49.7,989.5,,15.0,Mercedes,4,2
GAS,0 days 00:01:14.813000,SOFT,317.0,268.0,213.0,262.0,MEDIUM,6,0 days 00:01:17.482000,0 days 00:00:00.921000,3,9.0,8.0,33.666666666666664,44.53333333333333,1.8999999999999997,129.33333333333334,30.766666666666666,998.4333333333334,34.6,46.4,2.4,163,28.9,998.4,0 days 00:01:15.089000,MEDIUM,319.0,268.0,211.0,261.0,,,,,,,,,,,,,,37.8,51.0,1.5,28,21.8,995.8,0 days 00:01:13.324000,SOFT,320.0,271.0,215.0,264.0,MEDIUM,9.0,0 days 00:01:14.124000,0 days 00:00:00.482000,5.0,5.0,2.0,26.3,39.625,2.2750000000000004,151.5,60.325,992.175,26.2,39.5,1.6,195,61.6,992.0,0 days 00:01:12.991000,0 days 00:01:12.385000,0 days 00:01:12.522000,4.0,327.0,28.4,43.6,0.9,286.0,51.6,990.2,321.0,28.8,44.2,2.1,109.0,50.3,990.0,326.0,28.6,43.9,2.3,128.0,49.7,989.7,,14.0,Red Bull Racing,4,2
GIO,0 days 00:01:16.382000,SOFT,316.0,256.0,212.0,260.0,MEDIUM,10,0 days 00:01:17.857800,-1 days +23:59:57.710000,5,7.2,4.0,33.239999999999995,43.92,2.08,138.8,31.020000000000003,998.52,33.9,45.8,0.8,134,30.1,998.4,0 days 00:01:15.406000,SOFT,330.0,267.0,213.0,264.0,HARD,8.0,0 days 00:01:15.931000,0 days 00:00:00.072000,6.0,3.5,2.0,37.7,50.65,0.9,192.5,22.6,995.9,37.5,50.5,0.9,144,23.8,995.5,0 days 00:01:13.671000,SOFT,324.0,272.0,217.0,265.0,SOFT,8.0,0 days 00:01:14.402000,-1 days +23:59:59.268000,6.0,3.0,2.0,26.299999999999997,39.3,2.15,150.0,60.6,992.25,26.6,39.5,2.4,151,59.8,991.9,0 days 00:01:13.170000,0 days 00:01:12.786000,,11.0,331.0,28.4,43.6,0.9,286.0,51.6,990.2,331.0,28.6,43.4,0.9,116.0,50.8,990.0,,,,,,,,0 days 00:00:43.849000,13.0,Alfa Romeo Racing,4,2
GRO,0 days 00:01:15.074000,SOFT,315.0,266.0,213.0,262.0,SOFT,13,0 days 00:01:20.821000,0 days 00:00:02.800000,3,13.6,9.0,34.91,47.14,1.2000000000000002,132.6,28.359999999999996,998.16,33.9,45.8,0.8,134,30.1,998.4,0 days 00:01:14.179000,SOFT,322.0,267.0,213.0,262.0,SOFT,11.0,0 days 00:01:21.205125,0 days 00:00:01.039000,3.0,12.625,9.0,37.849999999999994,51.05,1.9,136.5,22.5125,995.25,37.6,51.1,2.4,125,22.6,995.5,0 days 00:01:13.378000,SOFT,321.0,264.0,216.0,262.0,SOFT,7.0,0 days 00:01:14.115666666,-1 days +23:59:59.866000,4.0,5.0,3.0,26.133333333333336,39.266666666666666,2.4333333333333336,141.0,60.86666666666667,992.1333333333332,26.8,39.9,1.2,213,58.4,992.0,0 days 00:01:13.146000,0 days 00:01:12.769000,0 days 00:01:12.851000,6.0,324.0,28.4,43.6,0.9,286.0,51.6,990.2,321.0,28.8,44.2,2.1,109.0,50.3,990.0,324.0,28.7,44.6,1.4,68.0,50.1,989.5,0 days 00:00:16.838000,7.0,Haas F1 Team,4,2
HAM,0 days 00:01:14.315000,MEDIUM,317.0,261.0,209.0,262.0,MEDIUM,14,0 days 00:01:19.429600,0 days 00:00:03.497000,4,13.4,8.0,34.92999999999999,47.17,1.11,131.2,28.339999999999996,998.1500000000002,33.9,45.5,1.2,142,30.0,998.4,0 days 00:01:13.595000,SOFT,323.0,267.0,215.0,264.0,SOFT,9.0,0 days 00:01:19.856833333,0 days 00:00:00.625000,3.0,10.5,8.0,37.68333333333333,51.083333333333336,2.216666666666667,120.0,22.833333333333332,995.2666666666668,37.5,50.6,1.0,76,23.7,995.6,0 days 00:01:12.965000,SOFT,318.0,271.0,215.0,262.0,SOFT,15.0,0 days 00:01:15.839454545,0 days 00:00:02.724000,4.0,8.818181818181818,2.0,26.26363636363636,39.38181818181818,2.0545454545454547,131.63636363636363,60.445454545454545,992.2000000000004,26.8,39.9,1.2,213,58.4,992.0,0 days 00:01:12.852000,0 days 00:01:12.149000,0 days 00:01:11.767000,1.0,319.0,28.0,42.8,1.6,5.0,53.2,990.3,320.0,28.3,43.8,1.2,128.0,51.7,990.0,320.0,28.8,44.1,1.3,132.0,50.0,989.7,0 days 00:00:19.667000,9.0,Mercedes,4,2
HUL,0 days 00:01:15.823000,SOFT,314.0,262.0,211.0,257.0,SOFT,5,0 days 00:01:16.778500,-1 days +23:59:58.837000,3,4.0,3.0,33.15,43.55,1.3,72.5,30.8,998.55,33.7,45.5,2.0,147,30.2,998.3,0 days 00:01:14.472000,SOFT,323.0,267.0,214.0,258.0,SOFT,14.0,0 days 00:01:20.685454545,-1 days +23:59:59.922000,3.0,10.363636363636363,5.0,37.7,51.01818181818181,1.4,112.0,22.972727272727273,995.3272727272724,37.8,50.7,1.6,46,22.7,995.5,0 days 00:01:13.496000,SOFT,321.0,270.0,214.0,261.0,SOFT,9.0,0 days 00:01:16.556500,0 days 00:00:03.414000,3.0,10.333333333333334,7.0,26.1,39.35,1.65,175.83333333333334,61.366666666666674,992.0666666666666,26.6,39.8,1.3,120,59.3,991.9,0 days 00:01:13.186000,0 days 00:01:12.766000,0 days 00:01:13.126000,9.0,329.0,28.4,43.6,0.9,286.0,51.6,990.2,324.0,28.6,43.4,0.9,116.0,50.8,990.0,328.0,28.7,44.5,2.0,14.0,49.7,989.5,,16.0,Renault,4,2
KUB,0 days 00:01:16.559000,SOFT,318.0,266.0,213.0,260.0,SOFT,10,0 days 00:01:18.218000,-1 days +23:59:58.994000,6,8.75,5.0,33.349999999999994,43.85,1.125,109.5,30.925,998.5,33.9,45.8,0.8,134,30.1,998.4,0 days 00:01:16.980000,SOFT,319.0,262.0,210.0,257.0,MEDIUM,7.0,0 days 00:01:17.481333333,-1 days +23:59:59.954000,4.0,5.0,3.0,37.73333333333333,50.76666666666667,1.0666666666666669,268.0,22.53333333333333,995.5666666666666,37.5,50.7,1.2,108,24.0,995.5,0 days 00:01:15.540000,SOFT,313.0,264.0,213.0,258.0,SOFT,11.0,0 days 00:01:17.243500,0 days 00:00:01.275000,5.0,6.0,2.0,26.03333333333333,39.133333333333326,1.8833333333333335,118.0,61.13333333333333,992.2166666666668,26.4,39.5,1.2,164,60.8,992.0,0 days 00:01:14.839000,,,19.0,328.0,28.4,43.6,0.9,286.0,51.6,990.2,,,,,,,,,,,,,,,0 days 00:00:24.987000,10.0,Williams,4,2
KVY,0 days 00:01:15.776000,SOFT,316.0,264.0,209.0,259.0,SOFT,9,0 days 00:01:20.299000,0 days 00:00:01.650000,2,14.0,11.0,34.82857142857143,47.32857142857143,1.4142857142857146,165.71428571428572,27.942857142857143,998.1142857142858,34.5,46.6,2.1,139,29.3,998.2,0 days 00:01:14.800000,SOFT,322.0,264.0,212.0,257.0,HARD,11.0,0 days 00:01:16.090666666,0 days 00:00:00.161000,8.0,6.333333333333333,2.0,37.5,50.866666666666674,1.3333333333333333,153.0,23.633333333333336,995.8666666666668,37.8,50.7,1.6,46,22.7,995.5,0 days 00:01:13.767000,SOFT,318.0,263.0,213.0,260.0,SOFT,8.0,0 days 00:01:16.238000,0 days 00:00:00,5.0,14.0,14.0,26.3,39.4,2.4,115.0,61.0,992.1,26.8,39.9,1.2,213,58.4,992.0,0 days 00:01:13.278000,0 days 00:01:13.135000,,14.0,320.0,27.9,45.6,0.4,165.0,52.9,990.3,319.0,28.7,44.2,1.1,191.0,50.2,990.1,,,,,,,,0 days 00:00:08.305000,3.0,Toro Rosso,4,2
LEC,0 days 00:01:14.268000,SOFT,326.0,274.0,214.0,267.0,SOFT,5,0 days 00:01:15.503500,0 days 00:00:00.765000,3,7.0,6.0,33.55,44.2,1.15,119.0,31.1,998.45,34.5,46.3,2.4,165,29.2,998.4,0 days 00:01:13.449000,SOFT,330.0,271.0,217.0,269.0,HARD,8.0,0 days 00:01:19.200200,0 days 00:00:00.377000,3.0,16.4,14.0,37.82,50.16,1.48,264.4,22.22,995.04,37.5,50.5,0.9,144,23.8,995.5,0 days 00:01:12.380000,SOFT,322.0,272.0,218.0,269.0,SOFT,6.0,0 days 00:01:12.926500,-1 days +23:59:59.619000,4.0,3.5,2.0,26.3,39.2,0.75,137.0,60.05,992.2,26.2,39.0,1.1,174,61.2,991.9,0 days 00:01:12.229000,0 days 00:01:12.344000,,10.0,326.0,28.1,43.2,1.1,12.0,53.0,990.3,325.0,28.5,44.2,2.5,70.0,50.8,989.9,,,,,,,,,17.0,Ferrari,4,2
