Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:19.794000,SOFT,299.0,252.0,277.0,246.0,SOFT,9.0,0 days 00:01:25.848000,0 days 00:00:02.078000,3.0,10.5,8.0,31.51666666666667,58.5,1.5999999999999996,217.83333333333337,36.5,990.25,31.1,58.2,1.9,139.0,37.0,990.6,0 days 00:01:18.514000,SOFT,304.0,254.0,278.0,247.0,MEDIUM,13.0,0 days 00:01:24.636700,0 days 00:00:01.042000,3.0,12.5,8.0,31.26,44.190000000000005,1.16,173.6,37.4,987.81,30.8,43.1,0.5,284.0,38.0,987.9,0 days 00:01:16.661000,SOFT,304.0,256.0,279.0,251.0,,,,,,,,,,,,,,26.8,37.4,1.0,191.0,43.0,984.7,0 days 00:01:17.280000,0 days 00:01:16.429000,,13.0,290.0,24.0,29.5,0.7,331.0,65.0,984.1,305.0,24.5,30.9,0.7,347.0,58.0,983.8,,,,,,,,0 days 00:00:36.769000,14.0,Williams,0.0,0.0
ALO,0 days 00:01:19.686000,SOFT,304.0,251.0,276.0,248.0,SOFT,8.0,0 days 00:01:26.079666666,0 days 00:00:01.668000,2.0,10.5,8.0,31.51666666666667,58.5,1.5999999999999996,217.83333333333337,36.5,990.25,31.2,59.7,0.9,0.0,37.0,990.5,0 days 00:01:18.519000,SOFT,306.0,255.0,278.0,251.0,MEDIUM,12.0,0 days 00:01:25.327666666,-1 days +23:59:59.979000,3.0,12.0,8.0,31.244444444444444,43.87777777777778,1.111111111111111,173.88888888888889,37.55555555555556,987.8222222222222,31.0,43.8,1.3,197.0,38.0,987.9,0 days 00:01:17.001000,SOFT,305.0,258.0,277.0,256.0,MEDIUM,6.0,0 days 00:01:17.921000,-1 days +23:59:59.854000,4.0,3.5,2.0,26.8,39.650000000000006,0.6,182.0,43.5,984.9,26.8,37.5,0.3,156.0,42.0,984.7,0 days 00:01:17.624000,0 days 00:01:16.117000,0 days 00:01:16.043000,7.0,306.0,24.4,30.1,1.3,177.0,67.0,984.1,307.0,24.5,31.1,0.7,230.0,59.0,983.8,306.0,24.6,31.3,0.3,211.0,58.0,983.8,0 days 00:01:22.460000,11.0,Aston Martin,0.0,0.0
BEA,0 days 00:01:20.371000,SOFT,299.0,253.0,280.0,242.0,MEDIUM,9.0,0 days 00:01:25.975666666,0 days 00:00:00.157000,3.0,13.5,11.0,31.51666666666667,58.833333333333336,1.4166666666666667,243.33333333333337,36.0,990.25,31.1,58.2,1.9,139.0,37.0,990.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOT,0 days 00:01:19.804000,SOFT,300.0,251.0,279.0,245.0,MEDIUM,10.0,0 days 00:01:20.902333333,-1 days +23:59:59.058000,7.0,4.333333333333333,2.0,30.8,58.53333333333334,1.1333333333333333,277.0,38.333333333333336,990.7999999999998,30.7,58.1,0.8,154.0,39.0,990.4,0 days 00:01:18.586000,SOFT,306.0,256.0,281.0,248.0,MEDIUM,9.0,0 days 00:01:25.292333333,0 days 00:00:02.750000,3.0,13.5,11.0,31.25,43.8,0.9333333333333332,170.66666666666666,37.5,987.7999999999998,30.9,42.9,0.5,0.0,39.0,988.0,0 days 00:01:16.804000,SOFT,303.0,257.0,278.0,253.0,SOFT,7.0,0 days 00:01:17.977000,0 days 00:00:00,6.0,7.0,7.0,26.8,37.5,0.3,156.0,42.0,984.7,26.7,37.4,0.6,0.0,43.0,984.7,0 days 00:01:17.487000,0 days 00:01:16.384000,,12.0,290.0,24.0,29.5,0.7,331.0,65.0,984.1,309.0,24.5,31.1,0.7,230.0,59.0,983.8,,,,,,,,0 days 00:00:45.409000,16.0,Kick Sauber,0.0,0.0
GAS,0 days 00:01:19.976000,SOFT,301.0,250.0,279.0,241.0,MEDIUM,10.0,0 days 00:01:21.368000,-1 days +23:59:58.771000,7.0,4.333333333333333,2.0,30.833333333333332,58.666666666666664,1.0666666666666669,282.3333333333333,38.333333333333336,990.7999999999998,30.9,58.7,1.0,183.0,39.0,990.5,0 days 00:01:18.888000,SOFT,303.0,254.0,281.0,244.0,MEDIUM,9.0,0 days 00:01:24.500166666,0 days 00:00:01.197000,3.0,13.5,11.0,31.25,43.8,0.9333333333333332,170.66666666666666,37.5,987.7999999999998,30.8,43.1,0.5,284.0,38.0,987.9,0 days 00:01:17.499000,SOFT,301.0,257.0,279.0,249.0,SOFT,5.0,0 days 00:01:18.737000,0 days 00:00:00,4.0,8.0,8.0,26.8,37.6,0.6,81.0,42.0,984.7,26.7,37.4,0.6,301.0,43.0,984.8,0 days 00:01:18.166000,,,20.0,305.0,24.5,29.8,1.2,160.0,67.0,984.2,,,,,,,,,,,,,,,,20.0,Alpine,0.0,0.0
HAM,0 days 00:01:19.287000,SOFT,302.0,253.0,278.0,248.0,MEDIUM,18.0,0 days 00:01:25.804866666,0 days 00:00:01.847000,3.0,17.0,10.0,31.280000000000005,59.0,1.346666666666667,176.0,36.93333333333333,990.3333333333334,30.8,58.0,1.1,292.0,39.0,990.6,0 days 00:01:18.363000,SOFT,304.0,254.0,278.0,249.0,SOFT,12.0,0 days 00:01:24.795666666,-1 days +23:59:59.603000,3.0,9.0,5.0,31.266666666666666,44.13333333333333,1.1,175.11111111111111,37.44444444444444,987.8333333333334,30.8,43.4,0.0,40.0,38.0,988.0,0 days 00:01:16.786000,SOFT,303.0,253.0,275.0,253.0,,,,,,,,,,,,,,26.9,38.4,0.5,147.0,43.0,984.8,0 days 00:01:17.087000,0 days 00:01:16.307000,0 days 00:01:15.854000,5.0,308.0,24.3,30.4,0.8,174.0,68.0,984.2,305.0,24.5,30.9,0.7,347.0,58.0,983.8,307.0,24.8,31.3,0.4,324.0,59.0,983.8,0 days 00:00:14.880000,3.0,Mercedes,0.0,0.0
HUL,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:18.791000,SOFT,306.0,258.0,285.0,250.0,MEDIUM,10.0,0 days 00:01:25.337333333,0 days 00:00:00.760000,4.0,13.5,11.0,31.299999999999997,43.916666666666664,0.9833333333333334,167.16666666666666,37.166666666666664,987.8333333333334,30.8,43.4,0.0,40.0,38.0,988.0,0 days 00:01:16.696000,SOFT,307.0,260.0,283.0,253.0,,,,,,,,,,,,,,26.8,37.6,1.0,150.0,43.0,984.8,0 days 00:01:17.362000,0 days 00:01:16.317000,,11.0,298.0,24.0,29.5,0.7,331.0,65.0,984.1,312.0,24.5,31.2,0.9,175.0,59.0,983.8,,,,,,,,0 days 00:00:33.184000,13.0,Haas F1 Team,0.0,0.0
LEC,0 days 00:01:19.011000,SOFT,303.0,255.0,282.0,249.0,HARD,11.0,0 days 00:01:25.363875,0 days 00:00:00.441000,3.0,18.5,15.0,31.4,58.912499999999994,1.3375,202.25,36.5,990.2875,30.9,58.7,1.0,183.0,39.0,990.5,0 days 00:01:19.286000,MEDIUM,302.0,254.0,283.0,245.0,MEDIUM,5.0,0 days 00:01:22.699000,0 days 00:00:00,4.0,5.0,5.0,31.6,48.0,0.9,174.0,36.0,988.3,31.7,48.0,0.7,180.0,36.0,988.3,0 days 00:01:16.803000,SOFT,305.0,259.0,282.0,252.0,,,,,,,,,,,,,,26.7,37.1,0.7,164.0,43.0,984.7,0 days 00:01:17.437000,0 days 00:01:15.891000,0 days 00:01:15.905000,6.0,291.0,24.0,29.4,0.6,192.0,68.0,984.2,307.0,24.5,30.9,0.7,347.0,58.0,983.8,306.0,24.6,31.3,0.3,211.0,58.0,983.8,0 days 00:00:19.686000,4.0,Ferrari,0.0,0.0
MAG,0 days 00:01:20.295000,SOFT,297.0,246.0,277.0,246.0,MEDIUM,9.0,0 days 00:01:26.496666666,0 days 00:00:00.342000,3.0,13.5,11.0,31.533333333333335,58.73333333333333,1.4999999999999998,199.0,36.333333333333336,990.25,31.1,58.2,1.9,139.0,37.0,990.6,0 days 00:01:18.315000,SOFT,309.0,257.0,283.0,252.0,MEDIUM,13.0,0 days 00:01:24.866900,0 days 00:00:01.915000,3.0,14.5,10.0,31.25,44.18,1.17,174.3,37.6,987.8,30.9,42.9,0.5,0.0,39.0,988.0,0 days 00:01:17.507000,SOFT,305.0,258.0,282.0,249.0,SOFT,5.0,0 days 00:01:31.107500,-1 days +23:59:56.567000,3.0,5.5,4.0,26.8,37.65,0.95,243.5,42.5,984.65,26.9,40.1,0.5,26.0,43.0,984.9,0 days 00:01:17.851000,0 days 00:01:16.548000,,15.0,299.0,24.0,29.5,0.7,331.0,65.0,984.1,315.0,24.5,31.2,0.9,175.0,59.0,983.8,,,,,,,,0 days 00:00:45.302000,15.0,Haas F1 Team,0.0,0.0
NOR,0 days 00:01:19.211000,SOFT,295.0,253.0,275.0,246.0,MEDIUM,10.0,0 days 00:01:25.443000,0 days 00:00:00.041000,4.0,14.666666666666666,12.0,31.483333333333334,58.88333333333333,1.3999999999999997,219.0,36.166666666666664,990.2666666666664,30.8,58.1,0.4,150.0,39.0,990.5,0 days 00:01:17.788000,SOFT,302.0,257.0,280.0,251.0,HARD,10.0,0 days 00:01:24.520333333,0 days 00:00:03.798000,1.0,13.0,9.0,31.27777777777778,44.51111111111111,1.2222222222222223,182.33333333333337,37.666666666666664,987.8222222222222,30.8,43.1,0.5,284.0,38.0,987.9,0 days 00:01:16.098000,SOFT,303.0,253.0,279.0,256.0,,,,,,,,,,,,,,26.9,37.4,0.6,207.0,43.0,984.8,0 days 00:01:17.755000,0 days 00:01:15.540000,0 days 00:01:15.227000,1.0,305.0,24.3,29.7,0.4,41.0,67.0,984.3,305.0,24.5,31.1,0.7,230.0,59.0,983.8,304.0,24.6,31.6,0.4,183.0,59.0,983.9,0 days 00:00:02.141000,2.0,McLaren,0.0,0.0
