Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:22.220000,SOFT,346.0,308.0,321.0,336.0,MEDIUM,11.0,0 days 00:01:25.778571428,0 days 00:00:00.870000,4.0,11.0,8.0,33.05714285714286,51.628571428571426,1.1142857142857143,230.28571428571428,37.285714285714285,996.0857142857144,33.2,51.3,1.0,229.0,38.0,996.2,0 days 00:01:21.592000,SOFT,353.0,310.0,325.0,341.0,MEDIUM,13.0,0 days 00:01:26.058800,0 days 00:00:01.601000,3.0,14.5,10.0,33.95,45.92999999999999,1.6800000000000002,218.1,31.4,994.62,33.9,41.7,1.1,203.0,33.0,994.9,0 days 00:01:20.596000,SOFT,344.0,308.0,325.0,338.0,,,,,,,,,,,,,,31.9,45.9,1.2,273.0,41.0,997.4,0 days 00:01:20.542000,0 days 00:01:20.314000,0 days 00:01:20.299000,9.0,345.0,33.6,49.7,1.6,200.0,36.0,995.9,348.0,33.6,48.0,2.1,193.0,36.0,995.8,347.0,33.2,47.1,1.1,195.0,39.0,995.6,0 days 00:01:07.456000,9.0,Williams,0.0,0.0
ALO,0 days 00:01:22.315000,SOFT,341.0,306.0,317.0,335.0,MEDIUM,8.0,0 days 00:01:24.258333333,-1 days +23:59:57.634000,5.0,8.0,6.0,32.833333333333336,51.26666666666667,0.9333333333333332,199.33333333333337,37.666666666666664,996.2999999999998,33.0,51.9,1.7,312.0,37.0,996.1,0 days 00:01:21.316000,SOFT,346.0,307.0,321.0,337.0,MEDIUM,10.0,0 days 00:01:26.207250,0 days 00:00:01.316000,2.0,11.5,8.0,33.849999999999994,46.3375,1.6625,223.25,31.5,994.6125,33.8,41.7,0.5,306.0,33.0,994.9,0 days 00:01:20.968000,SOFT,343.0,304.0,321.0,336.0,,,,,,,,,,,,,,32.0,48.1,1.3,70.0,41.0,997.4,0 days 00:01:20.617000,0 days 00:01:20.421000,,11.0,349.0,33.7,50.6,1.1,234.0,36.0,996.0,353.0,33.6,48.0,2.1,193.0,36.0,995.8,,,,,,,,0 days 00:01:08.495000,11.0,Aston Martin,0.0,0.0
ANT,0 days 00:01:23.955000,SOFT,341.0,312.0,324.0,333.0,,,,,,,,,,,,,,32.5,50.3,1.0,217.0,40.0,996.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOT,0 days 00:01:22.127000,SOFT,346.0,312.0,323.0,340.0,MEDIUM,6.0,0 days 00:01:23.984500,-1 days +23:59:59.637000,4.0,4.0,3.0,32.55,50.55,1.3,212.5,38.5,996.55,33.0,51.6,1.4,199.0,38.0,996.2,0 days 00:01:21.461000,SOFT,347.0,316.0,326.0,343.0,MEDIUM,12.0,0 days 00:01:26.316500,0 days 00:00:01.215000,4.0,12.75,9.0,33.95,45.9875,1.825,220.75,31.375,994.6125,33.8,41.7,0.5,306.0,33.0,994.9,0 days 00:01:21.357000,SOFT,350.0,314.0,328.0,342.0,SOFT,7.0,0 days 00:01:22.088500,-1 days +23:59:59.801000,5.0,6.5,5.0,32.05,48.05,1.4,252.5,37.0,997.35,32.2,48.2,1.0,345.0,40.0,997.4,0 days 00:01:21.101000,,,19.0,352.0,33.7,50.6,1.1,234.0,36.0,996.0,,,,,,,,,,,,,,,0 days 00:00:27.211000,16.0,Kick Sauber,0.0,0.0
COL,0 days 00:01:22.880000,SOFT,347.0,309.0,322.0,338.0,MEDIUM,9.0,0 days 00:01:27.036428571,-1 days +23:59:59.261000,2.0,13.0,10.0,33.05714285714286,51.57142857142857,1.0000000000000002,229.1428571428571,37.42857142857143,996.0714285714286,33.0,51.6,1.4,199.0,38.0,996.2,0 days 00:01:21.784000,SOFT,353.0,310.0,324.0,344.0,SOFT,8.0,0 days 00:01:25.224400,0 days 00:00:01.235000,3.0,10.0,8.0,34.019999999999996,45.5,1.62,223.6,31.4,994.5599999999998,33.9,41.7,1.1,203.0,33.0,994.9,0 days 00:01:20.905000,SOFT,347.0,311.0,326.0,342.0,,,,,,,,,,,,,,32.1,47.9,1.9,39.0,41.0,997.4,0 days 00:01:21.061000,,,18.0,348.0,33.5,50.8,0.9,0.0,37.0,996.1,,,,,,,,,,,,,,,0 days 00:01:21.308000,12.0,Williams,0.0,0.0
GAS,0 days 00:01:22.763000,SOFT,339.0,306.0,315.0,327.0,MEDIUM,7.0,0 days 00:01:27.063250,0 days 00:00:01.935000,3.0,12.5,11.0,32.95,51.825,1.025,185.5,37.5,995.975,33.3,51.0,1.1,169.0,37.0,996.2,0 days 00:01:21.819000,MEDIUM,342.0,312.0,320.0,330.0,MEDIUM,6.0,0 days 00:01:25.478666666,0 days 00:00:00.057000,3.0,13.0,12.0,34.1,45.46666666666667,1.3333333333333333,212.0,31.333333333333332,994.6,34.2,42.5,1.4,250.0,33.0,994.8,0 days 00:01:21.155000,SOFT,345.0,311.0,324.0,336.0,SOFT,6.0,0 days 00:01:22.188500,-1 days +23:59:59.369000,4.0,3.5,2.0,31.4,46.349999999999994,1.4500000000000002,217.5,43.0,997.55,32.1,47.9,1.6,290.0,39.0,997.3,0 days 00:01:20.748000,0 days 00:01:20.738000,,14.0,348.0,33.7,51.0,2.6,232.0,36.0,996.0,346.0,33.6,49.3,3.0,198.0,37.0,995.8,,,,,,,,0 days 00:00:18.344000,15.0,Alpine,0.0,0.0
HAM,0 days 00:01:22.214000,SOFT,340.0,310.0,320.0,331.0,SOFT,6.0,0 days 00:01:26.188000,0 days 00:00:00.679000,3.0,11.0,10.0,32.93333333333333,51.9,1.1333333333333333,247.33333333333337,37.333333333333336,995.9666666666668,33.0,51.7,0.9,195.0,38.0,996.3,0 days 00:01:20.738000,SOFT,348.0,312.0,322.0,339.0,MEDIUM,14.0,0 days 00:01:25.780272727,-1 days +23:59:58.672000,3.0,10.0,5.0,33.93636363636364,45.99999999999999,1.5909090909090908,218.8181818181818,31.272727272727273,994.6090909090908,33.9,41.7,1.1,203.0,33.0,994.9,0 days 00:01:20.117000,SOFT,343.0,309.0,324.0,335.0,MEDIUM,5.0,0 days 00:01:20.984000,0 days 00:00:00,4.0,9.0,9.0,31.9,46.3,1.6,315.0,41.0,997.3,32.2,48.2,1.0,345.0,40.0,997.4,0 days 00:01:20.477000,0 days 00:01:19.641000,0 days 00:01:19.513000,6.0,344.0,33.7,50.7,1.5,241.0,36.0,996.0,348.0,33.7,49.1,1.4,196.0,38.0,995.8,348.0,33.0,46.9,0.9,175.0,39.0,995.6,0 days 00:00:22.820000,5.0,Mercedes,0.0,0.0
HUL,0 days 00:01:23.157000,MEDIUM,339.0,307.0,318.0,334.0,SOFT,7.0,0 days 00:01:27.641666666,0 days 00:00:00.461000,4.0,8.0,7.0,33.0,51.666666666666664,1.0333333333333332,203.66666666666663,37.666666666666664,996.0666666666666,33.0,51.6,1.4,199.0,38.0,996.2,0 days 00:01:21.140000,SOFT,346.0,313.0,328.0,340.0,MEDIUM,10.0,0 days 00:01:25.998375,0 days 00:00:00.975000,2.0,11.5,8.0,33.8625,46.3125,1.6,222.625,31.625,994.625,33.9,42.1,1.5,239.0,33.0,994.8,0 days 00:01:20.943000,SOFT,345.0,313.0,326.0,337.0,SOFT,8.0,0 days 00:01:24.102250,0 days 00:00:03.714000,4.0,8.0,5.0,31.875,46.0,1.5499999999999998,282.75,41.5,997.35,32.1,47.4,0.7,229.0,39.0,997.3,0 days 00:01:20.781000,0 days 00:01:20.411000,0 days 00:01:20.339000,10.0,351.0,33.5,50.6,1.5,188.0,37.0,996.1,349.0,33.7,47.9,0.9,307.0,36.0,995.8,347.0,33.2,47.1,1.1,195.0,39.0,995.6,0 days 00:00:30.870000,17.0,Haas F1 Team,0.0,0.0
LEC,0 days 00:01:21.904000,SOFT,339.0,311.0,322.0,337.0,MEDIUM,6.0,0 days 00:01:23.742500,-1 days +23:59:58.561000,4.0,8.0,7.0,32.65,51.35,0.6,207.5,38.0,996.35,33.0,51.7,0.6,10.0,37.0,996.1,0 days 00:01:20.892000,SOFT,344.0,314.0,325.0,339.0,MEDIUM,14.0,0 days 00:01:25.611636363,0 days 00:00:01.589000,3.0,15.0,10.0,33.90909090909091,46.10909090909092,1.5272727272727271,222.27272727272728,31.545454545454547,994.618181818182,33.9,41.7,1.1,203.0,33.0,994.9,0 days 00:01:20.226000,SOFT,345.0,314.0,326.0,340.0,SOFT,5.0,0 days 00:01:21.171000,0 days 00:00:00,4.0,4.0,4.0,31.4,46.4,0.9,182.0,43.0,997.5,32.1,47.9,1.9,39.0,41.0,997.4,0 days 00:01:20.074000,0 days 00:01:20.007000,0 days 00:01:19.461000,4.0,350.0,33.5,50.6,1.5,188.0,37.0,996.1,348.0,33.9,49.0,1.5,223.0,37.0,995.9,350.0,33.0,46.9,0.9,175.0,39.0,995.6,0 days 01:14:40.727000,1.0,Ferrari,0.0,0.0
MAG,0 days 00:01:22.572000,SOFT,339.0,306.0,318.0,333.0,MEDIUM,6.0,0 days 00:01:26.645666666,0 days 00:00:02.279000,3.0,13.0,12.0,32.96666666666667,51.9,1.5666666666666664,261.6666666666667,37.0,996.0,33.2,51.8,2.0,195.0,37.0,996.1,0 days 00:01:21.499000,SOFT,344.0,312.0,324.0,335.0,MEDIUM,6.0,0 days 00:01:22.775000,0 days 00:00:00.916000,4.0,3.5,2.0,34.2,42.4,1.05,215.5,33.0,994.8,33.9,42.1,1.5,239.0,33.0,994.8,0 days 00:01:21.208000,SOFT,348.0,307.0,325.0,337.0,SOFT,8.0,0 days 00:01:26.067666666,0 days 00:00:01.733000,2.0,10.5,8.0,31.766666666666666,45.61666666666667,1.5833333333333337,253.5,41.833333333333336,997.4,32.0,48.5,1.1,204.0,37.0,997.3,0 days 00:01:20.856000,0 days 00:01:20.698000,,13.0,350.0,33.5,50.6,1.5,188.0,37.0,996.1,350.0,33.5,49.3,1.1,193.0,37.0,995.8,,,,,,,,0 days 00:01:08.302000,10.0,Haas F1 Team,0.0,0.0
NOR,0 days 00:01:21.917000,SOFT,342.0,308.0,319.0,336.0,SOFT,9.0,0 days 00:01:24.985800,0 days 00:00:00.390000,4.0,8.0,6.0,32.96,51.760000000000005,0.96,208.2,37.6,996.0,33.0,51.7,0.6,10.0,37.0,996.1,0 days 00:01:20.741000,SOFT,345.0,310.0,323.0,337.0,MEDIUM,14.0,0 days 00:01:25.512900,0 days 00:00:00.450000,4.0,9.5,5.0,33.88,46.15,1.52,218.8,31.5,994.62,33.8,41.7,0.5,306.0,33.0,994.9,0 days 00:01:20.262000,SOFT,343.0,307.0,323.0,335.0,,,,,,,,,,,,,,31.9,48.5,0.8,234.0,40.0,997.4,0 days 00:01:19.911000,0 days 00:01:19.727000,0 days 00:01:19.327000,1.0,346.0,33.5,50.8,0.9,0.0,37.0,996.1,349.0,33.6,49.3,3.0,198.0,37.0,995.8,346.0,33.2,47.1,1.1,195.0,39.0,995.6,0 days 00:00:06.153000,3.0,McLaren,0.0,0.0
OCO,0 days 00:01:22.880000,SOFT,342.0,309.0,316.0,331.0,MEDIUM,9.0,0 days 00:01:24.077750,-1 days +23:59:58.083000,5.0,7.0,4.0,32.95,51.45,1.25,150.0,37.25,996.3,33.1,51.8,0.5,192.0,36.0,996.1,0 days 00:01:21.867000,SOFT,342.0,313.0,322.0,336.0,MEDIUM,5.0,0 days 00:01:25.349500,-1 days +23:59:59.617000,3.0,12.5,12.0,34.150000000000006,45.45,1.5,225.0,31.0,994.55,34.0,45.9,2.1,205.0,31.0,994.6,0 days 00:01:21.258000,SOFT,348.0,310.0,325.0,338.0,,,,,,,,,,,,,,32.1,48.5,1.8,199.0,35.0,997.3,0 days 00:01:20.764000,0 days 00:01:20.766000,,15.0,348.0,33.7,51.0,2.6,232.0,36.0,996.0,351.0,33.6,48.0,2.1,193.0,36.0,995.8,,,,,,,,0 days 00:00:12.659000,14.0,Alpine,0.0,0.0
