Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2
ALB,0 days 00:01:30.375000,SOFT,298.0,263.0,282.0,299.0,SOFT,10.0,0 days 00:01:32.028800,-1 days +23:59:58.150000,5.0,6.2,3.0,25.34,31.420000000000005,0.72,123.6,64.1,1007.48,26.2,33.4,0.6,0.0,62.3,1007.1,0 days 00:01:28.402000,SOFT,300.0,262.0,288.0,305.0,SOFT,8.0,0 days 00:01:37.029428571,0 days 00:00:00.529000,1.0,11.0,8.0,28.7,32.285714285714285,1.4857142857142858,333.57142857142856,55.84285714285715,1003.4,28.3,32.3,1.3,306.0,58.1,1003.5
BOT,0 days 00:01:28.731000,SOFT,295.0,268.0,283.0,298.0,SOFT,9.0,0 days 00:01:35.234142857,0 days 00:00:01.110000,2.0,10.0,7.0,26.71428571428572,35.357142857142854,0.9428571428571428,174.57142857142858,60.62857142857143,1006.6142857142858,26.3,33.3,1.1,151.0,61.7,1007.1,0 days 00:01:27.785000,SOFT,305.0,272.0,288.0,309.0,MEDIUM,12.0,0 days 00:01:34.649000,0 days 00:00:00.513000,3.0,11.666666666666666,7.0,28.666666666666668,31.84444444444445,1.5222222222222221,329.0,56.22222222222222,1003.3444444444443,28.3,32.5,1.4,317.0,58.1,1003.7
GAS,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:29.354000,SOFT,299.0,268.0,287.0,303.0,SOFT,13.0,0 days 00:01:36.674250,0 days 00:00:03.730000,1.0,15.5,10.0,28.424999999999997,32.24166666666667,1.0666666666666667,210.58333333333334,56.84166666666667,1003.5,28.6,31.7,1.6,318.0,56.2,1003.3
GIO,0 days 00:01:36.887000,MEDIUM,260.0,258.0,272.0,299.0,,,,,,,,,,,,,,25.0,30.3,0.5,109.0,64.9,1007.7,0 days 00:01:29.651000,SOFT,297.0,267.0,287.0,303.0,MEDIUM,9.0,0 days 00:01:32.300000,-1 days +23:59:58.843000,5.0,5.0,2.0,27.925,33.25,1.3,312.5,59.775,1003.95,28.4,32.4,1.4,261.0,56.9,1003.4
GRO,0 days 00:01:31.283000,SOFT,297.0,262.0,277.0,296.0,SOFT,7.0,0 days 00:01:37.684600,0 days 00:00:03.243000,2.0,11.0,9.0,26.7,35.519999999999996,0.7999999999999999,228.8,60.48,1006.64,26.0,32.7,0.9,43.0,63.1,1007.1,0 days 00:01:29.553000,SOFT,298.0,265.0,285.0,299.0,SOFT,13.0,0 days 00:01:38.137916666,0 days 00:00:04.103000,1.0,12.5,7.0,28.625000000000004,32.175000000000004,1.5916666666666668,312.1666666666667,56.224999999999994,1003.4416666666665,28.3,32.4,1.8,316.0,57.3,1003.7
HAM,0 days 00:01:28.807000,SOFT,297.0,267.0,284.0,301.0,MEDIUM,7.0,0 days 00:01:31.145333333,-1 days +23:59:59.109000,4.0,4.0,2.0,25.0,30.53333333333333,0.8000000000000002,92.66666666666669,64.93333333333334,1007.6333333333332,26.1,33.2,0.6,346.0,63.0,1007.1,0 days 00:01:27.885000,SOFT,296.0,268.0,285.0,300.0,SOFT,14.0,0 days 00:01:35.797846153,0 days 00:00:04.438000,1.0,13.0,7.0,28.615384615384617,32.15384615384615,1.4307692307692308,260.3076923076923,56.215384615384615,1003.430769230769,28.3,32.5,1.4,317.0,58.1,1003.7
HUL,0 days 00:01:31.426000,SOFT,293.0,264.0,275.0,300.0,SOFT,7.0,0 days 00:01:32.824000,-1 days +23:59:58.618000,4.0,6.0,4.0,25.233333333333334,31.133333333333336,0.5333333333333333,44.333333333333336,64.23333333333333,1007.5,25.8,32.7,0.9,131.0,63.4,1007.1,0 days 00:01:30.334000,SOFT,305.0,265.0,290.0,308.0,HARD,12.0,0 days 00:01:35.979400,0 days 00:00:00.553000,2.0,6.5,2.0,28.359999999999996,32.36,1.22,246.4,57.56000000000002,1003.5200000000001,28.6,31.7,1.5,351.0,56.0,1003.3
KUB,0 days 00:01:33.484000,SOFT,290.0,259.0,277.0,291.0,SOFT,7.0,0 days 00:01:35.358666666,-1 days +23:59:59.951000,4.0,13.0,11.0,26.46666666666667,35.03333333333333,0.7666666666666666,55.0,61.36666666666667,1006.7333333333332,25.6,31.7,0.7,131.0,63.4,1007.2,0 days 00:01:30.916000,SOFT,293.0,266.0,283.0,296.0,MEDIUM,12.0,0 days 00:01:37.589800,0 days 00:00:01.794000,2.0,9.5,5.0,28.670000000000005,31.840000000000003,1.6199999999999999,264.1,56.27,1003.3499999999998,28.4,32.4,1.1,305.0,57.7,1003.4
KVY,0 days 00:01:31.920000,MEDIUM,297.0,263.0,282.0,298.0,MEDIUM,7.0,0 days 00:01:33.233000,0 days 00:00:00.479000,4.0,14.0,12.0,26.6,35.36666666666667,0.7666666666666666,172.0,60.76666666666666,1006.6333333333332,26.2,33.4,0.6,0.0,62.3,1007.1,0 days 00:01:29.512000,SOFT,298.0,263.0,286.0,303.0,MEDIUM,16.0,0 days 00:01:36.676333333,0 days 00:00:02.041000,1.0,15.0,8.0,28.64666666666667,32.093333333333334,1.6466666666666663,290.93333333333334,56.233333333333334,1003.4199999999997,28.4,32.4,1.1,305.0,57.7,1003.4
LEC,0 days 00:01:29.912000,SOFT,300.0,263.0,280.0,301.0,SOFT,8.0,0 days 00:01:31.949000,0 days 00:00:02.224000,4.0,5.75,3.0,25.325,31.65,0.325,67.25,64.125,1007.425,25.9,32.6,1.0,80.0,63.6,1007.1,0 days 00:01:28.141000,SOFT,304.0,272.0,288.0,307.0,SOFT,10.0,0 days 00:01:35.968375,0 days 00:00:01.475000,2.0,12.5,9.0,28.475,32.2,0.975,93.125,56.5375,1003.5,28.6,31.7,1.6,318.0,56.2,1003.3
