Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALO,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:19.543000,HYPERSOFT,331.0,250.0,308.0,279.0,SUPERSOFT,15.0,0 days 00:01:24.088700,0 days 00:00:01.295000,5.0,18.6,13.0,24.91,48.129999999999995,1.93,104.6,32.800000000000004,779.4999999999999,24.6,48.0,1.9,87.0,33.5,780.0,0 days 00:01:18.548000,HYPERSOFT,332.0,252.0,309.0,285.0,,,,,,,,,,,,,,16.6,21.3,1.3,167.0,78.5,784.4,0 days 00:01:16.857000,0 days 00:01:16.871000,,12.0,334.0,19.1,26.7,1.7,255.0,62.4,783.6,336.0,19.7,29.8,0.8,284.0,59.4,783.3,,,,,,,,,20.0,McLaren,0.0,3.0
BOT,0 days 00:01:18.322000,ULTRASOFT,338.0,250.0,310.0,285.0,HYPERSOFT,8.0,0 days 00:01:19.055000,0 days 00:00:00.600000,5.0,5.0,3.0,19.23333333333333,28.0,1.2333333333333334,65.66666666666667,60.0,783.1666666666666,20.4,31.8,1.6,270.0,53.9,783.0,0 days 00:01:18.140000,HYPERSOFT,340.0,245.0,310.0,284.0,ULTRASOFT,12.0,0 days 00:01:23.947000,0 days 00:00:02.150000,3.0,19.333333333333332,15.0,24.966666666666665,47.85555555555556,2.0555555555555554,109.11111111111111,32.67777777777778,779.6555555555556,24.6,48.1,1.7,70.0,34.2,780.0,0 days 00:01:18.839000,HYPERSOFT,342.0,253.0,312.0,285.0,,,,,,,,,,,,,,16.2,20.4,1.3,245.0,80.5,784.4,0 days 00:01:15.580000,0 days 00:01:15.923000,0 days 00:01:15.160000,5.0,339.0,19.2,26.6,0.9,0.0,62.3,783.6,344.0,19.0,27.4,0.6,293.0,61.6,783.5,346.0,19.6,30.1,0.0,108.0,59.9,783.2,,5.0,Mercedes,0.0,3.0
ERI,0 days 00:01:19.312000,HYPERSOFT,,250.0,,285.0,HYPERSOFT,10.0,0 days 00:01:25.721333333,0 days 00:00:03.776000,4.0,12.833333333333334,10.0,20.5,33.43333333333333,1.2833333333333334,92.33333333333331,52.75,782.9500000000002,20.1,30.2,0.8,288.0,56.6,783.0,0 days 00:01:19.322000,HYPERSOFT,345.0,251.0,315.0,288.0,ULTRASOFT,15.0,0 days 00:01:25.915750,0 days 00:00:02.134000,3.0,17.0,11.0,24.966666666666665,48.03333333333333,1.6666666666666667,91.16666666666669,32.525,779.4583333333331,24.9,48.3,2.4,151.0,33.5,780.0,0 days 00:01:17.565000,HYPERSOFT,343.0,256.0,314.0,290.0,HYPERSOFT,6.0,0 days 00:01:19.996500,-1 days +23:59:58.433000,4.0,3.0,2.0,16.25,20.2,1.3,241.5,81.05000000000001,784.4,16.3,21.0,1.2,36.0,78.1,784.3,0 days 00:01:16.701000,0 days 00:01:16.633000,0 days 00:01:16.513000,10.0,349.0,18.9,26.9,2.4,264.0,62.7,783.5,351.0,18.9,27.5,0.8,275.0,61.2,783.4,351.0,19.8,29.4,1.0,80.0,57.7,783.1,,9.0,Sauber,0.0,3.0
GAS,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:19.047000,HYPERSOFT,338.0,246.0,307.0,280.0,HYPERSOFT,10.0,0 days 00:01:25.069000,0 days 00:00:03.431000,6.0,11.5,10.0,25.2,47.775,1.975,92.0,32.2,779.5749999999999,24.6,47.7,1.8,65.0,33.7,780.0,0 days 00:01:17.525000,HYPERSOFT,347.0,250.0,310.0,286.0,HYPERSOFT,10.0,0 days 00:01:24.137750,-1 days +23:59:58.414000,2.0,5.5,2.0,16.2875,20.5625,1.0375,224.0,80.67500000000001,784.3499999999999,16.6,21.3,1.3,167.0,78.5,784.4,0 days 00:01:16.828000,,,15.0,345.0,18.9,26.9,2.4,264.0,62.7,783.5,,,,,,,,,,,,,,,,10.0,Toro Rosso,0.0,3.0
GIO,0 days 00:01:19.134000,HYPERSOFT,337.0,250.0,310.0,283.0,HYPERSOFT,10.0,0 days 00:01:21.208500,0 days 00:00:00.366000,6.0,7.25,4.0,19.174999999999997,27.749999999999996,1.45,186.75,60.075,783.1500000000001,19.8,30.2,0.7,229.0,57.2,783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRO,0 days 00:01:19.276000,HYPERSOFT,338.0,254.0,309.0,286.0,ULTRASOFT,9.0,0 days 00:01:23.560750,0 days 00:00:02.649000,5.0,5.75,3.0,19.125,27.424999999999997,1.625,142.5,60.225,783.175,20.5,30.7,0.8,50.0,55.2,783.1,0 days 00:01:18.733000,HYPERSOFT,338.0,252.0,312.0,285.0,SUPERSOFT,17.0,0 days 00:01:24.890928571,0 days 00:00:01.365000,3.0,18.214285714285715,11.0,24.928571428571427,48.05,1.8785714285714288,117.78571428571428,32.642857142857146,779.4785714285714,24.8,48.9,3.1,129.0,33.6,780.0,0 days 00:01:18.145000,HYPERSOFT,343.0,257.0,315.0,290.0,,,,,,,,,,,,,,16.4,21.1,1.7,258.0,77.7,784.4,0 days 00:01:16.911000,,,16.0,347.0,18.9,26.9,2.4,264.0,62.7,783.5,,,,,,,,,,,,,,,,16.0,Haas F1 Team,0.0,3.0
HAM,0 days 00:01:18.075000,ULTRASOFT,339.0,248.0,311.0,284.0,HYPERSOFT,6.0,0 days 00:01:18.268000,0 days 00:00:00,5.0,3.0,3.0,19.1,27.7,1.6,229.0,59.7,783.1,20.2,31.5,0.7,272.0,54.8,783.0,0 days 00:01:18.100000,HYPERSOFT,337.0,247.0,308.0,281.0,SUPERSOFT,16.0,0 days 00:01:23.613166666,0 days 00:00:00.268000,4.0,18.833333333333332,12.0,24.98333333333333,48.05,1.6833333333333331,115.0,32.43333333333333,779.4416666666665,24.9,48.3,2.4,151.0,33.5,780.0,0 days 00:01:16.538000,HYPERSOFT,347.0,255.0,318.0,290.0,,,,,,,,,,,,,,16.3,21.0,0.7,301.0,78.5,784.4,0 days 00:01:15.673000,0 days 00:01:15.644000,0 days 00:01:14.894000,3.0,342.0,19.2,26.6,0.9,0.0,62.3,783.6,348.0,19.0,27.4,0.6,293.0,61.6,783.5,347.0,19.8,29.4,1.0,80.0,57.7,783.1,0 days 00:01:18.738000,4.0,Mercedes,0.0,3.0
HAR,0 days 00:01:19.024000,HYPERSOFT,338.0,247.0,308.0,281.0,HYPERSOFT,9.0,0 days 00:01:19.935500,0 days 00:00:01.295000,7.0,10.0,9.0,20.3,32.400000000000006,1.5,230.0,54.75,783.0,19.8,30.2,0.7,229.0,57.2,783.0,0 days 00:01:18.061000,HYPERSOFT,335.0,244.0,308.0,282.0,HYPERSOFT,12.0,0 days 00:01:27.455000,0 days 00:00:01.212000,2.0,14.5,10.0,24.81,48.11,2.0000000000000004,107.9,33.08,779.4799999999999,24.4,48.0,1.3,117.0,34.2,779.9,0 days 00:01:18.637000,HYPERSOFT,340.0,250.0,307.0,280.0,HYPERSOFT,5.0,0 days 00:01:19.140000,0 days 00:00:00,4.0,4.0,4.0,16.5,21.1,0.6,268.0,79.6,784.4,16.7,21.4,1.2,282.0,77.2,784.4,0 days 00:01:16.682000,0 days 00:01:17.184000,,14.0,344.0,18.9,26.9,2.4,264.0,62.7,783.5,335.0,19.1,27.7,1.0,272.0,62.2,783.4,,,,,,,,,14.0,Toro Rosso,0.0,3.0
HUL,0 days 00:01:18.028000,HYPERSOFT,339.0,252.0,313.0,287.0,HYPERSOFT,7.0,0 days 00:01:20.502333333,0 days 00:00:01.564000,4.0,6.0,4.0,19.26666666666667,27.866666666666664,1.2333333333333334,191.33333333333337,59.56666666666667,783.1333333333333,20.4,31.1,0.6,128.0,55.5,783.0,0 days 00:01:18.046000,HYPERSOFT,339.0,251.0,313.0,288.0,ULTRASOFT,18.0,0 days 00:01:24.696000,0 days 00:00:01.170000,4.0,15.071428571428571,8.0,25.0,48.042857142857144,1.7642857142857145,119.64285714285714,32.55,779.4571428571427,24.6,48.4,2.4,119.0,34.4,780.0,0 days 00:01:17.623000,HYPERSOFT,339.0,254.0,311.0,288.0,,,,,,,,,,,,,,16.3,21.0,0.7,301.0,78.5,784.4,0 days 00:01:16.498000,0 days 00:01:16.126000,0 days 00:01:15.827000,7.0,340.0,18.9,26.9,2.4,264.0,62.7,783.5,343.0,19.7,29.8,0.8,284.0,59.4,783.3,341.0,19.8,29.4,1.0,80.0,57.7,783.1,,6.0,Renault,0.0,3.0
LAT,0 days 00:01:19.078000,HYPERSOFT,341.0,251.0,310.0,285.0,ULTRASOFT,10.0,0 days 00:01:22.362600,-1 days +23:59:59.591000,5.0,6.8,3.0,19.24,27.76,1.2600000000000002,199.2,59.75999999999999,783.12,20.3,31.7,1.7,250.0,54.2,782.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
