Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:31.854000,SOFT,331.0,281.0,217.0,188.0,MEDIUM,8.0,0 days 00:01:35.846000,-1 days +23:59:57.532000,5.0,5.0,3.0,33.86666666666667,52.866666666666674,2.2333333333333334,266.6666666666667,41.666666666666664,1013.3666666666668,33.8,49.5,1.0,0,40.0,1012.7,0 days 00:01:31.710000,SOFT,325.0,282.0,215.0,186.0,MEDIUM,7.0,0 days 00:01:33.085000,-1 days +23:59:57.724000,5.0,4.5,3.0,32.25,41.650000000000006,2.05,190.5,56.5,1011.4,34.0,42.5,1.6,283.0,38.0,1011.4,0 days 00:01:31.501000,SOFT,327.0,285.0,218.0,188.0,SOFT,7.0,0 days 00:01:33.376500,-1 days +23:59:59.579000,5.0,3.0,2.0,33.95,53.7,2.1,345.0,42.0,1010.1,34.2,51.9,0.8,8.0,41.0,1010.2,0 days 00:01:31.266000,,,18.0,327.0,33.7,51.9,1.3,52.0,38.0,1008.5,,,,,,,,,,,,,,,0 days 00:00:32.365000,9.0,Williams,1,1
ALO,0 days 00:01:32.884000,SOFT,324.0,276.0,212.0,182.0,MEDIUM,13.0,0 days 00:01:36.413666666,-1 days +23:59:55.581000,7.0,6.0,2.0,33.93333333333334,52.81666666666667,2.316666666666667,261.5,41.833333333333336,1013.3666666666668,33.9,52.0,2.5,75,41.0,1013.0,0 days 00:01:30.372000,SOFT,329.0,278.0,218.0,188.0,MEDIUM,8.0,0 days 00:01:34.701400,0 days 00:00:00.629000,3.0,9.0,7.0,33.34,39.86,1.12,184.8,40.8,1011.48,33.9,42.4,1.0,359.0,38.0,1011.5,0 days 00:01:31.036000,SOFT,326.0,283.0,212.0,187.0,SOFT,7.0,0 days 00:01:32.474666666,-1 days +23:59:59.204000,4.0,6.0,4.0,33.93333333333334,53.1,1.8,241.66666666666663,41.333333333333336,1010.0666666666666,33.7,49.6,2.0,314.0,42.0,1010.2,0 days 00:01:30.407000,0 days 00:01:30.160000,,11.0,326.0,33.5,52.3,2.2,113.0,38.0,1008.5,326.0,32.9,50.2,0.8,338.0,40.0,1008.4,,,,,,,,0 days 00:00:37.128000,11.0,Alpine,1,1
BOT,0 days 00:01:33.773000,MEDIUM,322.0,278.0,211.0,186.0,,,,,,,,,,,,,,34.0,50.6,2.0,123,41.0,1013.2,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:31.885000,SOFT,327.0,281.0,217.0,190.0,SOFT,8.0,0 days 00:01:35.983600,0 days 00:00:04.064000,3.0,14.0,12.0,33.96,50.739999999999995,1.8400000000000003,260.6,41.4,1010.2,34.2,54.0,1.2,327.0,41.0,1010.0,0 days 00:01:30.845000,0 days 00:01:29.751000,0 days 00:01:29.475000,5.0,317.0,33.1,49.1,0.8,327.0,41.0,1008.7,324.0,32.9,50.2,0.8,338.0,40.0,1008.4,324.0,32.8,49.4,2.4,202.0,41.0,1008.5,0 days 00:00:25.073000,7.0,Alfa Romeo,1,1
GAS,0 days 00:01:31.498000,SOFT,333.0,282.0,218.0,186.0,MEDIUM,9.0,0 days 00:01:35.105000,-1 days +23:59:56.487000,5.0,5.25,3.0,33.875,53.025000000000006,2.125,273.25,42.0,1013.4,33.8,46.8,1.0,200,38.0,1012.7,0 days 00:01:30.547000,SOFT,329.0,282.0,214.0,188.0,MEDIUM,8.0,0 days 00:01:34.739000,0 days 00:00:00.483000,3.0,10.0,8.0,33.36,39.86,1.12,212.6,41.2,1011.48,33.8,42.7,1.5,347.0,39.0,1011.5,0 days 00:01:31.901000,SOFT,321.0,283.0,217.0,190.0,HARD,7.0,0 days 00:01:35.129000,0 days 00:00:00.187000,4.0,4.0,2.0,33.13333333333333,49.133333333333326,0.9666666666666668,221.33333333333337,43.666666666666664,1010.3666666666668,33.3,49.9,0.6,321.0,42.0,1010.0,0 days 00:01:30.779000,0 days 00:01:30.128000,0 days 00:01:29.690000,7.0,327.0,33.7,51.9,1.3,52.0,38.0,1008.5,327.0,32.9,51.1,3.2,305.0,42.0,1008.4,326.0,32.6,49.4,1.0,79.0,41.0,1008.5,,18.0,AlphaTauri,1,1
HAM,0 days 00:01:31.956000,SOFT,325.0,278.0,,185.0,SOFT,10.0,0 days 00:01:35.415600,-1 days +23:59:56.779000,5.0,5.6,3.0,33.879999999999995,52.34000000000001,2.1000000000000005,246.4,41.8,1013.36,33.6,47.4,0.6,160,40.0,1012.5,0 days 00:01:30.179000,SOFT,322.0,282.0,221.0,190.0,MEDIUM,8.0,0 days 00:01:35.559200,-1 days +23:59:59.656000,3.0,8.0,6.0,33.379999999999995,39.86,1.1800000000000002,260.4,41.2,1011.48,33.8,42.7,1.5,347.0,39.0,1011.5,0 days 00:01:31.890000,SOFT,321.0,276.0,218.0,188.0,MEDIUM,5.0,0 days 00:01:32.851000,0 days 00:00:00,4.0,3.0,3.0,33.2,48.5,1.0,80.0,43.0,1010.4,33.5,51.2,1.1,5.0,43.0,1010.2,0 days 00:01:30.388000,0 days 00:01:29.797000,0 days 00:01:29.625000,6.0,323.0,33.5,51.0,1.7,19.0,39.0,1008.5,327.0,32.8,50.4,2.0,308.0,42.0,1008.5,324.0,32.8,49.4,2.4,202.0,41.0,1008.5,0 days 00:00:21.368000,6.0,Mercedes,1,1
LAT,0 days 00:01:35.637000,SOFT,320.0,276.0,214.0,182.0,MEDIUM,12.0,0 days 00:01:38.822555555,0 days 00:00:00.151000,3.0,15.0,11.0,33.77777777777778,47.977777777777774,1.0333333333333332,127.22222222222224,40.111111111111114,1012.5666666666668,34.0,50.5,1.3,0,42.0,1012.9,0 days 00:01:32.913000,SOFT,320.0,279.0,219.0,188.0,MEDIUM,7.0,0 days 00:01:35.486000,-1 days +23:59:57.868000,4.0,4.0,2.0,32.166666666666664,41.53333333333334,2.1,176.33333333333334,57.333333333333336,1011.4666666666668,33.9,43.2,0.5,0.0,38.0,1011.5,0 days 00:01:32.376000,SOFT,324.0,283.0,216.0,187.0,SOFT,5.0,0 days 00:01:34.365500,-1 days +23:59:58.897000,3.0,7.0,6.0,33.7,50.5,2.75,181.5,41.5,1010.0,34.1,51.5,2.5,332.0,41.0,1010.2,0 days 00:01:31.325000,,,19.0,324.0,33.3,51.1,1.2,353.0,39.0,1008.4,,,,,,,,,,,,,,,0 days 00:00:49.936000,14.0,Williams,1,1
LEC,0 days 00:01:31.098000,SOFT,321.0,279.0,217.0,184.0,MEDIUM,10.0,0 days 00:01:33.070200,-1 days +23:59:59.709000,5.0,11.2,8.0,34.04,50.48,1.78,191.8,42.8,1013.12,33.6,46.2,2.0,188,40.0,1012.5,0 days 00:01:30.044000,SOFT,326.0,275.0,216.0,188.0,MEDIUM,8.0,0 days 00:01:33.962250,-1 days +23:59:59.169000,4.0,9.75,8.0,33.300000000000004,39.8,1.1,161.5,41.0,1011.475,33.7,42.6,0.4,286.0,39.0,1011.5,0 days 00:01:30.498000,SOFT,320.0,282.0,217.0,189.0,SOFT,6.0,0 days 00:01:31.978000,-1 days +23:59:59.456000,4.0,4.0,3.0,33.05,49.4,0.9,226.0,43.0,1010.45,33.5,48.2,1.8,339.0,43.0,1010.2,0 days 00:01:29.474000,0 days 00:01:29.130000,0 days 00:01:28.796000,1.0,325.0,33.1,49.1,0.8,327.0,41.0,1008.7,323.0,33.3,51.1,1.7,323.0,41.0,1008.2,323.0,32.8,49.4,2.4,202.0,41.0,1008.5,0 days 00:00:03.786000,2.0,Ferrari,1,1
MAG,0 days 00:01:32.559000,SOFT,323.0,281.0,215.0,185.0,HARD,11.0,0 days 00:01:35.878166666,-1 days +23:59:57.962000,5.0,8.5,5.0,34.03333333333333,50.63333333333333,1.8,155.83333333333334,42.5,1013.0333333333332,33.8,47.4,0.6,147,39.0,1012.5,0 days 00:01:30.921000,SOFT,330.0,277.0,218.0,188.0,MEDIUM,7.0,0 days 00:01:34.346666666,0 days 00:00:00.113000,4.0,6.0,5.0,33.23333333333334,39.53333333333333,1.2,278.3333333333333,41.666666666666664,1011.5,33.9,43.2,0.5,0.0,38.0,1011.5,0 days 00:01:31.227000,SOFT,321.0,277.0,219.0,188.0,SOFT,7.0,0 days 00:01:32.918000,-1 days +23:59:59.683000,4.0,7.0,5.0,33.9,52.86666666666667,1.3666666666666665,227.0,42.0,1010.0666666666666,33.4,48.0,1.1,293.0,43.0,1010.2,0 days 00:01:30.975000,,,16.0,326.0,33.5,50.8,0.8,80.0,40.0,1008.5,,,,,,,,,,,,,,,,16.0,Haas F1 Team,1,1
MSC,0 days 00:01:34.945000,SOFT,293.0,274.0,214.0,184.0,MEDIUM,10.0,0 days 00:01:37.318200,-1 days +23:59:56.797000,5.0,8.0,5.0,34.040000000000006,50.6,1.72,153.2,42.6,1013.0,33.9,47.6,0.8,276,40.0,1012.7,0 days 00:01:31.587000,SOFT,323.0,280.0,218.0,188.0,HARD,8.0,0 days 00:01:36.903200,0 days 00:00:00.107000,3.0,8.0,6.0,33.38000000000001,39.86,1.28,272.0,41.0,1011.5,33.8,41.8,1.2,206.0,39.0,1011.2,0 days 00:01:31.050000,SOFT,326.0,277.0,219.0,189.0,SOFT,5.0,0 days 00:01:32.700500,-1 days +23:59:59.189000,3.0,3.0,2.0,33.2,48.45,0.8,164.5,43.5,1010.3,33.4,48.0,1.1,293.0,43.0,1010.2,0 days 00:01:30.645000,0 days 00:01:30.423000,,15.0,323.0,33.5,50.8,1.5,343.0,39.0,1008.5,324.0,32.8,50.4,2.5,88.0,41.0,1008.5,,,,,,,,0 days 00:01:13.305000,15.0,Haas F1 Team,1,1
NOR,0 days 00:01:32.615000,SOFT,323.0,276.0,216.0,186.0,SOFT,11.0,0 days 00:01:36.758375,-1 days +23:59:59.841000,3.0,10.5,7.0,33.8375,47.8,1.0625,171.625,40.25,1012.6,34.1,48.9,0.6,170,42.0,1013.0,0 days 00:01:30.535000,SOFT,323.0,277.0,219.0,188.0,MEDIUM,7.0,0 days 00:01:32.431666666,-1 days +23:59:58.414000,4.0,4.0,2.0,32.166666666666664,41.56666666666667,2.2,160.0,57.0,1011.4333333333334,33.9,42.4,1.0,359.0,38.0,1011.5,0 days 00:01:31.594000,SOFT,317.0,277.0,215.0,185.0,HARD,8.0,0 days 00:01:34.158666666,0 days 00:00:00.182000,5.0,6.0,4.0,33.86666666666667,52.96666666666666,1.6,206.33333333333337,42.0,1010.0,34.2,52.2,1.8,310.0,41.0,1010.2,0 days 00:01:30.761000,0 days 00:01:29.634000,0 days 00:01:29.750000,8.0,322.0,33.1,49.1,0.8,327.0,41.0,1008.7,320.0,32.9,50.2,0.8,338.0,40.0,1008.4,322.0,32.8,49.4,2.4,202.0,41.0,1008.5,,19.0,McLaren,1,1
