Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:16.110000,SOFT,276.0,261.0,198.0,194.0,HARD,14.0,0 days 00:01:18.450142857,-1 days +23:59:57.461000,7.0,8.0,4.0,30.385714285714283,54.05714285714286,0.7857142857142857,179.0,30.857142857142858,1015.1428571428572,31.2,54.5,1.0,154.0,31.0,1014.7,0 days 00:01:14.486000,SOFT,280.0,266.0,204.0,195.0,SOFT,11.0,0 days 00:01:19.093222222,0 days 00:00:03.175000,2.0,14.0,10.0,30.577777777777776,48.05555555555556,1.2,174.88888888888889,29.666666666666668,1012.5,30.9,49.5,2.4,181.0,29.0,1012.7,0 days 00:01:13.882000,SOFT,278.0,267.0,207.0,201.0,MEDIUM,11,0 days 00:01:15.579750,-1 days +23:59:58.687000,7,5.5,2.0,27.175000000000004,51.3,0.9,127.5,49.0,1005.875,27.0,50.9,0.8,216,47.0,1005.7,0 days 00:01:13.611000,,,16.0,284.0,26.0,44.9,0.0,254,51.0,1003.9,,,,,,,,,,,,,,,,18.0,Williams,2,1
ALO,0 days 00:01:15.749000,MEDIUM,271.0,262.0,203.0,191.0,HARD,13.0,0 days 00:01:18.696571428,-1 days +23:59:56.861000,6.0,7.571428571428571,2.0,30.4,54.01428571428573,0.6857142857142857,173.28571428571428,30.857142857142858,1015.0857142857144,31.1,54.2,0.8,222.0,29.0,1014.7,0 days 00:01:13.912000,SOFT,278.0,267.0,209.0,197.0,SOFT,16.0,0 days 00:01:18.349625,0 days 00:00:02.591000,8.0,13.125,9.0,30.5875,48.0,1.275,183.375,29.875,1012.5,30.4,50.8,1.1,187.0,30.0,1012.7,0 days 00:01:13.585000,SOFT,278.0,267.0,212.0,197.0,SOFT,7,0 days 00:01:15.164666666,-1 days +23:59:59.119000,4,4.0,2.0,27.0,51.3,0.5,126.33333333333331,49.333333333333336,1006.0,27.2,50.9,0.6,181,47.0,1005.5,0 days 00:01:13.394000,0 days 00:01:12.688000,0 days 00:01:12.247000,7.0,277.0,26.1,46.4,0.5,131,52.0,1004.2,276.0,27.4,51.8,1.2,181.0,43.0,1003.5,277.0,26.6,46.6,0.6,85.0,43.0,1003.2,0 days 00:00:46.358000,7.0,Alpine,2,1
BOT,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:14.468000,SOFT,275.0,258.0,211.0,193.0,MEDIUM,10.0,0 days 00:01:16.556500,-1 days +23:59:58.107000,6.0,9.75,6.0,30.625,50.1,1.15,195.0,29.25,1012.65,30.8,48.8,1.8,204.0,28.0,1012.5,0 days 00:01:13.849000,SOFT,276.0,266.0,216.0,197.0,SOFT,7,0 days 00:01:15.314000,-1 days +23:59:58.890000,4,4.0,2.0,27.13333333333333,52.26666666666667,0.6333333333333333,199.0,49.0,1006.0,27.0,50.4,0.8,197,46.0,1005.7,0 days 00:01:13.541000,0 days 00:01:12.909000,,12.0,278.0,26.6,45.6,0.6,275,50.0,1004.0,280.0,27.6,51.8,2.2,166.0,42.0,1003.5,,,,,,,,0 days 00:00:52.525000,9.0,Alfa Romeo,2,1
GAS,0 days 00:01:15.083000,MEDIUM,278.0,263.0,206.0,197.0,HARD,13.0,0 days 00:01:17.649400,-1 days +23:59:57.494000,8.0,7.4,4.0,30.459999999999997,53.96,0.7799999999999999,153.8,30.8,1015.12,31.3,54.4,0.8,227.0,31.0,1014.7,0 days 00:01:13.636000,SOFT,279.0,263.0,210.0,197.0,MEDIUM,10.0,0 days 00:01:18.670833333,-1 days +23:59:59.952000,4.0,18.833333333333332,16.0,30.566666666666663,47.63333333333333,1.1833333333333331,169.66666666666666,29.5,1012.5,30.8,48.7,1.7,185.0,30.0,1012.7,0 days 00:01:13.210000,SOFT,278.0,265.0,213.0,199.0,SOFT,11,0 days 00:01:14.784400,-1 days +23:59:58.103000,6,6.0,2.0,27.160000000000004,51.66,0.8799999999999999,142.4,49.2,1005.9,27.0,50.9,0.8,216,47.0,1005.7,0 days 00:01:13.660000,,,17.0,283.0,26.1,46.4,0.5,131,52.0,1004.2,,,,,,,,,,,,,,,0 days 00:00:54.289000,11.0,AlphaTauri,2,1
HAM,0 days 00:01:15.499000,MEDIUM,273.0,263.0,208.0,196.0,HARD,11.0,0 days 00:01:18.332625,0 days 00:00:00.284000,3.0,12.5,9.0,31.1625,54.25,0.975,183.375,28.625,1014.575,30.6,55.1,0.8,256.0,33.0,1015.0,0 days 00:01:14.267000,SOFT,282.0,268.0,213.0,192.0,MEDIUM,12.0,0 days 00:01:17.491166666,-1 days +23:59:59.639000,6.0,14.666666666666666,11.0,30.566666666666663,47.73333333333334,1.55,163.83333333333334,29.666666666666668,1012.5,30.4,50.8,1.1,187.0,30.0,1012.7,0 days 00:01:13.375000,SOFT,279.0,269.0,215.0,195.0,SOFT,6,0 days 00:01:14.527000,0 days 00:00:00,5,7.0,7.0,27.1,51.0,1.0,183.0,49.0,1005.9,27.6,51.2,0.8,197,45.0,1005.5,0 days 00:01:13.444000,0 days 00:01:12.595000,0 days 00:01:12.560000,8.0,280.0,26.4,46.3,0.6,58,48.0,1004.0,281.0,27.4,51.8,1.2,181.0,43.0,1003.5,280.0,26.7,47.0,0.6,197.0,42.0,1003.2,0 days 00:00:50.388000,8.0,Mercedes,2,1
LAT,0 days 00:01:17.714000,SOFT,280.0,264.0,199.0,189.0,HARD,11.0,0 days 00:01:20.118500,-1 days +23:59:57.427000,5.0,9.5,6.0,30.95,54.916666666666664,0.7000000000000001,220.5,31.5,1014.8333333333334,31.4,54.3,1.2,195.0,28.0,1014.5,0 days 00:01:16.276000,SOFT,280.0,266.0,208.0,192.0,MEDIUM,10.0,0 days 00:01:17.850333333,-1 days +23:59:58.937000,7.0,6.0,4.0,30.96666666666667,51.73333333333333,1.0666666666666669,189.66666666666663,26.333333333333332,1012.9666666666668,30.3,50.7,0.5,226.0,30.0,1012.7,0 days 00:01:14.910000,SOFT,283.0,269.0,210.0,197.0,SOFT,8,0 days 00:01:15.950500,0 days 00:00:00.279000,6,4.5,2.0,27.05,50.9,1.1,91.5,49.5,1005.8,27.0,50.9,0.6,241,46.0,1005.7,0 days 00:01:14.403000,,,19.0,285.0,26.0,44.9,0.0,254,51.0,1003.9,,,,,,,,,,,,,,,,15.0,Williams,2,1
LEC,0 days 00:01:14.531000,MEDIUM,273.0,262.0,210.0,197.0,MEDIUM,8.0,0 days 00:01:16.677666666,-1 days +23:59:57.890000,5.0,5.0,3.0,30.2,54.3,1.1,195.33333333333337,31.333333333333332,1015.2000000000002,31.1,54.2,0.8,209.0,29.0,1014.5,0 days 00:01:12.656000,SOFT,280.0,266.0,216.0,201.0,HARD,8.0,0 days 00:01:15.736500,-1 days +23:59:56.361000,4.0,4.25,2.0,30.875,52.125,0.825,146.25,26.5,1012.975,30.9,49.5,2.4,181.0,29.0,1012.7,0 days 00:01:12.517000,SOFT,276.0,265.0,217.0,202.0,SOFT,6,0 days 00:01:13.827500,-1 days +23:59:59.639000,4,4.0,3.0,27.2,52.400000000000006,0.7,247.0,48.5,1006.0,27.6,51.4,1.0,191,45.0,1005.4,0 days 00:01:12.569000,0 days 00:01:11.864000,0 days 00:01:11.376000,1.0,281.0,26.4,46.3,0.6,58,48.0,1004.0,283.0,27.2,51.0,1.7,165.0,46.0,1003.5,279.0,27.2,47.5,1.1,194.0,41.0,1003.2,0 days 00:00:02.922000,4.0,Ferrari,2,1
MAG,0 days 00:01:15.806000,MEDIUM,274.0,263.0,206.0,194.0,HARD,14.0,0 days 00:01:18.839375,-1 days +23:59:58.887000,6.0,8.25,3.0,30.5,53.875,0.8,147.25,30.625,1015.125,31.3,54.4,0.8,227.0,31.0,1014.7,0 days 00:01:14.239000,SOFT,279.0,269.0,210.0,195.0,SOFT,12.0,0 days 00:01:19.690833333,0 days 00:00:02.923000,6.0,17.166666666666668,13.0,30.483333333333334,47.43333333333333,1.35,178.83333333333334,30.0,1012.5,30.4,50.8,1.1,187.0,30.0,1012.7,0 days 00:01:13.436000,SOFT,278.0,269.0,213.0,201.0,SOFT,11,0 days 00:01:14.484666666,-1 days +23:59:59.440000,8,5.666666666666667,2.0,27.166666666666668,51.53333333333333,0.9666666666666668,191.33333333333337,49.333333333333336,1005.8,27.0,50.9,0.6,241,46.0,1005.7,0 days 00:01:13.069000,0 days 00:01:12.921000,,13.0,281.0,26.5,46.7,1.1,182,45.0,1004.0,282.0,27.4,51.5,0.8,302.0,45.0,1003.5,,,,,,,,,20.0,Haas F1 Team,2,1
MSC,0 days 00:01:18.636000,HARD,275.0,263.0,197.0,187.0,,,,,,,,,,,,,,30.8,53.3,1.2,186.0,30.0,1015.0,0 days 00:01:14.894000,SOFT,279.0,268.0,207.0,195.0,MEDIUM,12.0,0 days 00:01:20.444166666,0 days 00:00:02.088000,6.0,15.166666666666666,12.0,30.516666666666666,47.65,1.3166666666666669,181.83333333333337,29.833333333333332,1012.5,30.6,50.7,1.6,187.0,30.0,1012.7,0 days 00:01:13.827000,SOFT,282.0,271.0,214.0,200.0,SOFT,7,0 days 00:01:15.167333333,-1 days +23:59:59.403000,4,4.0,2.0,27.233333333333334,52.166666666666664,1.0,134.66666666666666,48.666666666666664,1005.9666666666668,27.0,50.4,0.8,197,46.0,1005.7,0 days 00:01:13.469000,0 days 00:01:13.081000,,15.0,282.0,26.5,46.7,0.6,193,44.0,1004.0,284.0,27.4,51.5,0.8,302.0,45.0,1003.5,,,,,,,,,19.0,Haas F1 Team,2,1
NOR,0 days 00:01:15.056000,MEDIUM,275.0,262.0,208.0,194.0,HARD,10.0,0 days 00:01:17.628800,-1 days +23:59:58.166000,5.0,5.6,3.0,30.160000000000004,54.1,0.82,195.2,31.2,1015.16,31.1,55.1,0.8,202.0,30.0,1014.7,0 days 00:01:13.294000,SOFT,282.0,266.0,214.0,199.0,MEDIUM,8.0,0 days 00:01:18.328800,0 days 00:00:01.191000,3.0,13.2,11.0,30.559999999999995,47.98,0.86,185.0,29.4,1012.5,30.9,49.5,2.4,181.0,29.0,1012.7,0 days 00:01:13.226000,SOFT,280.0,269.0,212.0,198.0,SOFT,9,0 days 00:01:14.372500,-1 days +23:59:59.155000,5,5.0,2.0,27.225,51.85,0.8999999999999999,151.5,48.75,1005.95,27.1,50.3,0.6,239,47.0,1005.7,0 days 00:01:12.927000,0 days 00:01:12.266000,0 days 00:01:11.849000,5.0,282.0,25.9,44.9,0.6,297,51.0,1003.7,281.0,27.4,51.2,0.0,0.0,45.0,1003.5,280.0,26.5,45.6,0.8,0.0,42.0,1003.2,0 days 00:00:12.231000,6.0,McLaren,2,1
