Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:19.365000,HARD,312.0,300.0,272.0,194.0,HARD,15,0 days 00:01:21.208250,-1 days +23:59:58.267000,10,10.25,7.0,19.025,27.950000000000003,1.15,133.0,70.825,1012.0,20.0,29.6,0.8,133,62.4,1012.0,0 days 00:01:19.643000,SOFT,308.0,299.0,278.0,189.0,TEST_UNKNOWN,17,0 days 00:01:23.203000,-1 days +23:59:59.471000,2,9.9,5.0,21.3,36.17,2.32,307.4,52.989999999999995,1011.64,20.6,30.6,2.1,336,50.8,1011.8,0 days 00:01:17.117000,MEDIUM,317.0,304.0,276.0,198.0,SOFT,12.0,0 days 00:01:17.833250,-1 days +23:59:59.523000,8.0,7.25,3.0,19.875,29.425,1.225,222.0,44.425,1015.175,19.3,27.4,3.1,151,47.7,1015.4,0 days 00:01:17.435000,0 days 00:01:17.411000,0 days 00:01:17.437000,6.0,318.0,21.4,35.5,1.4,95,49.7,1013.5,315.0,21.2,35.5,0.8,20.0,49.7,1013.6,312.0,21.1,35.1,1.5,300.0,51.2,1013.3,,12.0,Red Bull Racing,0,0
BOT,0 days 00:01:18.410000,MEDIUM,,308.0,277.0,198.0,MEDIUM,11,0 days 00:01:22.327600,0 days 00:00:00.276000,4,16.4,13.0,20.08,32.12,1.46,106.8,62.44000000000001,1012.08,19.5,26.9,1.1,150,64.5,1012.1,0 days 00:01:17.940000,SOFT,321.0,310.0,282.0,198.0,TEST_UNKNOWN,9,0 days 00:01:22.106833333,-1 days +23:59:59.638000,3,5.5,3.0,21.350000000000005,36.31666666666666,2.4,324.6666666666667,52.8,1011.6333333333332,22.1,32.7,0.8,0,50.0,1011.8,0 days 00:01:16.654000,SOFT,318.0,305.0,277.0,202.0,SOFT,12.0,0 days 00:01:21.377000,0 days 00:00:02.629000,5.0,12.333333333333334,9.0,19.916666666666668,29.333333333333332,1.25,314.5,44.13333333333333,1015.2,19.6,28.2,2.8,148,45.4,1015.3,0 days 00:01:16.945000,0 days 00:01:16.466000,0 days 00:01:16.754000,2.0,324.0,21.5,35.5,0.9,340,48.1,1013.6,325.0,21.2,35.5,0.8,20.0,49.7,1013.6,318.0,21.3,35.0,1.4,327.0,50.6,1013.3,0 days 00:00:25.592000,2.0,Mercedes,0,0
GAS,0 days 00:01:20.124000,HARD,323.0,309.0,275.0,189.0,HARD,11,0 days 00:01:22.705571428,-1 days +23:59:56.178000,3,5.428571428571429,2.0,19.571428571428573,27.71428571428572,1.157142857142857,160.0,66.95714285714287,1012.0714285714288,19.1,29.0,1.3,147,70.4,1012.0,0 days 00:01:19.178000,MEDIUM,318.0,303.0,281.0,193.0,TEST_UNKNOWN,17,0 days 00:01:23.314300,-1 days +23:59:57.613000,4,9.8,2.0,21.24,36.15,2.51,326.5,53.07000000000001,1011.64,22.0,36.1,0.5,300,49.8,1011.7,0 days 00:01:16.930000,SOFT,322.0,304.0,275.0,195.0,SOFT,9.0,0 days 00:01:21.437800,0 days 00:00:01.252000,2.0,14.0,12.0,19.96,28.48,1.1800000000000002,146.0,44.4,1015.28,19.1,26.7,1.1,146,48.1,1015.4,0 days 00:01:17.209000,0 days 00:01:17.367000,0 days 00:01:17.803000,9.0,322.0,21.4,35.5,1.4,95,49.7,1013.5,322.0,21.2,35.2,1.2,7.0,49.8,1013.5,319.0,21.1,35.1,1.5,300.0,51.2,1013.3,,5.0,AlphaTauri,0,0
GIO,0 days 00:01:21.009000,HARD,317.0,311.0,270.0,185.0,HARD,12,0 days 00:01:22.373600,-1 days +23:59:57.254000,6,6.2,2.0,19.28,28.22,1.48,175.2,67.74,1012.1,20.1,32.0,1.3,152,62.2,1012.1,0 days 00:01:21.396000,MEDIUM,316.0,297.0,274.0,188.0,TEST_UNKNOWN,9,0 days 00:01:23.704142857,-1 days +23:59:58.829000,2,5.0,2.0,21.014285714285716,36.17142857142857,2.4,310.14285714285717,53.62857142857143,1011.6428571428572,22.0,36.1,0.5,300,49.8,1011.7,0 days 00:01:18.201000,SOFT,,304.0,275.0,192.0,SOFT,13.0,0 days 00:01:18.843000,-1 days +23:59:58.619000,7.0,6.8,2.0,19.04,26.48,1.36,114.6,48.48,1015.4,19.5,29.4,1.7,293,45.8,1015.2,0 days 00:01:18.323000,,,17.0,319.0,21.4,35.5,1.4,95,49.7,1013.5,,,,,,,,,,,,,,,,15.0,Alfa Romeo Racing,0,0
GRO,0 days 00:01:21.169000,HARD,317.0,300.0,268.0,180.0,HARD,10,0 days 00:01:22.798666666,-1 days +23:59:57.821000,5,4.0,2.0,19.233333333333334,28.7,1.8666666666666665,166.33333333333334,67.73333333333333,1012.0666666666666,19.2,27.9,1.6,110,70.1,1011.9,0 days 00:01:20.867000,SOFT,307.0,295.0,277.0,176.0,TEST_UNKNOWN,17,0 days 00:01:24.603666666,-1 days +23:59:56.162000,3,8.333333333333334,3.0,21.233333333333334,36.233333333333334,2.477777777777778,320.55555555555554,53.08888888888889,1011.6444444444446,20.7,31.3,2.8,318,53.8,1011.7,0 days 00:01:18.454000,SOFT,311.0,299.0,277.0,191.0,SOFT,7.0,0 days 00:01:18.454000,0 days 00:00:00,4.0,2.0,2.0,19.7,29.3,1.6,355.0,44.2,1015.3,19.7,29.3,1.6,355,44.2,1015.3,0 days 00:01:18.364000,,,18.0,314.0,21.4,35.7,1.4,109,48.6,1013.6,,,,,,,,,,,,,,,,17.0,Haas F1 Team,0,0
HAM,0 days 00:01:18.749000,MEDIUM,319.0,304.0,275.0,194.0,HARD,13,0 days 00:01:21.043333333,-1 days +23:59:57.436000,7,7.666666666666667,4.0,18.95,27.61666666666667,1.1666666666666663,103.83333333333331,71.35000000000001,1011.9833333333332,19.5,26.3,1.7,151,65.3,1012.1,0 days 00:01:19.308000,SOFT,314.0,303.0,279.0,189.0,TEST_UNKNOWN,12,0 days 00:01:23.229111111,-1 days +23:59:58.742000,3,6.777777777777778,2.0,21.222222222222225,36.3,2.488888888888889,310.3333333333333,53.15555555555555,1011.6333333333334,20.5,31.3,2.3,316,54.0,1011.7,0 days 00:01:16.680000,SOFT,327.0,307.0,277.0,202.0,SOFT,10.0,0 days 00:01:21.003375,0 days 00:00:00.159000,2.0,10.5,7.0,19.762500000000003,29.4625,1.575,250.5,44.287499999999994,1015.2,18.9,26.5,2.0,114,48.3,1015.3,0 days 00:01:16.828000,0 days 00:01:16.824000,0 days 00:01:16.652000,1.0,323.0,20.9,35.0,1.0,15,49.5,1013.6,321.0,21.5,35.7,0.9,88.0,49.0,1013.5,320.0,21.1,35.1,1.5,300.0,51.2,1013.3,0 days 01:29:56.828000,1.0,Mercedes,0,0
KVY,0 days 00:01:20.278000,MEDIUM,,304.0,274.0,193.0,MEDIUM,10,0 days 00:01:22.923500,0 days 00:00:01.083000,4,17.0,15.0,20.2,32.349999999999994,1.4,110.25,62.125,1012.075,19.6,26.8,1.9,151,67.1,1012.1,0 days 00:01:20.729000,SOFT,,299.0,281.0,193.0,TEST_UNKNOWN,9,0 days 00:01:23.753166666,-1 days +23:59:58.850000,2,4.5,2.0,21.066666666666663,36.166666666666664,2.316666666666667,300.0,53.53333333333334,1011.65,20.6,30.5,2.6,344,50.6,1011.8,0 days 00:01:17.720000,SOFT,316.0,298.0,278.0,194.0,MEDIUM,12.0,0 days 00:01:20.216500,0 days 00:00:00,2.0,15.25,11.0,19.737499999999997,28.3375,1.9875,177.125,45.099999999999994,1015.2875,19.7,29.6,0.8,287,45.6,1015.2,0 days 00:01:17.841000,0 days 00:01:17.728000,,13.0,320.0,21.4,35.5,1.4,95,49.7,1013.5,319.0,21.2,35.2,1.2,7.0,49.8,1013.5,,,,,,,,,19.0,AlphaTauri,0,0
LAT,0 days 00:01:22.054000,MEDIUM,319.0,301.0,269.0,186.0,MEDIUM,12,0 days 00:01:23.720000,-1 days +23:59:58.599000,4,16.0,13.0,19.942857142857143,31.457142857142856,1.4714285714285715,121.28571428571428,62.68571428571429,1012.1,19.1,28.5,2.2,2,68.2,1012.1,0 days 00:01:20.465000,SOFT,317.0,301.0,279.0,180.0,TEST_UNKNOWN,9,0 days 00:01:25.478428571,-1 days +23:59:56.431000,2,5.0,2.0,21.042857142857144,36.17142857142857,2.314285714285714,310.7142857142857,53.628571428571426,1011.6428571428572,22.0,36.0,1.6,191,49.8,1011.8,0 days 00:01:18.397000,SOFT,325.0,304.0,275.0,190.0,MEDIUM,6.0,0 days 00:01:19.464000,0 days 00:00:00,4.0,5.0,5.0,19.0,26.1,1.3,99.0,48.6,1015.5,19.3,27.4,3.1,151,47.7,1015.4,0 days 00:01:18.777000,,,20.0,320.0,21.4,35.7,1.4,109,48.6,1013.6,,,,,,,,,,,,,,,,18.0,Williams,0,0
LEC,0 days 00:01:19.309000,HARD,303.0,298.0,268.0,195.0,HARD,13,0 days 00:01:21.603166666,-1 days +23:59:56.253000,5,8.166666666666666,4.0,18.983333333333334,27.71666666666667,1.3500000000000003,90.5,71.41666666666667,1011.9666666666668,19.5,26.3,1.7,151,65.3,1012.1,0 days 00:01:18.838000,MEDIUM,309.0,294.0,276.0,189.0,TEST_UNKNOWN,9,0 days 00:01:23.998666666,-1 days +23:59:58.149000,2,5.0,2.0,21.05,36.18333333333333,2.1999999999999997,308.3333333333333,53.616666666666674,1011.65,22.0,36.0,1.6,191,49.8,1011.8,0 days 00:01:17.229000,SOFT,315.0,295.0,275.0,201.0,SOFT,7.0,0 days 00:01:17.719000,-1 days +23:59:59.382000,5.0,4.0,3.0,18.95,25.85,0.75,91.0,48.75,1015.45,19.8,28.2,1.2,119,45.3,1015.3,0 days 00:01:17.421000,0 days 00:01:17.367000,0 days 00:01:17.090000,4.0,316.0,21.6,35.5,0.9,0,47.8,1013.6,317.0,21.3,35.5,1.2,313.0,49.4,1013.5,313.0,21.1,35.1,1.5,300.0,51.2,1013.3,0 days 00:01:05.312000,4.0,Ferrari,0,0
MAG,0 days 00:01:20.846000,MEDIUM,313.0,300.0,271.0,178.0,HARD,8,0 days 00:01:22.565250,-1 days +23:59:57.772000,4,5.75,4.0,18.95,27.15,1.075,133.25,71.775,1012.0,19.0,28.8,1.3,119,68.5,1012.1,0 days 00:01:20.680000,SOFT,,291.0,275.0,183.0,TEST_UNKNOWN,9,0 days 00:01:24.458200,-1 days +23:59:58.710000,3,5.6,3.0,21.08,36.17999999999999,2.18,295.0,53.5,1011.66,20.7,31.3,2.8,318,53.8,1011.7,0 days 00:01:18.287000,SOFT,312.0,299.0,274.0,190.0,SOFT,5.0,0 days 00:01:18.583500,-1 days +23:59:59.579000,3.0,4.0,3.0,19.1,26.75,1.75,149.5,48.25,1015.3,19.9,30.0,1.2,353,44.4,1015.2,0 days 00:01:18.508000,,,19.0,314.0,21.4,35.5,1.4,95,49.7,1013.5,,,,,,,,,,,,,,,,16.0,Haas F1 Team,0,0
