Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALO,0 days 00:01:25.905000,HARD,310.0,303.0,244.0,273.0,SOFT,9.0,0 days 00:01:28.018333333,-1 days +23:59:57.384000,3.0,4.833333333333333,2.0,28.766666666666666,41.916666666666664,0.2833333333333334,216.0,44.416666666666664,1010.45,28.1,39.7,0.2,178,54.4,1010.3,0 days 00:01:24.056000,SOFT,313.0,305.0,247.0,277.0,MEDIUM,15.0,0 days 00:01:29.347100,-1 days +23:59:59.365000,3.0,13.1,7.0,25.72,29.51,0.25,239.5,54.129999999999995,1010.28,26.4,30.3,0.4,310.0,50.1,1010.1,0 days 00:01:23.186000,SOFT,323.0,314.0,250.0,273.0,,,,,,,,,,,,,,27.2,35.4,0.5,131.0,59.7,1008.9,0 days 00:01:22.422000,0 days 00:01:21.894000,0 days 00:01:21.670000,5.0,325.0,26.0,29.3,0.1,130,65.8,1009.5,326.0,25.8,28.9,0.2,144.0,67.3,1009.6,327.0,25.6,28.5,0.1,4.0,68.1,1009.8,0 days 00:00:59.457000,3.0,Alpine,0,1
BOT,0 days 00:01:24.194000,SOFT,309.0,301.0,246.0,281.0,HARD,11.0,0 days 00:01:26.278500,-1 days +23:59:57.665000,7.0,5.25,3.0,28.699999999999996,41.725,0.425,233.75,44.325,1010.425,28.4,41.5,0.2,278,46.3,1010.3,0 days 00:01:23.148000,SOFT,314.0,302.0,244.0,277.0,MEDIUM,11.0,0 days 00:01:28.060000,-1 days +23:59:59.424000,3.0,14.285714285714286,11.0,25.67142857142857,29.42857142857143,0.2714285714285714,257.0,54.68571428571427,1010.2714285714286,26.2,30.3,0.3,318.0,50.3,1010.1,0 days 00:01:22.310000,SOFT,319.0,319.0,253.0,273.0,,,,,,,,,,,,,,27.3,35.7,0.5,99.0,61.0,1008.8,0 days 00:01:22.016000,0 days 00:01:21.991000,0 days 00:01:21.478000,3.0,322.0,26.1,29.5,0.1,130,65.9,1009.5,320.0,25.9,29.0,0.1,182.0,66.9,1009.6,319.0,25.6,28.6,0.1,0.0,67.9,1009.7,,20.0,Mercedes,0,1
GAS,0 days 00:01:24.160000,SOFT,307.0,305.0,244.0,276.0,MEDIUM,10.0,0 days 00:01:26.621750,-1 days +23:59:57.558000,6.0,5.5,2.0,28.725,41.875,0.425,229.0,44.45,1010.425,28.0,39.1,0.1,359,54.3,1010.3,0 days 00:01:23.357000,SOFT,310.0,312.0,248.0,281.0,HARD,11.0,0 days 00:01:30.094750,0 days 00:00:01.274000,3.0,13.125,9.0,25.65,29.4125,0.2375,265.5,54.8,1010.275,26.2,30.3,0.3,318.0,50.3,1010.1,0 days 00:01:22.835000,SOFT,320.0,314.0,250.0,278.0,,,,,,,,,,,,,,27.3,34.7,0.5,109.0,59.9,1008.8,0 days 00:01:22.535000,0 days 00:01:21.728000,0 days 00:01:21.640000,4.0,319.0,26.1,29.5,0.1,125,65.5,1009.6,319.0,25.8,28.9,0.2,144.0,67.3,1009.6,319.0,25.6,28.6,0.1,0.0,67.9,1009.7,,11.0,AlphaTauri,0,1
GIO,0 days 00:01:25.757000,SOFT,312.0,307.0,240.0,281.0,HARD,10.0,0 days 00:01:28.603000,-1 days +23:59:56.219000,5.0,5.2,2.0,28.74,41.86,0.36,276.6,44.31999999999999,1010.46,28.3,41.0,0.5,349,46.2,1010.3,0 days 00:01:25.072000,SOFT,317.0,307.0,240.0,281.0,MEDIUM,9.0,0 days 00:01:25.727250,-1 days +23:59:58.749000,5.0,5.0,2.0,26.775,31.025,0.2749999999999999,241.75,49.15,1010.125,26.2,30.2,0.3,273.0,50.4,1010.2,0 days 00:01:24.288000,SOFT,322.0,316.0,246.0,278.0,SOFT,5.0,0 days 00:01:25.721000,0 days 00:00:01.666000,3.0,6.0,5.0,27.55,36.2,0.55,166.0,59.45,1009.05,27.3,34.7,0.5,109.0,59.9,1008.8,0 days 00:01:23.262000,,,18.0,326.0,26.1,29.5,0.1,125,65.5,1009.6,,,,,,,,,,,,,,,,15.0,Alfa Romeo Racing,0,1
HAM,0 days 00:01:24.509000,SOFT,313.0,305.0,240.0,276.0,HARD,10.0,0 days 00:01:27.122333333,-1 days +23:59:55.787000,7.0,4.333333333333333,2.0,28.700000000000003,41.63333333333333,0.3666666666666667,244.33333333333337,44.6,1010.4333333333334,28.5,42.0,0.5,325,45.5,1010.4,0 days 00:01:23.570000,SOFT,312.0,303.0,244.0,276.0,SOFT,9.0,0 days 00:01:29.824571428,-1 days +23:59:59.844000,2.0,12.0,9.0,25.628571428571423,29.42857142857143,0.2,257.2857142857143,54.91428571428572,1010.2857142857144,26.4,30.3,0.4,303.0,50.1,1010.1,0 days 00:01:22.388000,SOFT,316.0,312.0,250.0,274.0,,,,,,,,,,,,,,27.3,35.6,0.3,147.0,60.3,1009.0,0 days 00:01:21.901000,0 days 00:01:21.682000,0 days 00:01:20.827000,1.0,320.0,26.0,29.3,0.1,130,65.8,1009.5,320.0,25.9,29.0,0.1,182.0,66.9,1009.6,317.0,25.6,28.5,0.2,173.0,68.1,1010.0,0 days 01:24:28.471000,1.0,Mercedes,0,1
LAT,0 days 00:01:25.688000,SOFT,312.0,308.0,241.0,275.0,MEDIUM,8.0,0 days 00:01:31.854333333,-1 days +23:59:58.795000,2.0,12.5,10.0,28.049999999999997,38.9,0.1333333333333333,191.66666666666663,54.51666666666666,1010.3,28.5,42.0,0.5,325,45.5,1010.4,0 days 00:01:25.209000,SOFT,308.0,301.0,241.0,281.0,HARD,14.0,0 days 00:01:30.526416666,-1 days +23:59:58.894000,2.0,13.5,8.0,25.700000000000003,29.491666666666664,0.25,273.8333333333333,54.28333333333333,1010.2749999999996,26.5,30.5,0.5,329.0,49.8,1010.1,0 days 00:01:24.499000,MEDIUM,325.0,313.0,240.0,272.0,,,,,,,,,,,,,,27.6,36.3,0.5,111.0,59.4,1008.9,0 days 00:01:23.213000,,,17.0,328.0,26.1,29.5,0.3,144,65.5,1009.7,,,,,,,,,,,,,,,,19.0,Williams,0,1
LEC,0 days 00:01:24.790000,SOFT,313.0,311.0,242.0,276.0,MEDIUM,8.0,0 days 00:01:25.839333333,-1 days +23:59:59.617000,5.0,8.0,6.0,28.73333333333333,41.7,0.2666666666666666,200.33333333333337,44.833333333333336,1010.4666666666668,28.1,38.9,0.2,290,53.9,1010.4,0 days 00:01:24.095000,SOFT,308.0,299.0,244.0,279.0,HARD,7.0,0 days 00:01:25.348000,-1 days +23:59:59.064000,4.0,4.0,2.0,26.766666666666666,31.066666666666663,0.3333333333333333,309.0,49.166666666666664,1010.1333333333332,26.4,30.3,0.3,270.0,50.3,1010.1,0 days 00:01:23.276000,SOFT,319.0,309.0,247.0,276.0,SOFT,5.0,0 days 00:01:23.568000,0 days 00:00:00,4.0,4.0,4.0,27.2,35.7,0.4,122.0,60.7,1009.0,27.5,36.6,0.5,98.0,59.1,1009.0,0 days 00:01:22.742000,0 days 00:01:22.463000,,13.0,324.0,26.1,29.5,0.1,125,65.5,1009.6,321.0,25.8,28.9,0.2,119.0,67.4,1009.6,,,,,,,,0 days 00:01:23.126000,8.0,Ferrari,0,1
MAZ,0 days 00:01:27.500000,SOFT,309.0,303.0,240.0,275.0,MEDIUM,9.0,0 days 00:01:30.373000,-1 days +23:59:56.515000,6.0,6.0,4.0,28.666666666666668,41.5,0.3333333333333333,200.0,44.6,1010.4333333333334,28.1,41.1,0.2,166,46.0,1010.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:25.859000,,,20.0,333.0,26.0,29.3,0.1,130,65.8,1009.5,,,,,,,,,,,,,,,,18.0,Haas F1 Team,0,1
MSC,0 days 00:01:26.699000,SOFT,311.0,305.0,244.0,281.0,HARD,8.0,0 days 00:01:31.794000,-1 days +23:59:57.513000,2.0,11.5,9.0,27.96666666666667,39.3,0.1833333333333333,145.16666666666666,54.65,1010.2666666666668,28.3,41.5,0.2,342,46.2,1010.3,0 days 00:01:25.575000,SOFT,317.0,306.0,240.0,281.0,SOFT,9.0,0 days 00:01:30.197714285,-1 days +23:59:59.834000,2.0,12.0,9.0,25.6,29.40000000000001,0.2,242.1428571428571,54.98571428571428,1010.3142857142856,26.3,30.3,0.3,0.0,50.2,1010.1,0 days 00:01:24.680000,SOFT,318.0,329.0,246.0,275.0,SOFT,8.0,0 days 00:01:25.838000,-1 days +23:59:59.175000,5.0,4.666666666666667,2.0,27.633333333333336,36.6,0.4666666666666666,158.0,58.9,1009.1,27.2,35.7,0.4,122.0,60.7,1009.0,0 days 00:01:23.407000,,,19.0,323.0,26.1,29.5,0.1,125,65.5,1009.6,,,,,,,,,,,,,,,,16.0,Haas F1 Team,0,1
NOR,0 days 00:01:25.215000,MEDIUM,315.0,313.0,242.0,280.0,,,,,,,,,,,,,,28.7,41.5,0.1,213,44.8,1010.5,0 days 00:01:23.632000,SOFT,312.0,304.0,245.0,280.0,SOFT,7.0,0 days 00:01:29.596750,0 days 00:00:00.460000,2.0,10.5,9.0,25.674999999999997,29.475,0.1999999999999999,308.75,54.675,1010.275,26.4,30.3,0.3,270.0,50.3,1010.1,0 days 00:01:23.895000,SOFT,318.0,309.0,246.0,273.0,,,,,,,,,,,,,,27.2,35.5,0.3,112.0,60.8,1009.0,0 days 00:01:22.839000,0 days 00:01:22.216000,0 days 00:01:21.731000,6.0,322.0,26.1,29.5,0.1,151,66.3,1009.5,323.0,25.8,28.9,0.2,119.0,67.4,1009.6,324.0,25.6,28.5,0.1,145.0,68.2,1009.9,,9.0,McLaren,0,1
