Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALO,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:36.074000,HYPERSOFT,316.0,169.0,269.0,316.0,SOFT,10.0,0 days 00:01:41.123375,-1 days +23:59:59.468000,2.0,17.5,14.0,21.8625,27.262499999999996,1.025,92.125,59.1875,1018.975,21.7,27.7,0.7,155.0,59.9,1019.3,0 days 00:01:36.992000,HYPERSOFT,310.0,158.0,267.0,311.0,ULTRASOFT,10.0,0 days 00:01:41.724625,0 days 00:00:00.984000,2.0,6.5,3.0,23.775,35.7625,1.4,147.125,59.7625,1016.35,23.3,32.9,0.8,126.0,61.5,1016.5,0 days 00:01:35.504000,,,17.0,313.0,23.7,37.8,1.6,150.0,60.2,1015.8,,,,,,,,,,,,,,,,14.0,McLaren,0.0,0.0
BOT,0 days 00:01:34.999000,SOFT,321.0,172.0,273.0,316.0,ULTRASOFT,10.0,0 days 00:01:36.893000,-1 days +23:59:57.138000,7.0,4.666666666666667,2.0,21.799999999999997,26.433333333333337,1.1333333333333333,216.33333333333337,63.43333333333334,1021.5666666666666,22.4,31.5,1.7,216.0,58.4,1021.4,0 days 00:01:33.584000,HYPERSOFT,320.0,158.0,274.0,319.0,ULTRASOFT,15.0,0 days 00:01:40.304181818,-1 days +23:59:57.965000,4.0,13.545454545454543,7.0,21.863636363636363,27.345454545454547,1.0818181818181818,88.81818181818181,59.29090909090908,1019.0,21.4,28.1,1.6,148.0,60.6,1019.4,0 days 00:01:33.321000,HYPERSOFT,318.0,166.0,274.0,319.0,HYPERSOFT,8.0,0 days 00:01:33.875000,-1 days +23:59:59.868000,6.0,3.0,2.0,23.05,32.3,1.2000000000000002,158.5,62.7,1016.6,23.9,35.6,1.8,174.0,59.5,1016.4,0 days 00:01:32.964000,0 days 00:01:32.744000,0 days 00:01:31.387000,1.0,323.0,23.6,36.9,1.3,103.0,60.3,1015.8,322.0,23.6,36.7,1.5,171.0,60.8,1015.6,323.0,23.4,34.9,1.5,131.0,61.7,1015.3,0 days 00:00:02.545000,2.0,Mercedes,0.0,0.0
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:35.295000,HYPERSOFT,314.0,169.0,266.0,318.0,HYPERSOFT,14.0,0 days 00:01:41.527083333,0 days 00:00:01.513000,2.0,14.5,9.0,21.84166666666667,27.424999999999997,1.0666666666666669,96.66666666666669,59.35833333333334,1019.05,21.6,28.0,0.8,180.0,59.9,1019.3,0 days 00:01:35.370000,HYPERSOFT,320.0,164.0,269.0,320.0,HYPERSOFT,7.0,0 days 00:01:36.280000,0 days 00:00:00.625000,4.0,5.0,3.0,23.433333333333337,33.36666666666667,1.4333333333333331,164.33333333333334,61.333333333333336,1016.5,24.1,36.2,1.3,191.0,58.3,1016.4,0 days 00:01:34.170000,0 days 00:01:33.995000,0 days 00:01:35.196000,10.0,319.0,23.5,36.8,1.9,134.0,60.5,1015.8,316.0,23.2,36.1,2.0,153.0,61.4,1015.5,324.0,23.4,34.9,1.5,131.0,61.7,1015.3,,13.0,Sauber,0.0,0.0
GAS,0 days 00:01:36.944000,ULTRASOFT,318.0,167.0,269.0,319.0,ULTRASOFT,8.0,0 days 00:01:39.763750,-1 days +23:59:56.224000,4.0,4.0,2.0,21.825000000000003,26.275,1.5,235.75,62.775000000000006,1021.6,21.8,29.2,2.1,257.0,62.9,1021.5,0 days 00:01:35.137000,HYPERSOFT,318.0,166.0,272.0,321.0,ULTRASOFT,16.0,0 days 00:01:41.742200,0 days 00:00:04.621000,1.0,11.0,4.0,21.83333333333333,27.406666666666663,1.0333333333333334,105.06666666666666,59.36666666666666,1019.04,21.7,27.9,1.6,148.0,59.7,1019.3,0 days 00:01:35.125000,HYPERSOFT,315.0,172.0,267.0,319.0,HYPERSOFT,9.0,0 days 00:01:38.074142857,-1 days +23:59:59.613000,2.0,10.0,7.0,23.771428571428572,34.45714285714286,1.7,173.85714285714286,59.971428571428575,1016.4857142857144,24.0,36.2,0.6,163.0,58.8,1016.3,0 days 00:01:34.383000,,,13.0,320.0,23.6,38.0,2.3,168.0,60.1,1015.8,,,,,,,,,,,,,,,,19.0,Toro Rosso,0.0,0.0
GIO,0 days 00:01:36.712000,HYPERSOFT,311.0,170.0,264.0,310.0,ULTRASOFT,10.0,0 days 00:01:40.527666666,0 days 00:00:00.213000,4.0,6.0,3.0,21.816666666666663,26.53333333333333,1.55,234.0,63.5,1021.5499999999998,22.4,31.5,1.8,193.0,56.4,1021.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRO,0 days 00:01:36.816000,HYPERSOFT,303.0,167.0,258.0,303.0,HYPERSOFT,9.0,0 days 00:01:42.259000,0 days 00:00:00.974000,2.0,12.0,9.0,22.2,31.7,1.4142857142857144,196.57142857142856,57.18571428571429,1021.2571428571428,21.8,29.0,1.2,186.0,62.6,1021.5,0 days 00:01:35.911000,HYPERSOFT,306.0,165.0,263.0,311.0,HYPERSOFT,14.0,0 days 00:01:43.047916666,0 days 00:00:00.787000,2.0,12.5,7.0,21.725000000000005,27.46666666666667,1.0333333333333334,109.5,59.666666666666664,1019.075,21.6,28.0,0.8,180.0,59.9,1019.3,0 days 00:01:35.185000,HYPERSOFT,316.0,170.0,270.0,315.0,ULTRASOFT,8.0,0 days 00:01:37.745333333,-1 days +23:59:57.824000,5.0,5.666666666666667,3.0,23.6,33.6,1.5,175.0,60.63333333333333,1016.4666666666668,24.1,36.2,1.3,191.0,58.3,1016.4,0 days 00:01:34.022000,0 days 00:01:33.517000,0 days 00:01:33.704000,9.0,321.0,24.4,37.7,0.7,75.0,57.9,1015.8,318.0,23.7,36.5,1.7,164.0,59.8,1015.6,322.0,23.4,34.9,1.5,131.0,61.7,1015.3,,11.0,Haas F1 Team,0.0,0.0
HAM,0 days 00:01:34.818000,SOFT,322.0,169.0,273.0,317.0,ULTRASOFT,9.0,0 days 00:01:36.266000,-1 days +23:59:58.088000,6.0,5.0,3.0,21.733333333333334,26.5,1.2333333333333332,216.33333333333337,64.13333333333334,1021.6,22.1,31.5,1.7,212.0,59.2,1021.3,0 days 00:01:33.385000,HYPERSOFT,322.0,166.0,271.0,321.0,ULTRASOFT,14.0,0 days 00:01:40.367666666,0 days 00:00:01.318000,2.0,14.5,9.0,21.783333333333335,27.450000000000003,1.0166666666666668,146.75,59.475,1019.0499999999998,21.7,27.8,0.9,91.0,59.8,1019.3,0 days 00:01:33.067000,HYPERSOFT,319.0,170.0,274.0,318.0,HYPERSOFT,7.0,0 days 00:01:33.693000,-1 days +23:59:59.577000,4.0,4.0,2.0,23.566666666666663,33.6,1.4666666666666666,153.33333333333334,60.6,1016.5,23.5,35.1,1.2,84.0,60.7,1016.4,0 days 00:01:32.410000,0 days 00:01:32.595000,0 days 00:01:31.532000,2.0,320.0,24.1,36.9,1.3,89.0,58.6,1015.7,325.0,23.7,36.5,1.5,193.0,60.3,1015.6,327.0,22.8,35.7,2.1,161.0,63.7,1015.4,0 days 01:27:25.181000,1.0,Mercedes,0.0,0.0
HAR,0 days 00:01:37.944000,ULTRASOFT,316.0,164.0,263.0,314.0,ULTRASOFT,10.0,0 days 00:01:39.697200,-1 days +23:59:59.054000,5.0,6.0,2.0,21.76,26.76,1.36,227.8,64.06,1021.56,21.6,29.7,2.2,258.0,63.9,1021.4,0 days 00:01:36.024000,HYPERSOFT,316.0,168.0,266.0,320.0,SOFT,16.0,0 days 00:01:41.302933333,0 days 00:00:03.756000,1.0,10.0,3.0,21.820000000000004,27.333333333333332,1.0333333333333334,80.4,59.379999999999995,1019.0,21.7,27.9,1.6,148.0,59.7,1019.3,0 days 00:01:36.033000,HYPERSOFT,316.0,167.0,265.0,315.0,HYPERSOFT,14.0,0 days 00:01:38.829300,0 days 00:00:01.869000,4.0,8.2,2.0,23.479999999999997,33.56999999999999,1.3299999999999998,160.2,61.029999999999994,1016.51,23.8,36.2,1.4,172.0,59.6,1016.3,0 days 00:01:35.037000,,,16.0,317.0,23.6,38.0,2.3,168.0,60.1,1015.8,,,,,,,,,,,,,,,,20.0,Toro Rosso,0.0,0.0
HUL,0 days 00:01:36.274000,HYPERSOFT,317.0,166.0,267.0,312.0,HYPERSOFT,7.0,0 days 00:01:37.761333333,-1 days +23:59:58.533000,4.0,6.0,4.0,21.899999999999995,26.6,1.4333333333333336,233.66666666666663,63.166666666666664,1021.6,21.6,29.7,2.2,258.0,63.9,1021.4,0 days 00:01:35.568000,HYPERSOFT,315.0,165.0,268.0,317.0,SOFT,17.0,0 days 00:01:40.581642857,-1 days +23:59:57.708000,3.0,15.142857142857142,8.0,21.828571428571433,27.314285714285713,0.9785714285714284,109.28571428571428,59.36428571428571,1018.992857142857,21.4,28.1,1.6,148.0,60.6,1019.4,0 days 00:01:35.213000,HYPERSOFT,318.0,170.0,268.0,317.0,HYPERSOFT,6.0,0 days 00:01:35.480000,-1 days +23:59:59.842000,4.0,4.0,3.0,23.75,34.55,1.85,169.0,60.1,1016.5,24.1,36.2,1.3,191.0,58.3,1016.4,0 days 00:01:34.655000,,,15.0,316.0,23.6,36.9,2.0,83.0,60.2,1015.8,,,,,,,,,,,,,,,,12.0,Renault,0.0,0.0
LAT,0 days 00:01:37.206000,HYPERSOFT,320.0,168.0,265.0,313.0,ULTRASOFT,9.0,0 days 00:01:39.765000,-1 days +23:59:57.287000,4.0,6.0,3.0,21.82,27.020000000000003,1.4,235.4,63.96,1021.56,21.9,31.5,2.0,239.0,59.0,1021.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
