Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:29.606000,SOFT,326.0,303.0,293.0,322.0,MEDIUM,8,0 days 00:01:31.860250,0 days 00:00:02.841000,4,6.0,3.0,28.0,47.89999999999999,2.3,293.75,71.25,1006.6,28.1,45.9,1.7,322,68.0,1006.6,0 days 00:01:29.220000,SOFT,330.0,307.0,297.0,327.0,HARD,8.0,0 days 00:01:30.387333333,-1 days +23:59:58.475000,5.0,4.666666666666667,2.0,28.666666666666668,37.7,0.7333333333333334,265.3333333333333,55.666666666666664,1006.9333333333334,29.1,37.2,1.8,151.0,41.0,1007.1,0 days 00:01:28.389000,SOFT,336.0,300.0,296.0,328.0,,,,,,,,,,,,,,29.4,46.9,1.3,263,58.0,1005.6,0 days 00:01:28.279000,0 days 00:01:28.109000,,11.0,332.0,28.9,36.8,0.8,324,66.0,1006.2,329.0,29.5,36.7,0.9,317.0,61.0,1006.4,,,,,,,,0 days 00:01:06.515000,9.0,Williams,1,0
ALO,0 days 00:01:29.976000,SOFT,322.0,296.0,288.0,319.0,MEDIUM,10,0 days 00:01:31.677000,-1 days +23:59:57.212000,6,5.25,2.0,27.95,48.625,1.95,296.5,72.0,1006.65,28.0,45.8,2.2,282,69.0,1006.7,0 days 00:01:29.662000,SOFT,319.0,304.0,290.0,319.0,MEDIUM,7.0,0 days 00:01:30.793000,-1 days +23:59:59.538000,5.0,3.5,2.0,28.700000000000003,37.55,0.8500000000000001,289.0,55.5,1006.9,30.3,36.6,1.4,137.0,39.0,1007.0,0 days 00:01:28.888000,SOFT,329.0,298.0,291.0,321.0,,,,,,,,,,,,,,29.3,46.3,2.0,296,61.0,1005.7,0 days 00:01:28.548000,0 days 00:01:28.303000,,13.0,332.0,29.0,36.4,2.5,279,66.0,1006.2,330.0,29.0,36.9,1.0,164.0,60.0,1006.4,,,,,,,,0 days 00:01:15.917000,11.0,Aston Martin,1,0
ANT,0 days 00:01:29.934000,SOFT,325.0,296.0,290.0,325.0,MEDIUM,9,0 days 00:01:34.986333333,0 days 00:00:00.246000,3,13.5,11.0,28.216666666666665,44.03333333333333,1.5333333333333332,247.16666666666663,68.5,1006.6833333333332,28.1,46.7,0.9,323,65.0,1006.7,0 days 00:01:29.242000,SOFT,329.0,305.0,292.0,323.0,MEDIUM,10.0,0 days 00:01:30.199250,-1 days +23:59:58.312000,6.0,5.75,2.0,28.75,37.8,0.825,155.0,52.75,1006.9,29.1,37.2,1.8,151.0,41.0,1007.1,0 days 00:01:28.679000,SOFT,332.0,303.0,293.0,326.0,,,,,,,,,,,,,,29.4,46.9,1.3,263,58.0,1005.6,0 days 00:01:28.128000,0 days 00:01:27.798000,0 days 00:01:27.866000,5.0,332.0,28.9,37.3,0.4,149,64.0,1006.1,333.0,29.1,36.7,1.0,268.0,61.0,1006.2,331.0,31.0,36.7,0.7,87.0,45.0,1006.6,0 days 00:00:34.688000,6.0,Mercedes,1,0
BEA,0 days 00:01:30.595000,SOFT,327.0,293.0,289.0,324.0,SOFT,7,0 days 00:01:35.713750,0 days 00:00:01.293000,3,11.5,10.0,28.15,43.875,1.5,319.25,68.25,1006.75,28.0,45.8,2.2,282,69.0,1006.7,0 days 00:01:29.754000,SOFT,329.0,306.0,290.0,326.0,MEDIUM,5.0,0 days 00:01:30.916000,-1 days +23:59:59.722000,3.0,3.0,2.0,28.65,38.2,0.7,264.5,57.5,1006.85,29.0,37.2,0.6,126.0,43.0,1007.2,0 days 00:01:28.989000,SOFT,330.0,303.0,291.0,326.0,,,,,,,,,,,,,,29.3,45.7,1.0,298,62.0,1005.6,0 days 00:01:28.536000,0 days 00:01:28.648000,,15.0,333.0,28.9,37.3,0.5,228,63.0,1006.3,331.0,29.7,37.9,0.0,345.0,55.0,1006.3,,,,,,,,0 days 00:01:19.194000,13.0,Haas F1 Team,1,0
BOR,0 days 00:01:31.038000,SOFT,334.0,307.0,290.0,331.0,MEDIUM,9,0 days 00:01:35.983500,0 days 00:00:01.420000,3,12.5,10.0,28.233333333333334,44.03333333333333,1.5666666666666669,234.5,68.33333333333333,1006.6833333333332,28.1,45.9,1.7,322,68.0,1006.6,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:29.410000,SOFT,338.0,309.0,291.0,332.0,MEDIUM,9.0,0 days 00:01:31.316750,-1 days +23:59:58.881000,5.0,5.0,2.0,29.05,50.625,2.5,267.5,63.75,1005.7,29.4,45.2,2.1,278,59.0,1005.6,0 days 00:01:29.462000,,,20.0,336.0,29.3,37.9,0.9,270,59.0,1006.1,,,,,,,,,,,,,,,0 days 00:00:19.306000,18.0,Kick Sauber,1,0
DOO,0 days 00:01:30.183000,SOFT,331.0,305.0,291.0,326.0,MEDIUM,7,0 days 00:01:35.344250,0 days 00:00:00.023000,3,15.5,14.0,28.200000000000003,44.0,1.475,273.5,68.75,1006.725,28.0,46.0,2.2,260,65.0,1006.7,0 days 00:01:29.912000,SOFT,331.0,310.0,292.0,326.0,MEDIUM,5.0,0 days 00:01:30.513500,-1 days +23:59:59.307000,3.0,3.0,2.0,28.65,37.6,0.8500000000000001,276.5,56.5,1006.95,29.9,36.8,1.7,140.0,39.0,1007.0,0 days 00:01:28.898000,SOFT,335.0,305.0,294.0,328.0,,,,,,,,,,,,,,29.4,45.2,1.6,257,59.0,1005.6,0 days 00:01:28.739000,,,17.0,336.0,28.9,37.3,0.4,149,64.0,1006.1,,,,,,,,,,,,,,,0 days 00:00:19.264000,17.0,Alpine,1,0
GAS,0 days 00:01:29.239000,SOFT,332.0,305.0,288.0,325.0,MEDIUM,9,0 days 00:01:35.050166666,0 days 00:00:00.721000,3,15.5,13.0,28.200000000000003,44.0,1.4,291.8333333333333,68.33333333333333,1006.7166666666668,28.0,46.0,2.2,260,65.0,1006.7,0 days 00:01:29.106000,SOFT,332.0,309.0,293.0,325.0,MEDIUM,8.0,0 days 00:01:30.053500,-1 days +23:59:59.515000,6.0,4.0,2.0,28.65,37.55,0.8,286.0,56.0,1006.9,29.5,37.2,1.3,148.0,40.0,1007.1,0 days 00:01:28.625000,SOFT,334.0,300.0,294.0,329.0,,,,,,,,,,,,,,29.2,46.2,0.9,31,63.0,1005.7,0 days 00:01:28.421000,0 days 00:01:28.025000,0 days 00:01:28.367000,9.0,334.0,28.9,37.3,0.5,228,63.0,1006.3,336.0,29.1,37.0,0.8,282.0,60.0,1006.4,334.0,31.0,36.9,0.0,60.0,45.0,1006.5,,20.0,Alpine,1,0
HAD,0 days 00:01:30.011000,SOFT,332.0,306.0,293.0,327.0,MEDIUM,5,0 days 00:01:32.538500,-1 days +23:59:57.937000,3,3.0,2.0,27.95,49.05,2.1,303.5,71.5,1006.65,28.2,43.9,1.8,296,68.0,1006.7,0 days 00:01:29.306000,SOFT,329.0,309.0,293.0,323.0,,,,,,,,,,,,,,30.0,36.8,1.7,150.0,39.0,1007.0,0 days 00:01:28.769000,SOFT,333.0,299.0,294.0,328.0,,,,,,,,,,,,,,29.2,46.2,0.9,31,63.0,1005.7,0 days 00:01:28.571000,0 days 00:01:28.418000,,14.0,329.0,28.9,37.3,0.4,149,64.0,1006.1,329.0,29.1,37.0,0.8,282.0,60.0,1006.4,,,,,,,,0 days 00:01:07.091000,10.0,Racing Bulls,1,0
HAM,0 days 00:01:29.815000,SOFT,329.0,300.0,288.0,325.0,MEDIUM,10,0 days 00:01:32.312200,-1 days +23:59:57.138000,5,5.2,2.0,27.98,48.66,1.8,297.8,71.8,1006.66,28.0,45.7,1.8,252,67.0,1006.6,0 days 00:01:29.371000,SOFT,330.0,307.0,295.0,322.0,MEDIUM,9.0,0 days 00:01:30.307333333,-1 days +23:59:58.267000,6.0,5.0,2.0,28.733333333333334,37.86666666666667,0.6000000000000001,90.33333333333331,52.0,1006.9666666666668,29.4,37.3,2.0,148.0,40.0,1007.1,0 days 00:01:28.780000,SOFT,333.0,305.0,294.0,329.0,,,,,,,,,,,,,,29.3,45.7,1.0,298,62.0,1005.6,0 days 00:01:28.372000,0 days 00:01:28.102000,0 days 00:01:28.201000,7.0,333.0,29.0,37.2,0.8,263,62.0,1006.2,335.0,29.1,37.0,0.8,282.0,60.0,1006.4,332.0,31.0,36.9,0.0,60.0,45.0,1006.5,0 days 00:00:39.073000,7.0,Ferrari,1,0
HUL,0 days 00:01:29.916000,SOFT,340.0,307.0,291.0,334.0,SOFT,6,0 days 00:01:36.111600,0 days 00:00:03.957000,1,10.0,8.0,28.3,44.279999999999994,1.4600000000000002,247.0,67.6,1006.66,28.0,46.8,1.0,267,66.0,1006.6,0 days 00:01:29.193000,SOFT,335.0,311.0,294.0,330.0,MEDIUM,7.0,0 days 00:01:31.082000,-1 days +23:59:59.068000,5.0,3.0,2.0,28.65,37.45,0.8,272.5,56.0,1006.95,29.0,37.2,0.8,99.0,42.0,1007.1,0 days 00:01:29.220000,SOFT,336.0,306.0,295.0,332.0,,,,,,,,,,,,,,29.4,46.1,1.6,261,59.0,1005.6,0 days 00:01:28.782000,,,18.0,338.0,29.0,36.5,1.0,281,67.0,1006.2,,,,,,,,,,,,,,,0 days 00:00:04.609000,15.0,Kick Sauber,1,0
