Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:15.417000,SOFT,311.0,279.0,282.0,293.0,MEDIUM,9.0,0 days 00:01:21.095000,-1 days +23:59:59.455000,2.0,13.0,10.0,28.314285714285717,47.44285714285714,1.5571428571428572,138.28571428571428,35.57142857142857,1004.3,28.2,47.4,3.4,234.0,33.0,1004.4,0 days 00:01:14.807000,SOFT,316.0,278.0,286.0,297.0,SOFT,16.0,0 days 00:01:21.856076923,0 days 00:00:01.109000,3.0,14.0,8.0,25.161538461538463,42.23846153846154,1.8615384615384616,141.3846153846154,46.07692307692308,1004.3615384615382,24.6,42.9,2.1,229.0,51.0,1004.6,0 days 00:01:13.753000,SOFT,321.0,286.0,290.0,303.0,,,,,,,,,,,,,,26.7,44.4,1.6,282.0,61.0,1004.4,0 days 00:01:13.153000,,,19.0,321.0,24.3,37.3,1.4,35.0,67.0,1003.8,,,,,,,,,,,,,,,0 days 00:00:58.149000,18.0,Williams,0.0,0.0
ALO,0 days 00:01:15.222000,SOFT,314.0,279.0,281.0,298.0,HARD,8.0,0 days 00:01:17.029666666,-1 days +23:59:59.261000,5.0,8.0,6.0,28.2,47.46666666666667,2.8666666666666667,246.66666666666663,32.333333333333336,1004.4666666666668,28.5,46.9,2.7,231.0,33.0,1004.3,0 days 00:01:14.091000,SOFT,321.0,283.0,285.0,301.0,MEDIUM,12.0,0 days 00:01:21.749200,0 days 00:00:00.840000,2.0,13.5,9.0,25.07,42.32,1.95,137.8,45.7,1004.36,24.9,43.8,1.5,265.0,49.0,1004.6,0 days 00:01:13.786000,SOFT,326.0,287.0,288.0,301.0,MEDIUM,9.0,0 days 00:01:16.081333333,0 days 00:00:03.274000,6.0,5.0,2.0,26.6,43.7,1.7,207.66666666666663,58.0,1004.5666666666666,26.3,44.7,2.0,241.0,61.0,1004.4,0 days 00:01:12.505000,0 days 00:01:12.128000,,11.0,325.0,24.1,36.7,2.1,221.0,68.0,1003.8,325.0,23.9,35.6,1.7,255.0,69.0,1003.7,,,,,,,,0 days 00:00:09.497000,12.0,Aston Martin,0.0,0.0
BEA,0 days 00:01:15.865000,SOFT,315.0,280.0,286.0,301.0,MEDIUM,9.0,0 days 00:01:22.570666666,0 days 00:00:01.016000,3.0,17.5,15.0,28.21666666666667,47.81666666666666,1.65,163.33333333333334,36.833333333333336,1004.2166666666666,28.3,47.6,3.5,241.0,32.0,1004.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOT,0 days 00:01:15.472000,SOFT,293.0,280.0,288.0,290.0,HARD,9.0,0 days 00:01:17.498500,-1 days +23:59:59.381000,5.0,7.0,4.0,28.25,47.224999999999994,1.425,239.5,32.5,1004.475,28.5,46.9,2.7,231.0,33.0,1004.3,0 days 00:01:13.924000,SOFT,323.0,280.0,287.0,303.0,MEDIUM,16.0,0 days 00:01:21.422083333,0 days 00:00:02.338000,4.0,14.916666666666666,9.0,25.133333333333336,42.325,1.7083333333333337,132.25,46.416666666666664,1004.3833333333332,24.6,43.0,1.2,304.0,52.0,1004.6,0 days 00:01:14.024000,SOFT,325.0,286.0,289.0,306.0,MEDIUM,9.0,0 days 00:01:17.731166666,0 days 00:00:02.987000,3.0,8.333333333333334,5.0,26.583333333333332,44.01666666666667,1.6833333333333336,141.0,58.5,1004.4833333333332,26.3,44.4,2.7,272.0,61.0,1004.5,0 days 00:01:12.758000,0 days 00:01:12.227000,,12.0,322.0,24.1,36.9,1.7,268.0,68.0,1003.8,324.0,24.0,35.8,1.8,269.0,68.0,1003.7,,,,,,,,0 days 00:00:53.313000,16.0,Kick Sauber,0.0,0.0
GAS,0 days 00:01:15.484000,MEDIUM,315.0,283.0,282.0,302.0,HARD,7.0,0 days 00:01:17.165000,-1 days +23:59:59.776000,4.0,8.0,6.0,28.26666666666667,47.29999999999999,2.6,236.0,32.0,1004.4666666666668,28.4,47.5,2.7,238.0,32.0,1004.4,0 days 00:01:13.443000,SOFT,318.0,290.0,286.0,304.0,MEDIUM,12.0,0 days 00:01:21.133333333,0 days 00:00:01.354000,3.0,15.0,11.0,25.200000000000003,42.1888888888889,1.9555555555555555,152.22222222222223,45.77777777777778,1004.3666666666666,24.8,42.6,1.7,316.0,49.0,1004.6,0 days 00:01:13.964000,SOFT,322.0,286.0,290.0,307.0,,,,,,,,,,,,,,26.3,44.4,2.7,272.0,61.0,1004.5,0 days 00:01:12.651000,0 days 00:01:12.079000,0 days 00:01:11.857000,7.0,322.0,24.1,36.7,2.1,221.0,68.0,1003.8,322.0,23.9,35.6,1.7,255.0,69.0,1003.7,324.0,24.0,36.0,1.2,0.0,69.0,1003.5,0 days 00:01:02.025000,9.0,Alpine,0.0,0.0
HAM,0 days 00:01:14.911000,MEDIUM,320.0,284.0,289.0,309.0,MEDIUM,13.0,0 days 00:01:20.654875,0 days 00:00:00.620000,5.0,11.125,7.0,28.299999999999997,47.5125,1.65,167.875,35.375,1004.2875,28.3,47.2,2.7,225.0,32.0,1004.5,0 days 00:01:13.264000,SOFT,319.0,283.0,286.0,304.0,SOFT,14.0,0 days 00:01:20.210400,-1 days +23:59:59.825000,4.0,13.0,8.0,25.16,42.29,1.89,140.3,45.9,1004.37,24.8,43.1,1.1,229.0,50.0,1004.6,0 days 00:01:13.359000,SOFT,322.0,290.0,291.0,306.0,SOFT,9.0,0 days 00:01:18.645142857,0 days 00:00:00.462000,2.0,13.0,10.0,26.585714285714285,44.1857142857143,1.7714285714285716,194.57142857142856,58.42857142857143,1004.5,26.3,45.1,2.0,224.0,60.0,1004.5,0 days 00:01:12.143000,0 days 00:01:11.792000,0 days 00:01:11.701000,3.0,323.0,24.1,36.7,1.0,263.0,68.0,1003.8,322.0,24.0,35.8,1.8,269.0,68.0,1003.7,327.0,24.0,35.9,0.9,120.0,69.0,1003.5,0 days 00:00:17.790000,3.0,Mercedes,0.0,0.0
HUL,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:14.053000,SOFT,324.0,285.0,289.0,304.0,MEDIUM,14.0,0 days 00:01:21.330916666,0 days 00:00:00.629000,2.0,13.5,8.0,24.983333333333334,42.40833333333333,1.9916666666666665,134.25,46.333333333333336,1004.3916666666664,24.7,43.3,1.7,235.0,51.0,1004.6,0 days 00:01:13.975000,SOFT,323.0,290.0,289.0,307.0,HARD,7.0,0 days 00:01:16.074000,0 days 00:00:00,6.0,2.0,2.0,26.5,42.1,1.0,346.0,56.0,1004.7,26.4,44.3,1.8,298.0,62.0,1004.5,0 days 00:01:12.708000,0 days 00:01:12.310000,,13.0,329.0,24.1,36.7,2.1,221.0,68.0,1003.8,327.0,23.9,35.6,1.7,255.0,69.0,1003.7,,,,,,,,0 days 00:01:19.215000,11.0,Haas F1 Team,0.0,0.0
LEC,0 days 00:01:15.434000,MEDIUM,318.0,288.0,289.0,303.0,HARD,6.0,0 days 00:01:17.706333333,-1 days +23:59:57.780000,3.0,3.3333333333333335,2.0,28.1,47.13333333333333,2.4666666666666663,230.33333333333337,33.333333333333336,1004.4666666666668,28.4,47.5,2.7,238.0,32.0,1004.4,0 days 00:01:13.597000,SOFT,322.0,291.0,289.0,309.0,SOFT,9.0,0 days 00:01:19.992600,-1 days +23:59:59.986000,4.0,10.6,8.0,25.28,42.2,1.28,167.6,46.2,1004.36,24.6,43.0,1.2,304.0,52.0,1004.6,0 days 00:01:13.050000,SOFT,324.0,291.0,290.0,311.0,SOFT,7.0,0 days 00:01:18.724666666,0 days 00:00:01.998000,1.0,10.5,8.0,26.566666666666663,44.35,1.75,146.0,59.0,1004.4666666666668,26.5,44.4,2.2,272.0,60.0,1004.5,0 days 00:01:12.257000,0 days 00:01:12.038000,0 days 00:01:11.731000,5.0,324.0,24.2,37.5,0.8,122.0,68.0,1003.8,327.0,24.0,36.2,1.2,69.0,68.0,1003.7,327.0,24.0,36.0,1.2,0.0,69.0,1003.5,0 days 00:00:22.709000,5.0,Ferrari,0.0,0.0
MAG,0 days 00:01:15.644000,SOFT,320.0,285.0,288.0,303.0,MEDIUM,9.0,0 days 00:01:22.513500,-1 days +23:59:59.441000,3.0,19.5,17.0,28.200000000000003,47.81666666666666,1.6166666666666665,164.66666666666666,36.666666666666664,1004.2166666666666,28.2,47.4,2.0,183.0,33.0,1004.3,0 days 00:01:14.021000,SOFT,323.0,289.0,288.0,305.0,SOFT,17.0,0 days 00:01:21.276142857,0 days 00:00:01.310000,3.0,14.5,8.0,25.092857142857145,42.32142857142857,1.9142857142857144,149.14285714285714,46.285714285714285,1004.3785714285711,24.7,43.3,1.7,235.0,51.0,1004.6,0 days 00:01:14.074000,SOFT,323.0,289.0,290.0,309.0,HARD,16.0,0 days 00:01:18.979214285,0 days 00:00:01.689000,2.0,8.5,2.0,26.528571428571436,42.85,1.207142857142857,188.8571428571429,56.0,1004.6214285714289,26.4,44.3,1.8,298.0,62.0,1004.5,0 days 00:01:12.937000,,,16.0,325.0,24.1,36.7,1.0,263.0,68.0,1003.8,,,,,,,,,,,,,,,0 days 00:00:54.788000,17.0,Haas F1 Team,0.0,0.0
NOR,0 days 00:01:14.228000,SOFT,320.0,284.0,287.0,301.0,HARD,12.0,0 days 00:01:18.941900,0 days 00:00:00.219000,2.0,14.5,10.0,28.380000000000003,47.459999999999994,2.0800000000000005,170.3,34.1,1004.2900000000002,28.2,47.4,2.0,183.0,33.0,1004.3,0 days 00:01:13.319000,SOFT,319.0,286.0,288.0,303.0,SOFT,15.0,0 days 00:01:20.168000,0 days 00:00:00.095000,2.0,11.0,5.0,24.923076923076923,42.5,2.046153846153846,146.0,47.23076923076923,1004.4153846153844,24.6,43.0,1.2,304.0,52.0,1004.6,0 days 00:01:13.043000,SOFT,320.0,288.0,282.0,305.0,MEDIUM,6.0,0 days 00:01:14.244000,0 days 00:00:01.418000,4.0,3.5,2.0,26.700000000000003,43.3,1.35,188.5,56.0,1004.55,26.4,44.3,1.8,298.0,62.0,1004.5,0 days 00:01:12.386000,0 days 00:01:11.872000,0 days 00:01:11.383000,1.0,323.0,24.2,37.5,1.4,332.0,68.0,1003.8,325.0,24.0,36.2,1.2,69.0,68.0,1003.7,323.0,24.0,35.9,0.9,120.0,69.0,1003.5,0 days 00:00:02.219000,2.0,McLaren,0.0,0.0
