Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALO,0 days 00:01:06.519000,SOFT,303.0,278.0,308.0,241.0,SOFT,13.0,0 days 00:01:10.986000,0 days 00:00:00.706000,2.0,17.0,12.0,24.209090909090904,48.372727272727275,0.7272727272727272,76.18181818181819,44.31818181818182,937.9272727272728,24.3,49.5,0.6,87.0,43.8,937.9,0 days 00:01:05.827000,SOFT,307.0,286.0,311.0,241.0,MEDIUM,18.0,0 days 00:01:10.407230769,-1 days +23:59:59.478000,3.0,19.307692307692307,11.0,21.75384615384615,43.169230769230765,0.7307692307692306,63.23076923076923,55.69230769230769,938.0076923076924,21.7,45.0,0.7,69.0,56.3,938.0,0 days 00:01:05.400000,SOFT,311.0,282.0,314.0,244.0,MEDIUM,7.0,0 days 00:01:06.858500,-1 days +23:59:59.655000,3.0,4.0,2.0,21.85,48.3,0.25,60.5,47.400000000000006,940.25,22.7,49.6,0.2,64.0,39.9,940.0,0 days 00:01:04.971000,0 days 00:01:04.582000,0 days 00:01:04.574000,9.0,312.0,25.8,50.4,0.1,228.0,28.2,938.6,313.0,26.0,54.1,0.1,175.0,27.9,938.5,312.0,26.1,51.3,0.6,75.0,28.2,938.4,,9.0,Alpine,0.0,0.0
BOT,0 days 00:01:06.386000,SOFT,304.0,278.0,306.0,237.0,MEDIUM,12.0,0 days 00:01:09.928400,-1 days +23:59:58.678000,2.0,6.5,2.0,23.81,47.27,0.6599999999999999,78.2,44.92,938.18,23.8,49.5,0.5,54.0,45.1,938.1,0 days 00:01:06.251000,SOFT,301.0,280.0,309.0,240.0,SOFT,11.0,0 days 00:01:10.249000,0 days 00:00:00.266000,2.0,13.0,9.0,22.27777777777778,44.077777777777776,0.5666666666666667,71.33333333333333,53.77777777777778,938.1333333333334,21.9,42.2,0.8,82.0,57.4,938.3,0 days 00:01:04.832000,SOFT,313.0,284.0,315.0,250.0,SOFT,6.0,0 days 00:01:06.137500,-1 days +23:59:59.851000,4.0,4.0,3.0,22.4,50.849999999999994,0.25,151.5,45.25,940.15,23.1,52.2,0.1,87.0,40.5,940.0,0 days 00:01:04.537000,0 days 00:01:04.443000,0 days 00:01:04.035000,2.0,310.0,25.7,55.3,0.3,0.0,29.1,938.8,309.0,26.0,53.5,0.1,0.0,27.6,938.5,311.0,26.1,51.3,0.6,75.0,28.2,938.4,0 days 00:00:46.907000,3.0,Mercedes,0.0,0.0
GAS,0 days 00:01:06.166000,SOFT,306.0,283.0,311.0,240.0,MEDIUM,11.0,0 days 00:01:07.842666666,-1 days +23:59:57.665000,7.0,5.333333333333333,2.0,23.7,47.1,0.7666666666666667,80.0,45.6,938.1333333333332,24.0,49.2,0.6,89.0,44.5,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:05.298000,SOFT,311.0,284.0,311.0,245.0,SOFT,9.0,0 days 00:01:06.162666666,-1 days +23:59:59.180000,6.0,6.0,3.0,22.53333333333333,50.53333333333333,0.3333333333333333,140.0,45.26666666666667,940.1,23.0,47.0,0.2,94.0,38.9,940.1,0 days 00:01:04.765000,0 days 00:01:04.429000,0 days 00:01:04.236000,6.0,313.0,25.8,50.4,0.1,228.0,28.2,938.6,312.0,25.9,53.9,0.1,21.0,28.8,938.6,314.0,26.1,51.3,0.6,75.0,28.2,938.4,,20.0,AlphaTauri,0.0,0.0
GIO,0 days 00:01:06.614000,SOFT,307.0,278.0,310.0,243.0,SOFT,10.0,0 days 00:01:11.321571428,-1 days +23:59:57.695000,3.0,14.0,11.0,24.285714285714285,48.18571428571427,0.7285714285714286,74.42857142857143,44.3,937.9142857142856,23.7,49.9,0.5,78.0,46.2,938.0,0 days 00:01:06.145000,SOFT,307.0,279.0,314.0,242.0,SOFT,18.0,0 days 00:01:10.723733333,0 days 00:00:00.565000,3.0,18.0,11.0,21.686666666666667,43.646666666666675,0.7666666666666668,62.06666666666667,55.733333333333334,937.9933333333336,22.6,45.6,0.8,60.0,52.8,938.0,0 days 00:01:05.556000,SOFT,315.0,285.0,319.0,244.0,SOFT,9.0,0 days 00:01:06.645000,-1 days +23:59:59.750000,6.0,5.0,2.0,22.5,50.3,0.3333333333333333,47.333333333333336,44.23333333333333,940.1333333333332,22.7,49.6,0.2,64.0,39.9,940.0,0 days 00:01:05.092000,0 days 00:01:04.913000,,15.0,313.0,25.8,50.4,0.1,228.0,28.2,938.6,316.0,26.0,54.1,0.1,175.0,27.9,938.5,,,,,,,,,15.0,Alfa Romeo Racing,0.0,0.0
HAM,0 days 00:01:06.332000,SOFT,303.0,281.0,306.0,242.0,MEDIUM,11.0,0 days 00:01:11.063500,0 days 00:00:02.695000,3.0,14.833333333333334,11.0,23.85,48.28333333333333,0.6833333333333335,79.33333333333333,44.81666666666666,937.9666666666668,23.7,49.9,0.5,78.0,46.2,938.0,0 days 00:01:05.796000,SOFT,301.0,281.0,308.0,242.0,SOFT,13.0,0 days 00:01:09.979833333,0 days 00:00:00.273000,4.0,14.0,10.0,21.683333333333337,41.85,0.7000000000000001,64.83333333333333,55.75,938.05,21.4,42.2,0.7,76.0,57.6,938.1,0 days 00:01:04.369000,SOFT,310.0,284.0,313.0,250.0,SOFT,5.0,0 days 00:01:06.182000,-1 days +23:59:59.436000,3.0,3.0,2.0,22.9,50.65,0.25,161.5,42.75,940.1,23.1,52.2,0.1,87.0,40.5,940.0,0 days 00:01:04.672000,0 days 00:01:04.512000,0 days 00:01:04.067000,3.0,310.0,26.0,55.5,0.4,82.0,29.5,938.6,309.0,26.2,54.2,0.4,102.0,27.6,938.6,310.0,26.3,53.2,0.8,86.0,28.3,938.5,0 days 00:00:35.743000,2.0,Mercedes,0.0,0.0
KUB,0 days 00:01:07.823000,SOFT,307.0,278.0,308.0,239.0,HARD,10.0,0 days 00:01:09.962400,-1 days +23:59:57.245000,5.0,5.6,3.0,23.76,47.12,0.6599999999999999,75.2,45.2,938.18,24.3,49.5,0.7,103.0,43.5,937.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAT,0 days 00:01:07.180000,SOFT,306.0,281.0,310.0,242.0,HARD,10.0,0 days 00:01:08.869500,-1 days +23:59:59.046000,6.0,6.0,3.0,24.0,47.8,0.8250000000000001,75.75,44.35,938.15,24.2,49.3,0.5,58.0,44.1,938.0,0 days 00:01:07.669000,MEDIUM,309.0,284.0,315.0,239.0,MEDIUM,21.0,0 days 00:01:10.884789473,-1 days +23:59:59.557000,2.0,16.0,7.0,21.73157894736842,42.96842105263158,0.7052631578947368,62.63157894736842,55.6578947368421,938.0157894736842,22.3,44.5,0.9,63.0,56.0,938.0,0 days 00:01:06.119000,SOFT,315.0,284.0,316.0,244.0,MEDIUM,9.0,0 days 00:01:07.797000,0 days 00:00:02.458000,4.0,5.4,2.0,22.4,50.2,0.2199999999999999,99.0,44.92,940.14,22.8,48.8,0.3,27.0,40.7,940.0,0 days 00:01:05.175000,,,16.0,316.0,25.9,56.2,0.3,48.0,27.8,938.7,,,,,,,,,,,,,,,,17.0,Williams,0.0,0.0
LEC,0 days 00:01:06.629000,SOFT,304.0,280.0,305.0,238.0,SOFT,18.0,0 days 00:01:10.254400,0 days 00:00:00.052000,3.0,18.0,11.0,24.126666666666665,48.28666666666666,0.7066666666666668,74.53333333333333,44.726666666666674,937.9199999999998,24.2,49.3,0.5,58.0,44.1,938.0,0 days 00:01:06.270000,SOFT,303.0,276.0,307.0,238.0,HARD,18.0,0 days 00:01:10.151062500,0 days 00:00:00.385000,2.0,18.5,11.0,21.69375,42.78125,0.75,60.5,55.7375,938.0125,21.9,46.0,0.8,7.0,54.3,938.0,0 days 00:01:05.340000,SOFT,309.0,282.0,311.0,247.0,MEDIUM,5.0,0 days 00:01:06.508500,-1 days +23:59:59.665000,3.0,3.0,2.0,22.35,50.3,0.15,168.5,46.0,940.15,23.1,52.2,0.1,87.0,40.5,940.0,0 days 00:01:04.745000,0 days 00:01:04.646000,0 days 00:01:04.472000,7.0,308.0,25.7,50.4,0.2,138.0,28.8,938.7,307.0,26.0,54.1,0.1,175.0,27.9,938.5,307.0,26.5,53.2,0.4,84.0,28.2,938.5,,7.0,Ferrari,0.0,0.0
MAZ,0 days 00:01:08.081000,SOFT,308.0,278.0,309.0,236.0,SOFT,11.0,0 days 00:01:12.699625,0 days 00:00:01.696000,2.0,13.5,10.0,24.05,48.7375,0.7125,70.125,44.5125,937.9375,23.9,49.9,0.9,87.0,44.3,938.1,0 days 00:01:07.404000,SOFT,306.0,280.0,313.0,237.0,MEDIUM,14.0,0 days 00:01:12.054800,0 days 00:00:00.314000,2.0,14.7,10.0,21.72,42.22,0.72,68.8,55.94,938.01,21.4,43.6,0.8,77.0,57.0,938.2,0 days 00:01:06.692000,SOFT,310.0,281.0,310.0,241.0,HARD,7.0,0 days 00:01:11.826666666,-1 days +23:59:59.182000,2.0,3.6666666666666665,2.0,21.566666666666663,46.3,0.2666666666666666,143.33333333333334,48.36666666666667,940.2000000000002,23.0,49.5,0.2,94.0,40.5,940.1,0 days 00:01:06.192000,,,20.0,310.0,25.8,50.4,0.1,228.0,28.2,938.6,,,,,,,,,,,,,,,,18.0,Haas F1 Team,0.0,0.0
MSC,0 days 00:01:07.473000,SOFT,305.0,277.0,311.0,237.0,MEDIUM,15.0,0 days 00:01:11.845916666,0 days 00:00:00.217000,3.0,15.5,10.0,24.208333333333332,48.425,0.7166666666666667,72.33333333333333,44.541666666666664,937.9249999999998,24.3,49.3,0.8,81.0,44.7,937.9,0 days 00:01:06.886000,SOFT,304.0,279.0,314.0,240.0,MEDIUM,7.0,0 days 00:01:08.499666666,0 days 00:00:00.988000,4.0,4.0,2.0,22.3,43.43333333333334,0.8333333333333334,71.33333333333333,55.86666666666667,938.0666666666666,21.4,42.2,0.7,50.0,57.0,938.2,0 days 00:01:05.992000,SOFT,310.0,281.0,312.0,240.0,HARD,7.0,0 days 00:01:11.406000,-1 days +23:59:59.622000,2.0,4.0,2.0,21.54,46.559999999999995,0.2799999999999999,157.4,48.2,940.26,22.7,49.6,0.2,64.0,39.9,940.0,0 days 00:01:06.041000,,,19.0,311.0,25.6,55.3,0.2,271.0,29.5,938.8,,,,,,,,,,,,,,,,16.0,Haas F1 Team,0.0,0.0
