Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:35.318000,HARD,317.0,244.0,272.0,282.0,HARD,8.0,0 days 00:01:50.876200,-1 days +23:59:55.616000,3.0,6.0,4.0,15.18,20.92,2.3400000000000003,70.6,67.42,1009.52,15.9,21.7,1.1,100,65.5,1009.1,0 days 00:01:29.363000,SOFT,322.0,245.0,276.0,283.0,MEDIUM,12,0 days 00:01:32.901000,-1 days +23:59:57.329000,7,6.0,4.0,16.325,20.35,2.2249999999999996,90.25,64.35,1008.15,16.1,19.1,2.0,85,63.2,1008.3,0 days 00:01:50.059000,INTERMEDIATE,289.0,221.0,257.0,269.0,,,,,,,,,,,,,,12.7,14.5,2.0,220.0,85.3,1008.7,0 days 00:01:59.431000,0 days 00:01:52.282000,0 days 00:01:50.448000,4.0,244.0,12.2,13.8,1.0,168,89.4,1008.0,252.0,12.5,13.7,0.4,97.0,89.7,1007.8,262.0,12.5,12.9,0.6,219.0,90.2,1008.1,0 days 00:00:46.484000,7.0,Red Bull Racing,0,1
BOT,0 days 00:01:37.629000,HARD,293.0,240.0,263.0,280.0,HARD,7.0,0 days 00:01:40.388800,-1 days +23:59:56.010000,2.0,4.0,2.0,15.22,21.8,3.76,81.0,66.22,1009.46,15.8,21.7,1.4,147,65.7,1009.2,0 days 00:01:28.905000,SOFT,322.0,245.0,277.0,281.0,MEDIUM,16,0 days 00:01:34.180375,-1 days +23:59:58.040000,6,13.5,7.0,16.15,19.95,2.1,106.125,64.9125,1008.2,16.4,19.1,1.3,96,63.2,1008.2,0 days 00:01:55.666000,INTERMEDIATE,252.0,234.0,217.0,260.0,,,,,,,,,,,,,,12.8,14.5,0.8,195.0,85.6,1008.7,0 days 00:02:07.001000,0 days 00:01:53.767000,0 days 00:01:53.258000,9.0,214.0,12.0,13.6,0.8,127,90.0,1007.9,234.0,12.5,13.8,1.0,244.0,89.6,1007.9,251.0,12.4,13.0,0.5,223.0,90.1,1008.1,,14.0,Mercedes,0,1
GAS,0 days 00:01:35.543000,MEDIUM,305.0,240.0,275.0,281.0,,,,,,,,,,,,,,16.1,22.1,2.3,95,65.5,1009.0,0 days 00:01:29.944000,SOFT,317.0,248.0,279.0,284.0,SOFT,16,0 days 00:01:34.679000,0 days 00:00:00.403000,5,19.09090909090909,14.0,15.954545454545457,18.31818181818182,2.481818181818182,89.63636363636364,63.290909090909096,1008.2090909090912,16.3,19.3,1.6,102,63.1,1008.3,0 days 00:02:02.473000,INTERMEDIATE,258.0,208.0,229.0,256.0,,,,,,,,,,,,,,12.3,13.2,1.6,191.0,83.6,1008.7,0 days 00:02:05.579000,0 days 00:01:58.556000,,15.0,186.0,12.2,13.8,0.7,186,89.3,1007.9,225.0,12.3,13.7,0.9,238.0,89.7,1008.0,,,,,,,,,13.0,AlphaTauri,0,1
GIO,0 days 00:01:37.503000,MEDIUM,314.0,239.0,268.0,278.0,,,,,,,,,,,,,,15.9,21.7,1.1,100,65.5,1009.1,0 days 00:01:31.493000,SOFT,314.0,244.0,,281.0,HARD,14,0 days 00:01:42.228100,-1 days +23:59:58.481000,4,9.2,4.0,16.12,20.04,2.0599999999999996,97.6,65.28,1008.18,16.3,19.0,1.9,98,63.3,1008.2,0 days 00:02:02.325000,INTERMEDIATE,249.0,207.0,221.0,258.0,,,,,,,,,,,,,,12.5,13.5,0.8,215.0,84.7,1008.7,0 days 00:02:07.341000,0 days 00:01:53.431000,0 days 00:01:57.226000,10.0,204.0,12.2,13.8,1.0,168,89.4,1008.0,239.0,12.3,13.7,0.9,238.0,89.7,1008.0,243.0,12.4,13.0,0.6,148.0,90.1,1008.1,,20.0,Alfa Romeo Racing,0,1
GRO,0 days 00:01:40.025000,MEDIUM,301.0,238.0,268.0,278.0,MEDIUM,8.0,0 days 00:01:43.594000,0 days 00:00:00.370000,4.0,7.5,7.0,15.65,21.5,2.15,86.0,65.75,1009.3,16.0,22.1,1.5,104,65.8,1009.0,0 days 00:01:32.570000,SOFT,308.0,245.0,276.0,285.0,SOFT,11,0 days 00:01:34.820714285,-1 days +23:59:56.783000,3,20.0,17.0,15.871428571428572,17.97142857142857,2.6,91.85714285714286,64.2,1008.2571428571428,16.1,19.1,2.0,85,63.2,1008.3,0 days 00:02:04.748000,INTERMEDIATE,240.0,197.0,217.0,247.0,,,,,,,,,,,,,,12.5,13.5,1.0,216.0,84.9,1008.7,0 days 00:02:12.909000,,,19.0,199.0,12.1,13.6,0.6,252,90.1,1007.9,,,,,,,,,,,,,,,,18.0,Haas F1 Team,0,1
HAM,0 days 00:01:40.225000,HARD,308.0,240.0,270.0,277.0,,,,,,,,,,,,,,15.8,21.7,1.4,147,65.7,1009.2,0 days 00:01:29.180000,SOFT,326.0,243.0,278.0,281.0,MEDIUM,15,0 days 00:01:33.545800,-1 days +23:59:56.864000,10,11.6,7.0,16.26,20.0,2.12,97.0,64.16,1008.22,16.1,18.7,2.1,93,62.1,1008.2,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:02:07.599000,0 days 00:01:52.709000,0 days 00:01:52.560000,6.0,234.0,12.1,13.6,0.6,252,90.1,1007.9,223.0,12.5,13.7,1.0,225.0,89.6,1007.9,231.0,12.4,13.0,0.5,223.0,90.1,1008.1,0 days 01:42:19.313000,1.0,Mercedes,0,1
KVY,0 days 00:01:36.738000,MEDIUM,302.0,240.0,261.0,279.0,HARD,5.0,0 days 00:01:57.531666666,-1 days +23:59:56.993000,2.0,3.6666666666666665,2.0,15.233333333333334,21.2,1.7666666666666668,63.666666666666664,67.2,1009.5,15.9,21.7,1.6,72,65.5,1009.2,0 days 00:01:29.689000,SOFT,319.0,247.0,278.0,282.0,HARD,15,0 days 00:01:36.902000,-1 days +23:59:57.188000,5,8.555555555555555,4.0,16.255555555555553,20.01111111111111,2.1666666666666665,93.44444444444444,64.27777777777777,1008.2000000000002,16.4,19.1,1.3,96,63.2,1008.2,0 days 00:02:09.368000,INTERMEDIATE,241.0,186.0,,244.0,,,,,,,,,,,,,,12.3,13.4,0.7,157.0,83.9,1008.7,0 days 00:02:09.070000,,,17.0,225.0,12.0,13.6,0.8,127,90.0,1007.9,,,,,,,,,,,,,,,,12.0,AlphaTauri,0,1
LAT,0 days 00:01:38.508000,MEDIUM,307.0,240.0,,276.0,HARD,6.0,0 days 00:01:57.304333333,-1 days +23:59:57.400000,3.0,6.0,5.0,15.266666666666666,21.2,1.5,68.0,67.13333333333334,1009.5,16.1,22.1,2.9,87,65.5,1009.0,0 days 00:01:33.488000,SOFT,319.0,246.0,275.0,282.0,SOFT,17,0 days 00:01:36.981000,0 days 00:00:02.017000,5,22.818181818181817,17.0,16.09090909090909,18.727272727272723,2.409090909090909,90.0,62.8,1008.1909090909091,16.0,18.8,2.8,101,63.8,1008.1,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:02:21.611000,,,20.0,207.0,12.1,13.4,1.7,246,89.7,1007.9,,,,,,,,,,,,,,,,19.0,Williams,0,1
LEC,0 days 00:01:35.507000,HARD,312.0,240.0,,281.0,HARD,6.0,0 days 00:01:45.671500,-1 days +23:59:55.251000,4.0,4.5,4.0,15.25,21.2,1.7000000000000002,62.0,67.0,1009.5,15.7,21.5,1.8,0,65.6,1009.2,0 days 00:01:28.731000,SOFT,321.0,245.0,276.0,282.0,MEDIUM,11,0 days 00:01:34.027200,-1 days +23:59:55.996000,6,7.0,4.0,16.22,20.4,1.72,99.0,65.17999999999999,1008.16,16.3,19.2,1.7,145,63.3,1008.3,0 days 00:01:49.430000,INTERMEDIATE,251.0,231.0,259.0,271.0,,,,,,,,,,,,,,12.8,14.5,0.9,245.0,85.6,1008.7,0 days 00:02:04.464000,0 days 00:01:56.696000,,14.0,211.0,12.2,13.8,1.0,168,89.4,1008.0,247.0,12.3,13.7,1.3,208.0,89.6,1007.9,,,,,,,,0 days 00:00:33.858000,4.0,Ferrari,0,1
MAG,0 days 00:01:41.854000,HARD,279.0,236.0,264.0,278.0,HARD,7.0,0 days 00:01:55.185600,-1 days +23:59:56.985000,2.0,5.2,3.0,15.2,20.860000000000003,1.7599999999999998,60.6,67.4,1009.52,15.9,21.7,1.6,99,65.4,1009.2,0 days 00:01:32.807000,SOFT,312.0,245.0,274.0,281.0,MEDIUM,10,0 days 00:01:36.463285714,-1 days +23:59:56.803000,3,6.0,3.0,16.185714285714287,20.357142857142858,1.8857142857142857,104.42857142857144,65.47142857142856,1008.1714285714288,16.3,19.3,1.6,102,63.1,1008.3,0 days 00:01:55.878000,INTERMEDIATE,257.0,207.0,240.0,264.0,,,,,,,,,,,,,,12.5,13.5,1.0,216.0,84.9,1008.7,0 days 00:02:08.007000,,,16.0,220.0,12.2,13.5,0.7,232,90.0,1008.0,,,,,,,,,,,,,,,,17.0,Haas F1 Team,0,1
