Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:19.068000,SOFT,312.0,305.0,270.0,251.0,HARD,15,0 days 00:01:21.329250,-1 days +23:59:57.654000,11,10.75,6.0,28.050000000000004,38.675,1.7,188.0,46.9,984.5,28.5,40.8,1.2,348,45.6,984.6,0 days 00:01:17.971000,SOFT,308.0,296.0,276.0,255.0,MEDIUM,6.0,0 days 00:01:19.307500,-1 days +23:59:59.789000,4.0,3.0,2.0,28.700000000000003,42.45,2.0,12.0,47.150000000000006,984.3,28.9,42.2,3.4,14,47.3,984.4,0 days 00:01:17.538000,SOFT,304.0,296.0,273.0,252.0,MEDIUM,5.0,0 days 00:01:18.275000,0 days 00:00:00,4.0,2.0,2.0,28.1,41.6,1.9,11.0,41.4,988.0,28.2,43.6,1.5,14.0,41.4,988.1,0 days 00:01:16.527000,0 days 00:01:15.914000,0 days 00:01:15.954000,4.0,310.0,29.4,45.9,1.2,35,41.2,988.0,311.0,29.4,44.9,3.9,15.0,41.0,987.8,311.0,29.4,43.9,2.5,27.0,41.0,987.8,0 days 00:00:08.064000,3.0,Red Bull Racing,3,0
BOT,0 days 00:01:17.879000,SOFT,307.0,296.0,273.0,251.0,SOFT,10,0 days 00:01:22.886714285,0 days 00:00:00.880000,3,12.571428571428571,9.0,28.82857142857143,42.34285714285714,1.8714285714285712,222.1428571428571,45.128571428571426,984.5,28.5,40.8,1.2,348,45.6,984.6,0 days 00:01:16.989000,SOFT,305.0,297.0,275.0,252.0,MEDIUM,10.0,0 days 00:01:22.687714285,-1 days +23:59:58.733000,3.0,12.571428571428571,9.0,29.157142857142855,40.75714285714286,1.242857142857143,152.14285714285714,45.871428571428574,984.2428571428572,28.8,42.2,3.5,13,46.2,984.3,0 days 00:01:16.530000,SOFT,307.0,299.0,278.0,255.0,,,,,,,,,,,,,,28.0,42.4,2.0,25.0,43.2,988.0,0 days 00:01:15.749000,0 days 00:01:15.322000,0 days 00:01:15.203000,2.0,310.0,29.7,46.0,2.8,8,38.9,987.9,313.0,29.4,44.9,3.9,15.0,41.0,987.8,309.0,29.4,44.1,2.4,7.0,41.1,987.9,0 days 00:00:04.880000,2.0,Mercedes,3,0
GAS,0 days 00:01:18.676000,SOFT,317.0,305.0,276.0,255.0,SOFT,10,0 days 00:01:24.783250,0 days 00:00:00.326000,2,10.5,7.0,28.8625,42.425,1.7125,144.625,45.275000000000006,984.5125,28.9,41.4,2.0,28,44.0,984.6,0 days 00:01:18.244000,SOFT,307.0,302.0,272.0,254.0,HARD,10.0,0 days 00:01:23.858000,-1 days +23:59:56.761000,2.0,13.5,10.0,29.125,40.7625,1.3375,136.25,45.8625,984.225,28.9,42.2,3.4,14,47.3,984.4,0 days 00:01:17.226000,SOFT,310.0,305.0,273.0,255.0,MEDIUM,6.0,0 days 00:01:18.592500,-1 days +23:59:59.683000,4.0,4.5,3.0,28.35,42.05,1.6,18.5,40.849999999999994,988.0,28.1,42.6,1.0,6.0,42.4,988.0,0 days 00:01:17.125000,,,16.0,311.0,29.4,45.9,1.2,35,41.2,988.0,,,,,,,,,,,,,,,,20.0,AlphaTauri,3,0
GIO,0 days 00:01:19.322000,SOFT,304.0,291.0,268.0,250.0,SOFT,11,0 days 00:01:25.525125,-1 days +23:59:59.947000,3,12.75,9.0,28.7625,42.1875,1.9125,109.75,45.4625,984.5125,28.4,40.2,2.6,10,47.2,984.6,0 days 00:01:18.944000,SOFT,305.0,300.0,265.0,253.0,SOFT,14.0,0 days 00:01:24.350909090,0 days 00:00:00.820000,3.0,11.090909090909092,5.0,28.863636363636363,41.345454545454544,2.1545454545454543,99.0,46.22727272727273,984.3272727272724,28.9,43.0,2.0,3,47.5,984.3,0 days 00:01:17.812000,SOFT,309.0,302.0,272.0,257.0,SOFT,7.0,0 days 00:01:19.631333333,0 days 00:00:00.846000,4.0,4.0,2.0,28.0,41.63333333333333,2.1666666666666665,10.333333333333334,42.666666666666664,988.0666666666666,28.1,42.6,1.0,6.0,42.4,988.0,0 days 00:01:17.220000,,,17.0,310.0,29.4,45.9,1.2,35,41.2,988.0,,,,,,,,,,,,,,,,17.0,Alfa Romeo Racing,3,0
GRO,0 days 00:01:19.224000,SOFT,310.0,301.0,265.0,245.0,SOFT,9,0 days 00:01:25.009285714,0 days 00:00:00.250000,2,13.0,10.0,28.771428571428572,42.31428571428571,1.742857142857143,136.28571428571428,45.39999999999999,984.5285714285714,28.4,39.7,2.8,3,46.4,984.7,0 days 00:01:19.257000,MEDIUM,303.0,301.0,270.0,250.0,,,,,,,,,,,,,,28.9,44.7,3.3,10,47.3,984.3,0 days 00:01:17.635000,SOFT,310.0,299.0,272.0,252.0,MEDIUM,10.0,0 days 00:01:19.113333333,-1 days +23:59:59.149000,7.0,7.0,3.0,28.633333333333336,42.43333333333333,2.5,7.0,41.03333333333333,987.9666666666668,28.1,42.6,1.0,6.0,42.4,988.0,0 days 00:01:17.069000,0 days 00:01:17.254000,,15.0,308.0,29.4,45.9,1.2,35,41.2,988.0,305.0,29.0,45.3,1.9,28.0,41.6,987.9,,,,,,,,0 days 00:00:42.036000,12.0,Haas F1 Team,3,0
HAM,0 days 00:01:18.409000,SOFT,308.0,306.0,271.0,253.0,SOFT,9,0 days 00:01:24.080000,0 days 00:00:02.957000,4,12.0,9.0,28.82,42.34,1.98,203.4,45.3,984.5,28.5,41.0,1.3,343,45.2,984.6,0 days 00:01:17.196000,SOFT,303.0,295.0,277.0,252.0,HARD,9.0,0 days 00:01:23.280000,0 days 00:00:00.150000,3.0,13.5,11.0,29.166666666666668,40.65,1.35,116.5,45.61666666666667,984.25,28.8,42.2,3.5,13,46.2,984.3,0 days 00:01:16.613000,SOFT,307.0,301.0,275.0,254.0,,,,,,,,,,,,,,28.2,42.4,2.9,10.0,42.6,988.0,0 days 00:01:15.778000,0 days 00:01:15.309000,0 days 00:01:15.144000,1.0,308.0,29.7,46.0,2.8,8,38.9,987.9,310.0,29.5,45.0,3.7,23.0,41.6,987.8,309.0,29.4,44.1,2.4,7.0,41.1,987.9,0 days 02:19:35.060000,1.0,Mercedes,3,0
KVY,0 days 00:01:18.839000,SOFT,313.0,309.0,275.0,254.0,HARD,11,0 days 00:01:21.503600,-1 days +23:59:56.714000,6,7.0,3.0,28.06,38.6,1.9,88.2,46.940000000000005,984.52,29.1,41.8,2.1,5,43.9,984.6,0 days 00:01:18.736000,SOFT,308.0,298.0,274.0,254.0,MEDIUM,11.0,0 days 00:01:23.602555555,-1 days +23:59:59.526000,2.0,13.0,9.0,29.17777777777778,40.74444444444445,1.511111111111111,127.0,45.77777777777778,984.2111111111112,28.9,43.0,2.0,3,47.5,984.3,0 days 00:01:17.627000,SOFT,312.0,305.0,274.0,255.0,MEDIUM,9.0,0 days 00:01:19.173500,-1 days +23:59:59.542000,5.0,6.0,3.0,28.375,42.275,1.775,175.5,41.2,987.95,28.1,42.6,1.0,6.0,42.4,988.0,0 days 00:01:16.928000,0 days 00:01:16.854000,,12.0,314.0,29.4,45.9,1.5,6,40.6,987.9,314.0,29.2,44.9,3.2,18.0,40.3,987.9,,,,,,,,0 days 00:00:21.756000,7.0,AlphaTauri,3,0
LAT,0 days 00:01:20.034000,HARD,310.0,305.0,270.0,252.0,HARD,9,0 days 00:01:25.460666666,-1 days +23:59:59.778000,3,16.166666666666668,13.0,28.916666666666668,42.51666666666666,1.6333333333333335,202.5,45.01666666666666,984.5,28.5,40.8,1.2,348,45.6,984.6,0 days 00:01:18.983000,SOFT,305.0,299.0,270.0,250.0,MEDIUM,9.0,0 days 00:01:19.979000,-1 days +23:59:59.956000,6.0,4.666666666666667,2.0,28.833333333333332,42.93333333333334,2.1999999999999997,28.333333333333332,47.36666666666667,984.2999999999998,28.8,42.2,3.5,13,46.2,984.3,0 days 00:01:18.072000,SOFT,309.0,302.0,272.0,254.0,SOFT,5.0,0 days 00:01:19.188500,0 days 00:00:00.569000,3.0,3.0,2.0,28.25,41.55,2.65,13.5,41.9,988.0,28.2,42.4,2.9,10.0,42.6,988.0,0 days 00:01:17.320000,,,19.0,315.0,29.5,45.4,2.8,1,39.2,988.0,,,,,,,,,,,,,,,,15.0,Williams,3,0
LEC,0 days 00:01:18.186000,SOFT,306.0,302.0,273.0,251.0,MEDIUM,11,0 days 00:01:20.179400,-1 days +23:59:58.135000,6,7.0,3.0,28.139999999999997,38.739999999999995,1.72,222.8,46.31999999999999,984.52,28.5,41.0,1.3,343,45.2,984.6,0 days 00:01:18.400000,SOFT,308.0,303.0,272.0,252.0,SOFT,8.0,0 days 00:01:23.983400,0 days 00:00:01.337000,3.0,13.4,11.0,29.1,40.760000000000005,1.2600000000000002,78.8,46.02,984.26,28.9,43.0,2.0,3,47.5,984.3,0 days 00:01:17.488000,SOFT,308.0,303.0,273.0,253.0,MEDIUM,5.0,0 days 00:01:18.255500,-1 days +23:59:59.845000,3.0,3.0,2.0,28.25,41.55,2.65,13.5,41.9,988.0,28.2,42.4,2.9,10.0,42.6,988.0,0 days 00:01:16.698000,0 days 00:01:16.324000,0 days 00:01:16.270000,5.0,309.0,29.4,45.9,1.5,6,40.6,987.9,309.0,29.4,44.9,3.9,15.0,41.0,987.8,306.0,29.1,43.7,3.8,6.0,41.3,987.7,0 days 00:00:28.345000,8.0,Ferrari,3,0
MAG,0 days 00:01:19.551000,SOFT,308.0,308.0,267.0,246.0,MEDIUM,9,0 days 00:01:22.367500,-1 days +23:59:57.274000,5,6.0,3.0,28.075,38.525000000000006,1.9499999999999995,348.25,46.8,984.475,28.5,41.0,1.3,343,45.2,984.6,0 days 00:01:19.113000,SOFT,304.0,296.0,269.0,251.0,HARD,10.0,0 days 00:01:25.171500,0 days 00:00:01.472000,2.0,12.5,9.0,29.1375,40.7,1.4874999999999998,89.625,45.8125,984.2375,28.9,43.0,2.0,3,47.5,984.3,0 days 00:01:18.039000,SOFT,303.0,306.0,267.0,252.0,MEDIUM,9.0,0 days 00:01:19.410500,0 days 00:00:00,5.0,6.0,3.0,28.35,42.125,2.425,174.25,41.875,988.0,28.1,42.6,1.0,6.0,42.4,988.0,0 days 00:01:17.348000,,,20.0,305.0,29.0,44.9,0.9,4,41.1,988.0,,,,,,,,,,,,,,,,16.0,Haas F1 Team,3,0
