Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition,TeamName,SafetyCars,VirtualSafetyCars
ALB,0 days 00:01:34.316000,SOFT,315.0,212.0,232.0,192.0,MEDIUM,9.0,0 days 00:01:37.655333333,-1 days +23:59:55.723000,5.0,4.666666666666667,2.0,9.866666666666667,16.2,2.3,145.66666666666666,41.23333333333333,1010.2333333333332,12.2,20.7,2.0,240.0,27.0,1009.5,0 days 00:01:34.434000,SOFT,313.0,209.0,229.0,189.0,MEDIUM,7.0,0 days 00:01:40.932666666,0 days 00:00:03.330000,1.0,10.5,8.0,16.95,24.46666666666667,1.2166666666666666,180.16666666666663,21.566666666666663,1004.7999999999998,16.3,25.0,1.3,214.0,22.0,1004.9,0 days 00:01:33.983000,SOFT,322.0,210.0,239.0,191.0,SOFT,7.0,0 days 00:01:35.172000,0 days 00:00:00.342000,4.0,4.0,2.0,18.633333333333333,25.866666666666664,2.2666666666666666,97.33333333333331,27.633333333333336,1010.1333333333332,19.0,26.5,1.4,123.0,26.5,1009.5,0 days 00:01:33.984000,0 days 00:01:32.898000,0 days 00:01:32.548000,6.0,325.0,20.8,27.0,1.9,293.0,24.1,1008.4,321.0,19.8,26.1,1.0,155.0,25.7,1008.2,322.0,20.5,25.5,0.9,343.0,25.2,1008.2,0 days 00:01:18.038000,5.0,Red Bull Racing,0.0,0.0
BOT,0 days 00:01:36.159000,SOFT,308.0,207.0,237.0,187.0,TEST,12.0,0 days 00:01:37.906625,0 days 00:00:01.859000,4.0,6.75,2.0,11.337500000000002,19.1,1.825,153.875,34.5,1009.7875,11.9,20.6,2.0,154.0,30.2,1009.5,0 days 00:01:34.045000,SOFT,312.0,210.0,236.0,192.0,MEDIUM,11.0,0 days 00:01:39.937666666,-1 days +23:59:59.452000,5.0,13.666666666666666,11.0,16.7,25.28333333333333,2.433333333333333,239.0,21.41666666666667,1004.9833333333332,16.6,25.0,1.9,226.0,22.5,1004.9,0 days 00:01:33.904000,SOFT,316.0,209.0,247.0,193.0,SOFT,6.0,0 days 00:01:34.539500,-1 days +23:59:59.963000,4.0,5.0,4.0,18.35,25.45,1.05,165.0,27.85,1010.35,18.5,25.8,2.8,98.0,27.5,1010.1,0 days 00:01:33.750000,0 days 00:01:33.160000,0 days 00:01:32.029000,1.0,318.0,20.7,26.9,2.1,315.0,24.3,1008.4,318.0,19.8,26.0,1.3,225.0,25.8,1008.2,323.0,20.6,25.9,1.3,98.0,24.8,1008.1,0 days 01:33:55.653000,1.0,Mercedes,0.0,0.0
GAS,0 days 00:01:35.008000,SOFT,316.0,210.0,236.0,191.0,MEDIUM,12.0,0 days 00:01:37.323000,-1 days +23:59:58.131000,7.0,5.75,2.0,10.35,17.075,1.5750000000000002,150.0,39.825,1010.125,12.1,20.3,2.6,166.0,32.0,1009.6,0 days 00:01:34.509000,SOFT,316.0,211.0,232.0,193.0,SOFT,11.0,0 days 00:01:40.913700,0 days 00:00:01.275000,1.0,12.5,8.0,16.610000000000003,25.18,2.0900000000000003,235.8,21.47,1004.95,16.3,24.4,1.0,241.0,22.7,1005.0,0 days 00:01:34.517000,SOFT,325.0,207.0,242.0,192.0,SOFT,7.0,0 days 00:01:36.299333333,0 days 00:00:02.146000,4.0,5.0,3.0,18.766666666666666,26.100000000000005,2.233333333333333,119.33333333333331,27.7,1010.2,19.5,26.7,0.9,181.0,26.0,1009.8,0 days 00:01:33.556000,0 days 00:01:33.715000,0 days 00:01:33.601000,10.0,328.0,20.5,26.4,2.0,319.0,25.2,1008.2,323.0,19.8,26.0,1.3,225.0,25.8,1008.2,324.0,20.6,25.3,1.1,129.0,24.6,1008.2,,16.0,Toro Rosso,0.0,0.0
GIO,0 days 00:01:36.037000,SOFT,311.0,211.0,226.0,191.0,MEDIUM,8.0,0 days 00:01:39.431750,-1 days +23:59:58.233000,4.0,6.25,4.0,10.225,16.85,2.0749999999999997,169.5,40.75,1010.15,12.1,20.2,2.1,153.0,30.9,1009.5,0 days 00:01:34.839000,SOFT,319.0,207.0,235.0,192.0,SOFT,13.0,0 days 00:01:41.734100,0 days 00:00:01.247000,3.0,12.5,8.0,16.690000000000005,25.07,2.3000000000000003,252.6,21.24,1004.9,16.4,24.6,1.2,155.0,22.7,1005.0,0 days 00:01:35.956000,SOFT,312.0,210.0,235.0,192.0,SOFT,7.0,0 days 00:01:36.320333333,-1 days +23:59:59.987000,4.0,4.0,2.0,18.433333333333337,25.633333333333336,1.1333333333333335,170.33333333333334,27.96666666666667,1010.3333333333334,18.9,26.9,2.8,156.0,27.6,1009.9,0 days 00:01:34.226000,,,16.0,328.0,20.5,26.4,2.0,319.0,25.2,1008.2,,,,,,,,,,,,,,,,14.0,Alfa Romeo Racing,0.0,0.0
GRO,0 days 00:01:35.356000,SOFT,306.0,210.0,236.0,188.0,MEDIUM,6.0,0 days 00:01:37.470000,-1 days +23:59:59.536000,3.0,4.333333333333333,3.0,9.9,15.933333333333332,1.8333333333333333,127.0,41.0,1010.2000000000002,12.5,21.2,1.9,239.0,29.7,1009.2,0 days 00:01:35.789000,MEDIUM,306.0,210.0,228.0,189.0,,,,,,,,,,,,,,15.6,24.0,1.0,151.0,23.4,1005.4,0 days 00:01:34.849000,SOFT,318.0,210.0,246.0,191.0,SOFT,5.0,0 days 00:01:36.078500,-1 days +23:59:59.725000,3.0,6.0,5.0,18.35,25.6,1.5,110.5,28.0,1010.35,18.7,26.0,1.4,104.0,28.0,1010.0,0 days 00:01:34.161000,0 days 00:01:34.158000,,15.0,320.0,20.5,26.4,1.6,303.0,25.1,1008.3,316.0,20.4,25.9,2.1,330.0,25.2,1008.2,,,,,,,,,15.0,Haas F1 Team,0.0,0.0
HAM,0 days 00:01:35.439000,SOFT,313.0,202.0,230.0,191.0,TEST,8.0,0 days 00:01:37.869000,0 days 00:00:02.630000,3.0,11.8,9.0,12.18,20.9,1.96,234.4,29.78,1009.3,12.4,21.5,1.6,118.0,30.1,1009.1,0 days 00:01:33.232000,SOFT,316.0,210.0,236.0,192.0,SOFT,10.0,0 days 00:01:40.166285714,0 days 00:00:01.516000,1.0,12.428571428571429,8.0,16.528571428571432,25.114285714285717,2.057142857142857,239.0,21.414285714285715,1004.9285714285714,16.4,24.6,1.2,155.0,22.7,1005.0,0 days 00:01:33.923000,SOFT,317.0,206.0,244.0,191.0,SOFT,6.0,0 days 00:01:34.714000,-1 days +23:59:59.884000,4.0,3.0,2.0,18.35,25.45,1.05,165.0,27.85,1010.35,19.1,27.0,2.7,112.0,26.7,1009.6,0 days 00:01:33.454000,0 days 00:01:33.045000,0 days 00:01:32.321000,5.0,319.0,20.7,26.9,2.1,315.0,24.3,1008.4,318.0,19.8,26.2,1.3,98.0,26.5,1008.2,322.0,20.6,25.9,1.3,98.0,24.8,1008.1,0 days 00:00:04.148000,2.0,Mercedes,0.0,0.0
HUL,0 days 00:01:36.124000,SOFT,308.0,208.0,226.0,189.0,SOFT,9.0,0 days 00:01:41.017500,-1 days +23:59:59.840000,3.0,10.0,7.0,12.383333333333333,21.45,1.7,153.66666666666666,30.15,1009.1,11.7,19.6,1.1,137.0,33.6,1009.7,0 days 00:01:34.988000,SOFT,314.0,215.0,223.0,190.0,SOFT,14.0,0 days 00:01:40.890416666,0 days 00:00:01.380000,2.0,10.75,5.0,16.491666666666667,25.11666666666667,1.7583333333333335,223.0,21.625,1004.9333333333332,16.3,24.4,1.4,200.0,22.5,1005.1,0 days 00:01:34.784000,SOFT,321.0,209.0,236.0,192.0,SOFT,5.0,0 days 00:01:35.523500,0 days 00:00:00.073000,3.0,4.0,3.0,18.8,26.1,1.7999999999999998,124.0,27.9,1010.25,19.6,26.7,1.1,167.0,25.8,1009.8,0 days 00:01:34.092000,0 days 00:01:33.815000,,11.0,323.0,20.5,26.4,1.6,303.0,25.1,1008.3,322.0,20.4,25.9,2.1,330.0,25.2,1008.2,,,,,,,,,9.0,Renault,0.0,0.0
KUB,0 days 00:01:37.948000,SOFT,311.0,207.0,230.0,184.0,SOFT,9.0,0 days 00:01:40.408750,-1 days +23:59:56.467000,5.0,4.5,2.0,10.4,17.2,1.7,141.5,39.825,1010.125,11.8,19.7,1.4,316.0,34.3,1009.7,0 days 00:01:37.283000,SOFT,314.0,208.0,227.0,184.0,MEDIUM,12.0,0 days 00:01:42.276800,0 days 00:00:01.418000,2.0,8.4,3.0,16.78,24.69,1.7,222.9,21.459999999999997,1004.83,16.6,24.7,1.1,257.0,22.0,1005.0,0 days 00:01:36.628000,SOFT,316.0,206.0,234.0,185.0,SOFT,7.0,0 days 00:01:37.710333333,-1 days +23:59:59.951000,4.0,4.0,2.0,18.666666666666668,25.866666666666664,1.0,223.66666666666663,27.7,1010.3333333333334,18.7,26.6,2.4,101.0,27.6,1009.9,0 days 00:01:35.889000,,,20.0,321.0,20.5,26.4,1.6,303.0,25.1,1008.3,,,,,,,,,,,,,,,,19.0,Williams,0.0,0.0
KVY,0 days 00:01:35.661000,SOFT,313.0,207.0,234.0,189.0,MEDIUM,10.0,0 days 00:01:36.966250,-1 days +23:59:58.924000,6.0,5.5,2.0,10.275,16.875,1.875,134.75,40.6,1010.15,11.3,18.8,3.0,135.0,35.6,1009.9,0 days 00:01:34.975000,SOFT,314.0,211.0,236.0,190.0,MEDIUM,7.0,0 days 00:01:35.623000,0 days 00:00:00.772000,4.0,4.0,2.0,15.9,23.85,1.1,196.0,23.1,1005.15,16.3,24.4,1.4,200.0,22.5,1005.1,0 days 00:01:35.129000,SOFT,322.0,208.0,240.0,191.0,SOFT,7.0,0 days 00:01:36.191333333,0 days 00:00:00.256000,4.0,5.0,3.0,18.533333333333335,25.76666666666667,1.1333333333333333,214.0,28.03333333333333,1010.3333333333334,19.6,26.7,1.1,167.0,25.8,1009.8,0 days 00:01:34.138000,0 days 00:01:33.989000,,13.0,327.0,20.5,26.4,1.6,303.0,25.1,1008.3,324.0,19.8,26.1,1.0,155.0,25.7,1008.2,,,,,,,,,12.0,Toro Rosso,0.0,0.0
LAT,0 days 00:01:41.112000,SOFT,310.0,209.0,212.0,186.0,,,,,,,,,,,,,,10.5,17.2,1.7,187.0,40.5,1010.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
