RaceName;Year;Laps;Laps_Done;Type of Track
Bahrain Grand Prix;2024;57;57;Medium
Saudi Arabian Grand Prix;2024;50;50;High
Australian Grand Prix;2024;58;58;Medium
Japanese Grand Prix;2024;53;53;High
Chinese Grand Prix;2024;56;56;Medium
Miami Grand Prix;2024;57;57;Medium
Emilia Romagna Grand Prix;2024;63;63;Medium
Monaco Grand Prix;2024;78;78;Low
Canadian Grand Prix;2024;70;70;Medium
Spain Grand Prix;2024;66;66;Medium
Austrian Grand Prix;2024;71;71;High
British Grand Prix;2024;52;52;High
Hungarian Grand Prix;2024;70;70;Low
Belgian Grand Prix;2024;44;44;High
Dutch Grand Prix;2024;72;72;Medium
Italian Grand Prix;2024;53;53;High
Azerbaijan Grand Prix;2024;51;51;MediumHigh
Singapore Grand Prix;2024;62;62;Medium
Mexican Grand Prix;2024;71;71;MediumHigh
United States Grand Prix;2024;56;56;High
Brazilian Grand Prix;2024;71;69;MediumHigh
Las Vegas Grand Prix;2024;50;50;Medium
Qatar Grand Prix;2024;57;57;High
Abu Dhabi Grand Prix;2024;58;58;High
Australian Grand Prix;2018;58;58;Medium
Bahrain Grand Prix;2018;57;57;Medium
Chinese Grand Prix;2018;56;56;Medium
Azerbaijan Grand Prix;2018;51;51;MediumHigh
Spanish Grand Prix;2018;66;66;Medium
Monaco Grand Prix;2018;78;78;Low
Canadian Grand Prix;2018;70;68;Medium
French Grand Prix;2018;53;53;Medium
Austrian Grand Prix;2018;71;71;High
British Grand Prix;2018;52;52;High
German Grand Prix;2018;67;67;Medium
Hungarian Grand Prix;2018;70;70;Low
Belgian Grand Prix;2018;44;44;High
Italian Grand Prix;2018;53;53;High
Singapore Grand Prix;2018;61;61;Low
Russian Grand Prix;2018;53;53;Medium
Japanese Grand Prix;2018;53;53;High
United States Grand Prix;2018;56;56;High
Mexican Grand Prix;2018;71;71;MediumHigh
Brazilian Grand Prix;2018;71;71;MediumHigh
Abu Dhabi Grand Prix;2018;55;55;High
Australian Grand Prix;2019;58;58;Medium
Bahrain Grand Prix;2019;57;57;Medium
Chinese Grand Prix;2019;56;56;Medium
Azerbaijan Grand Prix;2019;51;51;MediumHigh
Spanish Grand Prix;2019;66;66;Medium
Monaco Grand Prix;2019;78;78;Low
Canadian Grand Prix;2019;70;70;Medium
French Grand Prix;2019;53;53;Medium
Austrian Grand Prix;2019;71;71;High
British Grand Prix;2019;52;52;High
German Grand Prix;2019;64;64;Medium
Hungarian Grand Prix;2019;70;70;Low
Belgian Grand Prix;2019;44;44;High
Italian Grand Prix;2019;53;53;High
Singapore Grand Prix;2019;61;61;Low
Russian Grand Prix;2019;53;53;Medium
Japanese Grand Prix;2019;53;52;High
Mexican Grand Prix;2019;71;71;MediumHigh
United States Grand Prix;2019;56;56;High
Brazilian Grand Prix;2019;71;71;MediumHigh
Abu Dhabi Grand Prix;2019;55;55;High
Austria Grand Prix;2020;71;71;High
Styrian Grand Prix;2020;71;71;High
Hungarian Grand Prix;2020;70;70;Low
British Grand Prix;2020;52;52;High
70th Anniversary Grand Prix;2020;52;52;High
Spanish Grand Prix;2020;66;66;Medium
Belgian Grand Prix;2020;44;44;High
Italian Grand Prix;2020;53;53;High
Tuscan Grand Prix;2020;59;59;MediumHigh
Russian Grand Prix;2020;53;53;Medium
Eifel Grand Prix;2020;60;44;MediumHigh
Portuguese Grand Prix;2020;66;66;MediumHigh
Emilia Romagna Grand Prix;2020;63;63;Medium
Turkish Grand Prix;2020;58;58;MediumHigh
Bahrain Grand Prix;2020;57;57;Medium
Sakhir Grand Prix;2020;87;87;MediumHigh
Abu Dhabi Grand Prix;2020;55;55;High
Bahrain Grand Prix;2021;56;56;Medium
Emilia Romagna Grand Prix;2021;63;63;Medium
Portuguese Grand Prix;2021;66;66;MediumHigh
Spanish Grand Prix;2021;66;66;Medium
Monaco Grand Prix;2021;78;78;Low
Azerbaijan Grand Prix;2021;51;51;MediumHigh
French Grand Prix;2021;53;53;Medium
Styrian Grand Prix;2021;71;71;High
Austrian Grand Prix;2021;71;71;High
British Grand Prix;2021;52;51;High
Hungarian Grand Prix;2021;70;67;Low
Belgian Grand Prix;2021;44;1;High
Dutch Grand Prix;2021;72;72;Medium
Italian Grand Prix;2021;53;53;High
Russian Grand Prix;2021;53;53;Medium
Turkish Grand Prix;2021;58;58;MediumHigh
United States Grand Prix;2021;56;56;High
Mexican Grand Prix;2021;71;71;MediumHigh
Brazilian Grand Prix;2021;71;71;MediumHigh
Qatar Grand Prix;2021;57;57;High
Saudi Arabian Grand Prix;2021;50;50;High
Abu Dhabi Grand Prix;2021;58;58;High
Bahrain Grand Prix;2022;57;57;Medium
Saudi Arabian Grand Prix;2022;50;50;High
Australian Grand Prix;2022;58;58;Medium
Emilia Romagna Grand Prix;2022;63;63;Medium
Miami Grand Prix;2022;57;57;Medium
Spanish Grand Prix;2022;66;66;Medium
Monaco Grand Prix;2022;64;64;Low
Azerbaijan Grand Prix;2022;51;51;MediumHigh
Canadian Grand Prix;2022;70;70;Medium
British Grand Prix;2022;52;52;High
Austrian Grand Prix;2022;71;71;High
France Grand Prix;2022;53;53;Medium
Hungarian Grand Prix;2022;70;70;Low
Belgian Grand Prix;2022;44;44;High
Dutch Grand Prix;2022;72;72;Medium
Italian Grand Prix;2022;53;53;High
Singapore Grand Prix;2022;61;59;Low
Japanese Grand Prix;2022;53;28;High
United States Grand Prix;2022;56;56;High
Mexican Grand Prix;2022;71;71;MediumHigh
Brazilian Grand Prix;2022;71;71;MediumHigh
Abu Dhabi Grand Prix;2022;58;58;High
Bahrain Grand Prix;2023;57;57;Medium
Saudi Arabian Grand Prix;2023;50;50;High
Australian Grand Prix;2023;58;58;Medium
Azerbaijan Grand Prix;2023;51;51;MediumHigh
Miami Grand Prix;2023;57;57;Medium
Monaco Grand Prix;2023;78;78;Low
Spanish Grand Prix;2023;66;66;Medium
Canadian Grand Prix;2023;70;70;Medium
Austrian Grand Prix;2023;71;71;High
British Grand Prix;2023;52;52;High
Hungarian Grand Prix;2023;70;70;Low
Belgian Grand Prix;2023;44;44;High
Dutch Grand Prix;2023;72;72;Medium
Italian Grand Prix;2023;51;51;High
Singapore Grand Prix;2023;62;62;Medium
Japanese Grand Prix;2023;53;53;High
Qatar Grand Prix;2023;57;57;High
United States Grand Prix;2023;56;56;High
Mexican Grand Prix;2023;71;71;MediumHigh
Brazilian Grand Prix;2023;71;71;MediumHigh
Las Vegas Grand Prix;2023;50;50;Medium
Abu Dhabi Grand Prix;2023;58;58;High
Australian Grand Prix;2025;57;57;Medium
Chinese Grand Prix;2025;56;56;Medium
Japanese Grand Prix;2025;53;53;High
Bahrain Grand Prix;2025;57;57;Medium
Saudi Arabian Grand Prix;2025;50;50;High
